"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.226679400E-2,-1.410000038E1,-2.120625114E1,-4.535625076E1,5.201638763E1
2.226679400E-2,-1.357500076E1,-2.113125038E1,-4.419375229E1,5.083205809E1
3.226679400E-2,-1.462500095E1,-2.105625153E1,-4.449375153E1,5.135124445E1
4.226679400E-2,-1.494375038E1,-2.094375038E1,-4.438125229E1,5.129962875E1
5.226679400E-2,-1.531875038E1,-2.098125076E1,-4.396875000E1,5.106983428E1
6.226679400E-2,-1.531875038E1,-2.116875076E1,-4.350000000E1,5.074475463E1
7.226679400E-2,-1.531875038E1,-2.130000114E1,-4.318125153E1,5.052696949E1
8.226679400E-2,-1.554375076E1,-2.150625038E1,-4.284375000E1,5.039557428E1
9.226679400E-2,-1.603125000E1,-2.165625000E1,-4.213125229E1,5.001036453E1
1.022667940E-1,-1.633125114E1,-2.171250153E1,-4.211250305E1,5.011591962E1
1.122667940E-1,-1.625625038E1,-2.182500076E1,-4.166250229E1,4.976304283E1
1.222667940E-1,-1.631250000E1,-2.195625114E1,-4.136250305E1,4.958862046E1
1.322667940E-1,-1.651875114E1,-2.214375114E1,-4.126875305E1,4.966210661E1
1.422667940E-1,-1.681875038E1,-2.223750114E1,-4.132500076E1,4.985110339E1
1.522667940E-1,-1.691250038E1,-2.220000076E1,-4.136250305E1,4.989718791E1
1.622667940E-1,-1.708125114E1,-2.218125153E1,-4.132500076E1,4.991525566E1
1.722667940E-1,-1.685625076E1,-2.195625114E1,-4.147500229E1,4.986367384E1
1.822667940E-1,-1.725000000E1,-2.218125153E1,-4.136250305E1,5.000427060E1
1.922667940E-1,-1.740000153E1,-2.197500038E1,-4.149375153E1,5.007386654E1
2.022667940E-1,-1.762500000E1,-2.193750000E1,-4.147500229E1,5.012055812E1
2.122667940E-1,-1.745625114E1,-2.190000153E1,-4.140000153E1,4.998290605E1
2.222667940E-1,-1.736250114E1,-2.186250114E1,-4.125000000E1,4.980951618E1
2.322667940E-1,-1.745625114E1,-2.178750038E1,-4.153125000E1,5.004258790E1
2.422667940E-1,-1.719375038E1,-2.161875153E1,-4.190625000E1,5.019092805E1
2.522667940E-1,-1.702500153E1,-2.180625153E1,-4.226250076E1,5.051219905E1
2.622667940E-1,-1.683750153E1,-2.178750038E1,-4.231875229E1,5.048834941E1
2.722667940E-1,-1.687500000E1,-2.220000076E1,-4.205625153E1,5.046121234E1
2.822667940E-1,-1.681875038E1,-2.235000038E1,-4.186875153E1,5.035260903E1
2.922667940E-1,-1.698750114E1,-2.231250000E1,-4.179375076E1,5.033031347E1
3.022667940E-1,-1.706250000E1,-2.220000076E1,-4.186875153E1,5.036825681E1
3.122667940E-1,-1.725000000E1,-2.238750076E1,-4.160625076E1,5.029754261E1
3.222667940E-1,-1.721250153E1,-2.246250153E1,-4.140000153E1,5.014772487E1
3.322667940E-1,-1.738125038E1,-2.251875114E1,-4.123125076E1,5.009209576E1
3.422667940E-1,-1.736250114E1,-2.218125153E1,-4.113750076E1,4.985737994E1
3.522667940E-1,-1.734375000E1,-2.191875076E1,-4.145625305E1,4.999858214E1
3.622667940E-1,-1.736250114E1,-2.190000153E1,-4.166250229E1,5.016802378E1
3.722667940E-1,-1.706250000E1,-2.186250114E1,-4.179375076E1,5.015790531E1
3.822667940E-1,-1.715625000E1,-2.201250076E1,-4.185000229E1,5.030218480E1
3.922667940E-1,-1.706250000E1,-2.203125000E1,-4.185000229E1,5.027850012E1
4.022667940E-1,-1.717500114E1,-2.203125000E1,-4.183125305E1,5.030119653E1
