"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.313398000E-3,0.000000000E0,0.000000000E0,0.000000000E0
1.306626300E-2,9.552285075E-3,2.428989857E-3,-9.571075439E-3
1.781933600E-2,-3.190159798E-3,1.758141071E-2,-9.570121765E-3
2.257240900E-2,-2.421092242E-3,-8.381202817E-3,-3.589248657E-2
2.732542900E-2,5.689825863E-3,-2.910386771E-3,-1.722812653E-2
3.207850200E-2,2.469784394E-2,9.503453970E-3,-3.030872345E-2
3.683152300E-2,2.528814599E-2,-8.249379694E-3,-2.187824249E-2
4.158459600E-2,-1.140551642E-2,3.466918319E-2,1.794815063E-3
4.633761700E-2,-5.867138505E-3,1.376377791E-2,1.435661316E-2
5.109069000E-2,1.622088999E-2,2.527052164E-2,8.613586426E-3
5.584371100E-2,1.906280965E-2,5.584135652E-3,7.830619812E-3
6.059678400E-2,-1.078508794E-4,2.267979085E-2,1.156520844E-2
6.534975200E-2,-1.345351338E-4,1.211386919E-2,1.067543030E-2
7.010287700E-2,1.317174733E-2,1.126216352E-2,-2.563858032E-2
7.485595000E-2,-1.454134658E-2,-7.394589484E-3,-2.839374542E-2
7.960897100E-2,-1.361438632E-2,-1.145868003E-2,-2.213382721E-2
8.436204400E-2,-1.729905047E-2,-1.532886550E-2,1.689910889E-3
8.911506500E-2,1.526466385E-2,3.615863621E-3,3.775310516E-2
9.386813800E-2,-8.189264685E-3,-2.829674259E-2,4.029273987E-3
9.862115900E-2,5.823299289E-3,4.103928804E-4,8.375167847E-3
1.033742310E-1,-8.108854294E-3,4.962757230E-3,3.417968750E-3
1.081272520E-1,-1.691224240E-2,1.383274049E-2,-1.303672791E-3
1.128803250E-1,2.097129822E-3,-5.064763129E-3,-1.955795288E-2
1.176333460E-1,-2.612799406E-3,-2.323931828E-2,-1.874256134E-2
1.223864190E-1,1.129293442E-2,-1.316197589E-2,4.978179932E-3
1.271394400E-1,1.619007438E-3,5.709849298E-3,4.787445068E-3
1.318925130E-1,6.130967289E-3,8.491799235E-4,4.611015320E-3
1.366455860E-1,-3.353983164E-3,5.447909236E-3,-2.785587311E-2
1.413986060E-1,-2.170214988E-2,1.908102632E-2,5.448341370E-3
1.461516790E-1,-2.455554903E-3,1.383321732E-2,9.893417358E-3
1.509047000E-1,2.273641527E-3,8.770085871E-3,9.573936462E-3
1.556577730E-1,1.607417315E-2,-8.172094822E-4,2.318382263E-2
1.604107940E-1,2.488708496E-2,2.242509276E-2,1.783943176E-2
1.651638670E-1,1.023920625E-2,1.713506132E-2,1.731491089E-2
1.699168880E-1,-3.925252706E-3,1.206636429E-2,2.146911621E-2
1.746699610E-1,5.452807993E-3,2.570352703E-2,-7.043838501E-3
1.794229810E-1,6.679445505E-4,-1.688342914E-2,2.458572388E-3
1.841760540E-1,1.464831829E-2,6.873883307E-3,-2.264976501E-3
1.889290750E-1,9.629074484E-3,2.536360919E-2,-2.206802368E-3
1.936821480E-1,4.685401917E-3,1.413993537E-3,2.512931824E-3
1.984352210E-1,4.534155130E-3,2.006970346E-2,2.451896667E-3
2.031882420E-1,-2.266205847E-4,2.427805215E-2,1.640796661E-2
2.079413150E-1,-4.932254553E-3,-4.318386316E-3,1.135349274E-2
2.126943360E-1,-1.426643133E-2,5.147799850E-3,6.418228149E-3
2.174474090E-1,-4.064291716E-6,2.844417840E-2,-3.115844727E-2
2.222004290E-1,-9.403802454E-3,3.252172470E-2,-2.580070496E-2
2.269535020E-1,-9.239871055E-3,-1.031056792E-2,-2.525138855E-2
2.317065750E-1,-2.314090915E-2,3.975890577E-3,-1.066684723E-2
2.364595960E-1,9.913218766E-2,3.179444671E-1,8.304595947E-3
2.412126690E-1,1.345868856E-1,7.993475199E-1,1.751708984E-2
2.459656900E-1,2.491636425E-1,1.257555246E0,2.186584473E-2
2.507187630E-1,3.006767631E-1,1.524438620E0,2.613830566E-2
2.554717840E-1,3.795090616E-1,1.876060128E0,2.564430237E-2
2.602248560E-1,2.691473365E-1,2.010413170E0,-7.709503174E-3
2.649778770E-1,-1.759737357E-2,1.983313799E0,-4.516029358E-2
2.697309500E-1,-3.180315495E-1,1.830451846E0,-1.145458221E-2
2.744839710E-1,-5.332810283E-1,1.690322995E0,-4.887199402E-2
2.792370440E-1,-4.627640247E-1,1.666010618E0,-2.922153473E-2
2.839900650E-1,-5.395164490E-1,1.576690912E0,-3.343486786E-2
2.887431380E-1,-4.081227481E-1,1.559959412E0,-1.876449585E-2
2.934962110E-1,-3.637203574E-1,1.689747810E0,-1.845741272E-2
2.982492310E-1,-1.034930646E-1,1.945135951E0,-3.700065613E-2
3.030023040E-1,-3.138072193E-1,2.065161228E0,1.067447662E-2
3.077553250E-1,-4.031376541E-1,1.924677134E0,1.079559326E-3
3.125083980E-1,-3.168812692E-1,1.702005863E0,-8.376216888E-2
3.172614190E-1,-9.054548293E-2,1.553749800E0,-3.065299988E-2
3.220144920E-1,3.291007519E0,1.304516196E-1,-6.319522858E-2
3.267675130E-1,6.775130033E-1,2.700068951E-1,-3.397560120E-2
3.315205860E-1,-1.629071951E0,1.421605825E0,-2.405166626E-2
3.362736060E-1,-1.374563813E0,1.500433922E0,8.950138092E-2
3.410266790E-1,3.152890205E-1,9.132943749E-1,1.273727417E-2
3.457797000E-1,2.628142834E0,-4.776066542E-2,3.142452240E-2
3.505327730E-1,-1.750747323E0,1.067109823E0,-6.782531738E-3
3.552858460E-1,-1.109061360E0,1.558102131E0,2.161693573E-2
3.600388670E-1,2.225039959E0,1.037003756E0,2.131557465E-2
3.647919400E-1,2.307017297E-1,1.004725456E0,-3.565311432E-2
3.695449610E-1,-2.805393219E0,1.761901855E0,1.202774048E-2
3.742980340E-1,1.401893198E-1,1.356902122E0,4.964923859E-2
3.790510540E-1,3.393580437E0,4.989125729E-1,-7.698059082E-3
3.838041270E-1,-4.078575134E0,2.147031784E0,3.963661194E-2
3.885570960E-1,9.578985572E-1,1.355131149E0,2.494335175E-2
3.933102210E-1,2.458511114E0,7.196383476E-1,-3.683948517E-2
3.980632420E-1,-5.354213715E0,2.451231241E0,-8.051872253E-3
4.028163150E-1,1.284866047E1,-2.802779675E0,-1.271438599E-2
4.075693880E-1,-7.194993973E0,2.815980673E0,1.578998566E-2
4.123224090E-1,-5.201388359E0,3.360805273E0,-8.080482483E-3
4.170754810E-1,9.173115730E0,4.898613691E-2,-5.060005188E-2
4.218285020E-1,-5.466552258E0,3.398630857E0,1.989364624E-3
4.265815750E-1,6.485757351E0,6.921018362E-1,-4.539108276E-2
4.313345960E-1,-3.965409279E0,2.544807434E0,-1.179981232E-2
4.360876690E-1,-2.252900600E-2,1.812128663E0,7.821464539E-2
4.408407420E-1,-1.414920449E0,1.906501055E0,-5.048084259E-2
4.455937110E-1,-2.149265766E0,2.184782028E0,-6.418228149E-2
4.503468360E-1,8.219240308E-1,1.574915886E0,-6.354331970E-2
4.550998560E-1,4.236279726E-1,1.269868255E0,-7.237911224E-2
4.598529290E-1,5.740345120E-1,8.733741045E-1,-3.850078583E-2
4.646059500E-1,9.268493652E-1,3.296200037E-1,-4.288005829E-2
4.693590230E-1,1.134024024E0,-4.270017147E-2,4.880905151E-3
4.741120440E-1,1.169084907E0,-1.317612529E-1,-2.837753296E-2
4.788651170E-1,1.095046639E0,-3.147075176E-1,7.609176636E-2
4.836181380E-1,1.036701322E0,-4.485627413E-1,7.529258728E-2
4.883712110E-1,8.180199862E-1,-6.950110197E-1,6.978416443E-2
4.931242840E-1,7.245427370E-1,-1.029147029E0,-2.570915222E-2
