"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.455246400E-2,-1.749375153E1,-2.366250038E1,-4.426875305E1,5.315701048E1
2.455246400E-2,-1.650000000E1,-2.358750153E1,-4.355625153E1,5.220888119E1
3.455246400E-2,-1.627500153E1,-2.358750153E1,-4.344375229E1,5.204426497E1
4.455246400E-2,-1.629375076E1,-2.394375038E1,-4.348125076E1,5.224374282E1
5.455246400E-2,-1.635000038E1,-2.383125114E1,-4.333125305E1,5.208501257E1
6.455246400E-2,-1.650000000E1,-2.375625038E1,-4.314375305E1,5.194220692E1
7.455246400E-2,-1.659375000E1,-2.370000076E1,-4.299375153E1,5.182186069E1
8.455246400E-2,-1.642500114E1,-2.362500000E1,-4.305000305E1,5.178053737E1
9.455246400E-2,-1.623750114E1,-2.353125000E1,-4.299375153E1,5.163176193E1
1.045524640E-1,-1.648125076E1,-2.362500000E1,-4.271250153E1,5.151824957E1
1.145524640E-1,-1.659375000E1,-2.362500000E1,-4.261875153E1,5.147670488E1
1.245524640E-1,-1.663125038E1,-2.330625153E1,-4.252500153E1,5.126554012E1
1.345524640E-1,-1.659375000E1,-2.330625153E1,-4.235625076E1,5.111346083E1
1.445524640E-1,-1.653750038E1,-2.328750038E1,-4.235625076E1,5.108667705E1
1.545524640E-1,-1.655625153E1,-2.330625153E1,-4.246875000E1,5.119458518E1
1.645524640E-1,-1.672500038E1,-2.347500038E1,-4.235625076E1,5.123332177E1
1.745524640E-1,-1.657500076E1,-2.349375153E1,-4.246875000E1,5.128627241E1
1.845524640E-1,-1.635000038E1,-2.336250114E1,-4.323750305E1,5.179392476E1
1.945524640E-1,-1.620000076E1,-2.323125076E1,-4.340625000E1,5.182888746E1
2.045524640E-1,-1.621875000E1,-2.338125038E1,-4.353750229E1,5.201196811E1
2.145524640E-1,-1.633125114E1,-2.347500038E1,-4.361250305E1,5.215204530E1
2.245524640E-1,-1.653750038E1,-2.362500000E1,-4.336875153E1,5.208145690E1
2.345524640E-1,-1.644375038E1,-2.379375076E1,-4.329375076E1,5.206619207E1
2.445524640E-1,-1.629375076E1,-2.355000114E1,-4.359375000E1,5.215845000E1
2.545524640E-1,-1.655625153E1,-2.377500153E1,-4.333125305E1,5.212444391E1
2.645524640E-1,-1.657500076E1,-2.377500153E1,-4.295625305E1,5.181911833E1
2.745524640E-1,-1.672500038E1,-2.392500114E1,-4.265625000E1,5.168836408E1
2.845524640E-1,-1.670625114E1,-2.401875114E1,-4.250625229E1,5.160213869E1
2.945524640E-1,-1.650000000E1,-2.386875153E1,-4.263750076E1,5.157444882E1
3.045524640E-1,-1.625625038E1,-2.381250000E1,-4.290000153E1,5.168859607E1
3.145524640E-1,-1.623750114E1,-2.375625038E1,-4.286250305E1,5.162567233E1
3.245524640E-1,-1.648125076E1,-2.388750076E1,-4.254375076E1,5.149966066E1
3.345524640E-1,-1.640625000E1,-2.381250000E1,-4.258125305E1,5.147196622E1
3.445524640E-1,-1.638750076E1,-2.383125114E1,-4.245000076E1,5.136614914E1
3.545524640E-1,-1.625625038E1,-2.381250000E1,-4.258125305E1,5.142435167E1
3.645524640E-1,-1.605000114E1,-2.356875038E1,-4.280625153E1,5.143407140E1
3.745524640E-1,-1.590000057E1,-2.356875038E1,-4.308750153E1,5.162197982E1
3.845524640E-1,-1.556250095E1,-2.340000153E1,-4.342500305E1,5.172506547E1
