"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.518068900E-2,1.333459949E1,-2.630319977E1,-4.393219757E1,5.291226555E1
4.518068900E-2,1.333459949E1,-2.625440025E1,-4.383459854E1,5.280697971E1
5.518068900E-2,1.349319935E1,-2.621780014E1,-4.371260071E1,5.272789521E1
6.518068900E-2,1.360299969E1,-2.624219894E1,-4.377359772E1,5.281876999E1
7.518068900E-2,1.373719978E1,-2.614459991E1,-4.377359772E1,5.280510032E1
8.518068900E-2,1.395679951E1,-2.604699898E1,-4.379800034E1,5.283467840E1
8.819121000E-2,1.410319996E1,-2.597379875E1,-4.382239914E1,5.285774434E1
9.518068900E-2,1.420079994E1,-2.594939995E1,-4.381019974E1,5.286177899E1
1.051806890E-1,1.448139954E1,-2.576639938E1,-4.381019974E1,5.284838570E1
1.151806890E-1,1.474979973E1,-2.559560013E1,-4.387120056E1,5.289020303E1
1.251806890E-1,1.499380016E1,-2.542479897E1,-4.395660019E1,5.294730537E1
1.351806890E-1,1.525000000E1,-2.521739960E1,-4.398099899E1,5.294155282E1
1.451806890E-1,1.554279995E1,-2.507099915E1,-4.401760101E1,5.298757239E1
1.551806890E-1,1.576239967E1,-2.493680000E1,-4.399319839E1,5.296884691E1
1.651806890E-1,1.599419975E1,-2.480259895E1,-4.399319839E1,5.297532299E1
1.751806890E-1,1.625040054E1,-2.464399910E1,-4.400539780E1,5.298940691E1
1.851806890E-1,1.645779991E1,-2.458300018E1,-4.396879959E1,5.299470175E1
1.951806890E-1,1.671399879E1,-2.461960030E1,-4.393219757E1,5.306147810E1
2.051806890E-1,1.692140007E1,-2.461960030E1,-4.388339996E1,5.308682785E1
2.151806890E-1,1.715320015E1,-2.463179970E1,-4.381019974E1,5.310641612E1
2.251806890E-1,1.727519989E1,-2.461960030E1,-4.379800034E1,5.313023700E1
2.351806890E-1,1.739719963E1,-2.463179970E1,-4.379800034E1,5.317568001E1
2.451806890E-1,1.749480057E1,-2.464399910E1,-4.377359772E1,5.319325705E1
2.551806890E-1,1.753139877E1,-2.465620041E1,-4.381019974E1,5.324107214E1
2.651806890E-1,1.756799889E1,-2.465620041E1,-4.383459854E1,5.327320933E1
2.751806890E-1,1.761680031E1,-2.457079887E1,-4.378580093E1,5.320970000E1
2.851806890E-1,1.762899971E1,-2.446100044E1,-4.378580093E1,5.316313137E1
2.951806890E-1,1.760459900E1,-2.436339951E1,-4.379800034E1,5.312025955E1
3.051806890E-1,1.759239960E1,-2.432679939E1,-4.373699951E1,5.304913589E1
3.151806890E-1,1.756799889E1,-2.424139977E1,-4.376139832E1,5.302207116E1
3.251806890E-1,1.756799889E1,-2.419260025E1,-4.377359772E1,5.300985143E1
3.351806890E-1,1.765340042E1,-2.413159943E1,-4.381019974E1,5.304064704E1
3.451806890E-1,1.770219994E1,-2.413159943E1,-4.383459854E1,5.307705722E1
3.551806890E-1,1.767779922E1,-2.410719872E1,-4.389559937E1,5.310824097E1
3.651806890E-1,1.771439934E1,-2.405839920E1,-4.396879959E1,5.315883608E1
3.751806890E-1,1.777540016E1,-2.402179909E1,-4.400539780E1,5.319291981E1
3.851806890E-1,1.782419968E1,-2.397299957E1,-4.409079742E1,5.325791228E1
3.951806890E-1,1.787299919E1,-2.396080017E1,-4.407859802E1,5.325867862E1
4.051806890E-1,1.787299919E1,-2.392420006E1,-4.412739944E1,5.328263160E1
4.151806890E-1,1.790959930E1,-2.388759995E1,-4.406639862E1,5.322798762E1
4.251806890E-1,1.789739990E1,-2.380220032E1,-4.407859802E1,5.319571850E1
4.351806890E-1,1.798279953E1,-2.376560020E1,-4.406639862E1,5.319804808E1
4.451806890E-1,1.801939964E1,-2.377779961E1,-4.404199982E1,5.319567901E1
4.551806890E-1,1.803159904E1,-2.375339890E1,-4.404199982E1,5.318891117E1
4.651806890E-1,1.805599976E1,-2.374119949E1,-4.399319839E1,5.315134227E1
4.751806890E-1,1.806819916E1,-2.371679878E1,-4.394440079E1,5.310420629E1
4.851806890E-1,1.809259987E1,-2.368019867E1,-4.390779877E1,5.306589085E1
