"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.833583334E-2,4.858047485E0,1.895629883E0,-4.129348755E1,4.162146264E1
2.830983334E-2,4.716735840E0,1.952995300E0,-4.128894043E1,4.160334589E1
3.828383334E-2,4.507080078E0,2.005287170E0,-4.127221680E1,4.156598161E1
4.825883334E-2,3.814437866E0,2.369171143E0,-4.135754395E1,4.160059314E1
5.823283334E-2,3.031921387E0,2.900840759E0,-4.114801025E1,4.136140922E1
6.820683333E-2,2.121643066E0,3.495422363E0,-4.125973511E1,4.146185100E1
7.818083333E-2,1.357452393E0,4.286766052E0,-4.104849243E1,4.129404038E1
8.815483333E-2,4.865112305E-1,4.919242859E0,-4.104129028E1,4.133791421E1
9.812883334E-2,-2.392120361E-1,5.677177429E0,-4.118038940E1,4.157056696E1
1.081028333E-1,-6.962280273E-1,6.249511719E0,-4.108218384E1,4.156064195E1
1.180768333E-1,-1.185760498E0,6.875526428E0,-4.099813843E1,4.158757322E1
1.280518333E-1,-1.611724854E0,7.479804993E0,-4.097860718E1,4.168682509E1
1.380258333E-1,-2.012573242E0,8.084121704E0,-4.067309570E1,4.151751665E1
1.479998333E-1,-2.496719360E0,8.465034485E0,-4.069940186E1,4.164530859E1
1.579738333E-1,-3.158615112E0,8.820976257E0,-4.037158203E1,4.144455462E1
1.679478333E-1,-3.929550171E0,9.387756348E0,-4.036837769E1,4.163144546E1
1.779218333E-1,-4.537643433E0,9.773918152E0,-3.995657349E1,4.138414490E1
1.878958333E-1,-5.493850708E0,9.966415405E0,-3.969979858E1,4.129873895E1
1.978698333E-1,-6.519302368E0,1.017225647E1,-3.960119629E1,4.140327104E1
2.078438333E-1,-7.263504028E0,1.029008484E1,-3.949951172E1,4.145908541E1
2.178188333E-1,-7.913085938E0,1.044707489E1,-3.904464722E1,4.118546806E1
2.277928333E-1,-8.293884277E0,1.075362396E1,-3.901013184E1,4.130640786E1
2.377668333E-1,-8.703475952E0,1.098306274E1,-3.887304688E1,4.132180943E1
2.477408333E-1,-8.993408203E0,1.138181305E1,-3.875201416E1,4.137808189E1
2.577148333E-1,-9.370742798E0,1.187179565E1,-3.867059326E1,4.152306751E1
2.676888333E-1,-9.526535034E0,1.239223480E1,-3.852169800E1,4.157214897E1
2.776628333E-1,-9.699523926E0,1.292574310E1,-3.815994263E1,4.144076279E1
2.876368333E-1,-9.874008179E0,1.321968842E1,-3.825241089E1,4.165937035E1
2.976108333E-1,-1.004428101E1,1.363771820E1,-3.770812988E1,4.133736806E1
3.075858333E-1,-1.026936340E1,1.413076019E1,-3.772940063E1,4.157698739E1
3.175598333E-1,-1.023785400E1,1.448342133E1,-3.751440430E1,4.149594773E1
3.275338333E-1,-1.022296143E1,1.481076813E1,-3.726974487E1,4.138721633E1
3.375078333E-1,-1.013189697E1,1.498233032E1,-3.716616821E1,4.133339591E1
3.474818333E-1,-1.008158875E1,1.539064789E1,-3.722558594E1,4.152414626E1
3.574558333E-1,-9.794860840E0,1.578403473E1,-3.720996094E1,4.158913613E1
3.674298333E-1,-9.619796753E0,1.616570282E1,-3.722280884E1,4.170620979E1
3.774038333E-1,-9.300216675E0,1.627313232E1,-3.690890503E1,4.139536371E1
3.873788333E-1,-9.197021484E0,1.650986481E1,-3.698617554E1,4.153478086E1
3.973528333E-1,-9.009384155E0,1.682434845E1,-3.682809448E1,4.147934723E1
4.073268333E-1,-8.890502930E0,1.676063538E1,-3.671484375E1,4.132722701E1
4.173008333E-1,-8.783096313E0,1.660378265E1,-3.656408691E1,4.110670056E1
4.272748333E-1,-8.690689087E0,1.649897003E1,-3.690109253E1,4.134531072E1
4.372488333E-1,-8.592178345E0,1.618580627E1,-3.705984497E1,4.134293123E1
4.472228333E-1,-8.584426880E0,1.599591064E1,-3.727288818E1,4.145877152E1
4.571968333E-1,-8.707870483E0,1.562668610E1,-3.744915771E1,4.150252691E1
4.671708333E-1,-8.735000610E0,1.513036346E1,-3.752664185E1,4.139416604E1
4.771448333E-1,-8.657958984E0,1.470477295E1,-3.774203491E1,4.142042733E1
4.871198333E-1,-8.757858276E0,1.429965973E1,-3.775021362E1,4.130688779E1
4.970938333E-1,-8.775054932E0,1.395140076E1,-3.791250610E1,4.134006883E1
5.070678333E-1,-8.850616455E0,1.347505951E1,-3.792205811E1,4.120671221E1
5.170418333E-1,-8.765579224E0,1.316638947E1,-3.778671265E1,4.096370153E1
5.270158333E-1,-8.758651733E0,1.297612000E1,-3.800430298E1,4.110256337E1
5.369898333E-1,-8.646240234E0,1.283433533E1,-3.819189453E1,4.120799002E1
5.469638333E-1,-8.646240234E0,1.283433533E1,-3.819189453E1,4.120799002E1
5.569378333E-1,-8.439636230E0,1.276136780E1,-3.842034912E1,4.135460306E1
5.669128333E-1,-8.518997192E0,1.269253540E1,-3.840130615E1,4.133199829E1
5.768868333E-1,-8.550109863E0,1.252086639E1,-3.835656738E1,4.124442672E1
