"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.994283400E-2,1.586158574E-1,-8.080431074E-2,9.827000618E0
2.193903100E-2,1.634042710E-1,-5.686229095E-2,9.831789017E0
2.394387500E-2,1.681926697E-1,-2.813187055E-2,9.817423820E0
2.593153100E-2,1.634042710E-1,-3.292027488E-2,9.803058624E0
2.791950000E-2,1.394622475E-1,-5.686229095E-2,9.798270226E0
2.990809400E-2,1.538274586E-1,-9.038111567E-2,9.865307808E0
3.189762500E-2,1.634042710E-1,-1.047463268E-1,9.898826599E0
3.388830200E-2,1.634042710E-1,-9.995792061E-2,9.884461403E0
3.588028100E-2,1.777694821E-1,-8.559270948E-2,9.917980194E0
3.787371900E-2,2.256535143E-1,-7.122749835E-2,9.913191795E0
3.986866700E-2,2.591723204E-1,-7.601590455E-2,9.946710587E0
4.186507300E-2,3.022679687E-1,-8.559270948E-2,9.941922188E0
4.386288600E-2,3.309983909E-1,-1.047463268E-1,9.951498985E0
4.586200000E-2,3.405751884E-1,-7.601590455E-2,9.956287384E0
4.786226100E-2,3.501519859E-1,-6.165069342E-2,9.946710587E0
4.986345900E-2,3.501519859E-1,-4.249707982E-2,9.937133789E0
5.186533400E-2,3.405751884E-1,-3.770867735E-2,9.932345390E0
5.386762500E-2,3.022679687E-1,-1.855506375E-2,9.913191795E0
5.587007300E-2,2.831143439E-1,2.454056777E-2,9.889249802E0
5.787111500E-2,2.783259451E-1,5.805939063E-2,9.879673004E0
5.986736500E-2,2.735375464E-1,8.678980917E-2,9.836577415E0
6.186356300E-2,2.735375464E-1,1.011550203E-1,9.870096207E0
6.385976100E-2,3.022679687E-1,9.636662155E-2,9.917980194E0
6.585595900E-2,3.214215636E-1,1.681926697E-1,9.903614998E0
6.785215600E-2,3.740940094E-1,1.681926697E-1,9.874884605E0
6.984835400E-2,3.932476342E-1,1.203086376E-1,9.884461403E0
7.184455200E-2,3.549404144E-1,6.763619930E-2,9.884461403E0
7.384075000E-2,3.070563674E-1,2.932897024E-2,9.879673004E0
7.583694800E-2,2.879027426E-1,4.848258570E-2,9.855731010E0
7.783314600E-2,2.352303118E-1,4.369417951E-2,9.803058624E0
7.982934400E-2,1.825578809E-1,7.242459804E-2,9.788693428E0
8.182554200E-2,1.634042710E-1,9.157821536E-2,9.745597839E0
8.382174000E-2,1.394622475E-1,1.442506462E-1,9.707290649E0
8.581793800E-2,1.203086376E-1,4.842272997E-1,9.683348656E0
8.781413600E-2,8.200141042E-2,1.044470549E0,9.678560257E0
8.981033400E-2,5.327098817E-2,1.312621117E0,9.654618263E0
9.180653100E-2,3.890577704E-2,1.456273198E0,9.697713852E0
9.380272900E-2,5.985504249E-4,1.499368787E0,9.798270226E0
9.579892700E-2,-4.189853091E-3,1.552041292E0,9.870096207E0
9.779512500E-2,-1.376665942E-2,1.547252893E0,9.937133789E0
9.979132300E-2,-5.686229095E-2,1.489791989E0,9.970652580E0
1.017875210E-1,-1.047463268E-1,1.432331204E0,9.994594574E0
1.037837190E-1,-1.238999367E-1,1.370081902E0,9.970652580E0
1.057799170E-1,-1.765723825E-1,1.365293503E0,9.980229378E0
1.077761150E-1,-2.005143911E-1,1.307832718E0,1.000895977E1
1.097723130E-1,-2.196680009E-1,1.255160213E0,1.003290176E1
1.117685110E-1,-2.483984232E-1,1.183334231E0,1.007599831E1
1.137647090E-1,-2.531868219E-1,1.212064624E0,1.006163311E1
1.157609060E-1,-2.292448133E-1,1.255160213E0,1.003290176E1
1.177571040E-1,-2.627636492E-1,1.346139908E0,1.006163311E1
1.197533020E-1,-2.436100245E-1,1.427542806E0,1.009515190E1
1.217495000E-1,-2.627636492E-1,1.494580388E0,1.012867069E1
1.237456980E-1,-2.531868219E-1,1.575983286E0,1.012867069E1
1.257418960E-1,-2.388216257E-1,1.743577361E0,1.006163311E1
1.277380940E-1,-1.909375787E-1,1.877652645E0,1.006163311E1
1.297342920E-1,-1.717839688E-1,1.925536752E0,1.018134308E1
1.317304900E-1,-1.669955701E-1,1.954267144E0,1.024359226E1
1.337266880E-1,-1.669955701E-1,2.006939650E0,1.026753426E1
1.357228860E-1,-1.765723825E-1,2.054823637E0,1.025316906E1
1.377190840E-1,-1.957259923E-1,2.160168409E0,1.011909389E1
1.397152810E-1,-3.776853085E-1,2.480991602E0,1.015261269E1
1.417114790E-1,-3.920505345E-1,2.696469545E0,9.951498985E0
1.437076770E-1,-3.393780887E-1,2.605489969E0,9.922768593E0
1.457038750E-1,-3.393780887E-1,2.576759577E0,1.006163311E1
1.477000730E-1,-2.675520480E-1,2.624643564E0,1.000895977E1
1.496962710E-1,-2.962824702E-1,2.490568399E0,1.007120991E1
1.516924690E-1,-2.962824702E-1,2.284667015E0,1.035851383E1
1.536887190E-1,-2.531868219E-1,2.337339401E0,1.012867069E1
1.556849690E-1,-2.244564146E-1,2.299032211E0,1.021007347E1
1.576812190E-1,-1.669955701E-1,2.169745207E0,1.045907021E1
1.596774690E-1,-1.286883354E-1,2.184110403E0,1.054047298E1
1.616737190E-1,-1.478419602E-1,2.208052635E0,1.054047298E1
1.636699690E-1,-1.574187577E-1,2.126649618E0,1.014303589E1
1.656662190E-1,-8.080431074E-2,2.322974205E0,1.015740108E1
1.676624690E-1,-4.728548229E-2,2.346916199E0,1.026753426E1
1.696587190E-1,3.411737457E-2,2.289455414E0,1.052131939E1
1.716549690E-1,1.059434265E-1,2.380434990E0,1.035372543E1
1.736512190E-1,1.921346933E-1,2.476203203E0,1.026274586E1
1.756474690E-1,1.681926697E-1,2.557605982E0,9.874884605E0
1.776437190E-1,1.203086376E-1,2.528875589E0,9.616311073E0
1.796399690E-1,1.107318252E-1,2.706046581E0,9.185355186E0
1.816362190E-1,6.763619930E-2,2.557605982E0,9.568427086E0
1.836324690E-1,1.059434265E-1,2.370858192E0,9.759963036E0
1.856287190E-1,1.729810685E-1,2.385223389E0,1.019570827E1
1.876249690E-1,1.873462796E-1,2.457049608E0,9.927556992E0
1.896212190E-1,1.490390599E-1,2.423530579E0,9.822212219E0
1.916174690E-1,1.538274586E-1,2.227206230E0,1.029626465E1
1.936137190E-1,1.059434265E-1,2.236783028E0,1.053089619E1
1.956099690E-1,3.890577704E-2,2.729988575E0,9.443928719E0
1.976062190E-1,-8.978256024E-3,2.840121746E0,9.391256332E0
1.996024690E-1,-1.095347255E-1,3.127425909E0,8.586804390E0
2.015987190E-1,-1.526303589E-1,2.629431963E0,9.084798813E0
2.035949690E-1,5.327098817E-2,1.925536752E0,1.197699356E1
2.055912190E-1,7.242459804E-2,2.658162355E0,1.079904652E1
2.075874690E-1,5.327098817E-2,3.237559319E0,9.118317604E0
2.095837190E-1,2.932897024E-2,2.998139143E0,9.132682800E0
2.115799690E-1,3.890577704E-2,2.801814556E0,1.005684471E1
2.135762190E-1,6.763619930E-2,3.132214308E0,9.779116631E0
2.155724690E-1,8.200141042E-2,3.103483915E0,9.242815971E0
2.175687190E-1,9.157821536E-2,2.490568399E0,1.055962658E1
2.195649690E-1,3.890577704E-2,2.792237759E0,9.783905029E0
2.215612190E-1,2.454056777E-2,3.012504339E0,9.257181168E0
2.235574690E-1,5.805939063E-2,2.720411777E0,9.587580681E0
2.255537190E-1,5.985504249E-4,2.370858192E0,1.056920338E1
2.275499690E-1,3.411737457E-2,2.662950754E0,9.980229378E0
2.295462190E-1,5.327098817E-2,2.864063740E0,9.443928719E0
2.315424690E-1,3.411737457E-2,2.485780001E0,1.000895977E1
2.335387190E-1,-4.189853091E-3,2.184110403E0,1.060751057E1
2.355349690E-1,-4.249707982E-2,2.840121746E0,9.640253067E0
2.375312190E-1,-3.292027488E-2,2.969408751E0,9.606734276E0
2.395274690E-1,-4.189853091E-3,2.433107376E0,1.063145256E1
2.415237190E-1,-7.601590455E-2,2.725200176E0,1.020049667E1
2.435199690E-1,-1.334767491E-1,3.046023130E0,9.271546364E0
2.455162190E-1,-1.574187577E-1,2.773084164E0,9.999382973E0
2.475124690E-1,-1.191115379E-1,2.696469545E0,1.021965027E1
2.495087190E-1,-1.238999367E-1,2.983773947E0,9.736021042E0
2.515049690E-1,-1.334767491E-1,3.366846085E0,8.941145897E0
2.535012190E-1,-1.238999367E-1,2.993350744E0,9.252392769E0
2.554974690E-1,-1.095347255E-1,2.557605982E0,9.970652580E0
2.574937190E-1,-5.207388848E-2,2.461838007E0,1.000417137E1
2.594899170E-1,-2.334346622E-2,2.787449360E0,9.348160744E0
2.614861150E-1,5.805939063E-2,2.964620352E0,8.735244751E0
2.634823130E-1,4.369417951E-2,2.265513420E0,9.587580681E0
2.654785110E-1,1.011550203E-1,2.217629433E0,1.013824749E1
2.674747090E-1,1.011550203E-1,2.586336374E0,9.501389503E0
2.694709060E-1,6.284779310E-2,2.739565372E0,8.265981674E0
2.714671040E-1,4.369417951E-2,2.299032211E0,9.439140320E0
2.734633020E-1,5.327098817E-2,2.289455414E0,9.822212219E0
2.754595000E-1,5.805939063E-2,2.581547976E0,8.883685112E0
2.774556980E-1,8.200141042E-2,2.270301819E0,9.233239174E0
2.794518960E-1,6.284779310E-2,2.227206230E0,9.530119896E0
2.814480940E-1,2.454056777E-2,2.457049608E0,9.022548676E0
2.834442920E-1,1.681926697E-1,2.002151251E0,1.017655468E1
2.854404900E-1,1.777694821E-1,1.963843942E0,1.014303589E1
2.874366880E-1,1.442506462E-1,2.313397408E0,9.520543098E0
2.894328860E-1,1.346738487E-1,2.634220362E0,9.587580681E0
2.914290840E-1,8.678980917E-2,2.629431963E0,8.998606682E0
2.934252810E-1,9.157821536E-2,2.514510393E0,9.496601105E0
2.954214790E-1,1.017535757E-2,2.366069794E0,9.774328232E0
2.974176770E-1,5.985504249E-4,2.346916199E0,9.769539833E0
2.994138750E-1,-8.978256024E-3,2.567182779E0,9.161413193E0
3.014100730E-1,-6.165069342E-2,2.557605982E0,9.305065155E0
3.034062710E-1,-7.122749835E-2,2.433107376E0,8.888473511E0
3.054024690E-1,-2.813187055E-2,1.853710651E0,1.032020664E1
3.073986670E-1,-4.189853091E-3,2.346916199E0,9.539696693E0
3.093948650E-1,2.454056777E-2,2.121861219E0,9.678560257E0
3.113910630E-1,1.017535757E-2,2.212841034E0,9.827000618E0
3.133872610E-1,1.017535757E-2,2.160168409E0,9.601945877E0
3.153834590E-1,2.932897024E-2,1.714846969E0,1.031541824E1
3.173796560E-1,3.890577704E-2,2.179322004E0,9.870096207E0
3.193758540E-1,-4.249707982E-2,2.519298792E0,9.017760277E0
3.213720520E-1,-1.143231317E-1,2.260725021E0,8.974664688E0
3.233682500E-1,-1.717839688E-1,1.839345455E0,9.300276756E0
3.253644480E-1,-1.191115379E-1,1.331774712E0,1.042555141E1
3.273606460E-1,-7.122749835E-2,2.337339401E0,9.439140320E0
3.293568440E-1,-2.813187055E-2,2.739565372E0,8.323442459E0
3.313530420E-1,-8.978256024E-3,1.767519355E0,9.520543098E0
3.333492400E-1,2.454056777E-2,7.523778677E-1,1.158913326E1
3.353454380E-1,7.721300423E-2,1.777096152E0,1.024838066E1
3.373416360E-1,4.369417951E-2,2.548029184E0,8.797493935E0
3.393378340E-1,5.985504249E-4,2.193687201E0,9.108740807E0
3.413340310E-1,-2.334346622E-2,1.604713678E0,9.755174637E0
3.433302290E-1,3.890577704E-2,1.097142935E0,1.126352215E1
3.453264270E-1,5.386953708E-3,2.265513420E0,9.443928719E0
3.473226250E-1,7.242459804E-2,2.270301819E0,9.376891136E0
3.493188750E-1,1.298854351E-1,1.848922253E0,9.807847023E0
3.513151250E-1,9.636662155E-2,1.834557056E0,9.501389503E0
3.533113750E-1,1.107318252E-1,1.475426793E0,9.970652580E0
3.553076250E-1,5.327098817E-2,1.872864246E0,8.931569099E0
3.573038750E-1,1.921346933E-1,1.781884670E0,9.726444244E0
3.593001250E-1,1.777694821E-1,1.738788962E0,9.827000618E0
3.612963750E-1,1.394622475E-1,2.619855165E0,8.347384453E0
3.632926250E-1,1.634042710E-1,2.227206230E0,9.065644264E0
3.652888750E-1,2.064998895E-1,1.231218219E0,8.194155693E0
3.672851250E-1,3.693056107E-1,-1.238999367E-1,1.265215874E1
3.692813750E-1,3.740940094E-1,1.882441044E0,9.113529205E0
3.712776250E-1,3.405751884E-1,2.658162355E0,8.184578896E0
3.732738750E-1,3.214215636E-1,2.643797159E0,7.978677273E0
3.752701250E-1,4.650736749E-1,1.748365760E0,9.970652580E0
3.772663750E-1,4.076128304E-1,1.403600693E0,9.908403397E0
3.792626250E-1,4.890156984E-1,1.054047346E0,1.123958015E1
3.812588750E-1,4.124012291E-1,1.379658699E0,1.024838066E1
