"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.997371900E-2,6.526999950E0,-2.854800034E1,-2.997539902E1
5.997371900E-2,6.478199959E0,-2.840159988E1,-3.003639984E1
6.997371900E-2,6.490399837E0,-2.831620026E1,-3.009739876E1
7.997371900E-2,6.526999950E0,-2.827960014E1,-3.009739876E1
8.997371900E-2,6.526999950E0,-2.819419861E1,-3.008519936E1
9.997371900E-2,6.490399837E0,-2.813319969E1,-3.006079865E1
1.052672080E-1,6.514800072E0,-2.803559875E1,-3.001199913E1
1.099737190E-1,6.526999950E0,-2.795019913E1,-2.998760033E1
1.199737190E-1,6.587999821E0,-2.781599998E1,-2.993879890E1
1.299737190E-1,6.697799683E0,-2.766959953E1,-2.990219879E1
1.399737190E-1,6.905200005E0,-2.746220016E1,-2.976799965E1
1.499737190E-1,7.100399971E0,-2.723040009E1,-2.960939980E1
1.599737190E-1,7.307799816E0,-2.696199989E1,-2.940199852E1
1.699737190E-1,7.588399887E0,-2.664480019E1,-2.919459915E1
1.799737190E-1,7.954400063E0,-2.626659966E1,-2.890180016E1
1.899737190E-1,8.295999527E0,-2.582740021E1,-2.853579903E1
1.999737190E-1,8.625399590E0,-2.527840042E1,-2.816979980E1
2.099737190E-1,8.979199409E0,-2.475379944E1,-2.770619965E1
2.199737190E-1,9.235400200E0,-2.404619980E1,-2.726700020E1
2.299737190E-1,9.589200020E0,-2.315559959E1,-2.691320038E1
2.399737190E-1,9.918600082E0,-2.220400047E1,-2.657159996E1
2.499737190E-1,1.019919968E1,-2.113039970E1,-2.637639999E1
2.599737190E-1,1.030900002E1,-1.991040039E1,-2.636419868E1
2.699737190E-1,1.030900002E1,-1.864159966E1,-2.653499985E1
2.799737190E-1,1.029679966E1,-1.729960060E1,-2.680340004E1
2.899737190E-1,1.012599945E1,-1.592099953E1,-2.726700020E1
2.999737190E-1,9.698999405E0,-1.463999939E1,-2.803559875E1
3.099737190E-1,9.101200104E0,-1.352979946E1,-2.884079933E1
3.199737190E-1,8.418000221E0,-1.248059940E1,-2.987779999E1
3.299737190E-1,7.637199879E0,-1.156559944E1,-3.086599922E1
3.399737190E-1,6.685599804E0,-1.093120003E1,-3.198839951E1
3.499737190E-1,5.807199955E0,-1.041879940E1,-3.309859848E1
3.599737190E-1,4.794600010E0,-1.012599945E1,-3.423320007E1
3.699737190E-1,3.757599831E0,-9.918600082E0,-3.530680084E1
3.799737190E-1,2.830399990E0,-9.991799355E0,-3.630719757E1
3.899737190E-1,1.915399909E0,-1.018700027E1,-3.730759811E1
3.999737190E-1,1.073599935E0,-1.046759987E1,-3.814939880E1
4.099737190E-1,3.050000072E-1,-1.088239956E1,-3.896680069E1
4.199737190E-1,-3.294000030E-1,-1.130939960E1,-3.956459808E1
