"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.568864700E-2,3.501519859E-1,2.361281395E0,1.045428181E1
1.768593900E-2,2.591723204E-1,2.375646591E0,1.066018295E1
1.968323000E-2,1.825578809E-1,2.322974205E0,1.085650730E1
2.168052200E-2,1.203086376E-1,2.361281395E0,1.098579407E1
2.367781400E-2,5.805939063E-2,2.437895775E0,1.102410126E1
2.567510500E-2,1.017535757E-2,2.447472572E0,1.103367901E1
2.767239700E-2,-1.855506375E-2,2.509721994E0,1.103846741E1
2.966974100E-2,-8.080431074E-2,2.562394381E0,1.096664047E1
3.166713700E-2,-1.286883354E-1,2.552817583E0,1.092354488E1
3.366458500E-2,-1.238999367E-1,2.629431963E0,1.090439129E1
3.566208500E-2,-1.143231317E-1,2.696469545E0,1.085650730E1
3.765963700E-2,-1.286883354E-1,2.686892748E0,1.089481449E1
3.965724100E-2,-1.143231317E-1,2.672527552E0,1.091875648E1
4.165489700E-2,-1.143231317E-1,2.729988575E0,1.083256531E1
4.365260500E-2,-1.238999367E-1,2.648585558E0,1.071285534E1
4.565036600E-2,-1.238999367E-1,2.605489969E0,1.065539455E1
4.764812600E-2,-1.238999367E-1,2.643797159E0,1.050216579E1
4.964588700E-2,-8.080431074E-2,2.667739153E0,1.025316906E1
5.164364700E-2,-4.728548229E-2,2.753930569E0,9.956287384E0
5.364140700E-2,-4.189853091E-3,2.624643564E0,1.004726696E1
5.563916800E-2,7.721300423E-2,2.480991602E0,1.041118622E1
5.763692800E-2,1.777694821E-1,2.423530579E0,1.052610779E1
5.963453200E-2,2.160767019E-1,2.466626406E0,1.023880386E1
6.163203200E-2,2.783259451E-1,2.514510393E0,1.001374817E1
6.362953200E-2,2.926911712E-1,2.605489969E0,9.472659111E0
6.562703200E-2,2.543839216E-1,2.643797159E0,9.305065155E0
6.762453200E-2,1.634042710E-1,2.562394381E0,9.099164009E0
6.962203200E-2,8.678980917E-2,2.231994629E0,9.223662376E0
7.161953200E-2,6.284779310E-2,1.978209138E0,9.257181168E0
7.361703200E-2,4.369417951E-2,1.777096152E0,9.424775124E0
7.561453200E-2,1.011550203E-1,1.705270171E0,9.463082314E0
7.761203200E-2,1.394622475E-1,1.547252893E0,9.640253067E0
7.960953200E-2,1.250970364E-1,1.623867273E0,9.568427086E0
8.160703200E-2,1.921346933E-1,1.753154159E0,9.233239174E0
8.360453200E-2,1.825578809E-1,1.676539779E0,9.549273491E0
8.560198000E-2,1.969230920E-1,1.734000564E0,9.506177902E0
8.759916800E-2,2.256535143E-1,1.992574334E0,9.223662376E0
8.959635500E-2,1.442506462E-1,2.198475599E0,8.706514359E0
9.159354300E-2,9.636662155E-2,2.160168409E0,9.075222015E0
9.359078200E-2,4.848258570E-2,2.054823637E0,9.285911560E0
9.558807400E-2,3.890577704E-2,2.179322004E0,9.242815971E0
9.758541800E-2,-3.770867735E-2,2.442684174E0,8.696937561E0
9.958281400E-2,-1.478419602E-1,2.442684174E0,8.692149162E0
1.015802620E-1,-9.187749028E-1,2.342127800E0,9.343372345E0
1.035777620E-1,-8.373720646E-1,2.686892748E0,8.687360764E0
1.055753140E-1,-7.846996188E-1,3.137002707E0,7.538144112E0
1.075729180E-1,-7.320271730E-1,2.816179752E0,8.213309288E0
1.095705740E-1,-5.548562407E-1,1.911171556E0,1.026274586E1
1.115682820E-1,-4.638765752E-1,1.820191860E0,1.051174259E1
1.135660430E-1,-5.213374496E-1,2.586336374E0,8.787917137E0
1.155638550E-1,-6.027402878E-1,3.050811529E0,7.734468460E0
1.175617200E-1,-5.740098357E-1,2.725200176E0,8.730456352E0
1.195596370E-1,-3.920505345E-1,2.504933596E0,9.587580681E0
1.215575530E-1,-2.675520480E-1,2.433107376E0,9.635464668E0
1.235554700E-1,-2.148796022E-1,2.658162355E0,8.941145897E0
1.255533870E-1,-1.430535465E-1,3.137002707E0,7.815871239E0
1.275511990E-1,4.848258570E-2,3.213617325E0,8.007407188E0
1.295485430E-1,2.112883031E-1,2.749142170E0,9.132682800E0
1.315458870E-1,4.028244317E-1,2.744353771E0,9.673771858E0
1.335432300E-1,5.991489887E-1,3.146579504E0,9.649829865E0
1.355405740E-1,5.656301379E-1,3.122637510E0,8.519766808E0
1.375379180E-1,5.081692934E-1,2.773084164E0,9.716867447E0
1.395352620E-1,5.512649417E-1,2.825756550E0,1.022922707E1
1.415326050E-1,5.704185367E-1,3.022081137E0,1.001374817E1
1.435300010E-1,4.890156984E-1,3.108272314E0,9.860519409E0
1.455274490E-1,3.884592354E-1,3.036446333E0,1.062187576E1
1.475249490E-1,1.873462796E-1,4.080318451E0,9.846154213E0
1.495225010E-1,-2.292448133E-1,2.476203203E0,8.634688377E0
1.515201050E-1,-2.914940715E-1,2.931101322E0,1.255639076E1
1.535177620E-1,-2.531868219E-1,4.736329556E0,9.257181168E0
1.555154700E-1,-5.309142470E-1,3.802590847E0,9.688137054E0
1.575132300E-1,-7.176619768E-1,3.271078110E0,1.152688408E1
1.595110430E-1,-8.421604633E-1,3.883993626E0,1.045907021E1
1.615089070E-1,-9.139865041E-1,4.128202438E0,9.539696693E0
1.635068240E-1,-9.379284978E-1,4.046799660E0,9.692925453E0
1.655047930E-1,-9.570821524E-1,3.563170671E0,1.022922707E1
1.675027620E-1,-9.139865041E-1,3.754706860E0,9.568427086E0
1.695007300E-1,-7.511807680E-1,3.802590847E0,9.295488358E0
1.714986990E-1,-5.883750916E-1,3.017292738E0,1.038245583E1
1.734966680E-1,-4.255693555E-1,2.978985548E0,1.042555141E1
1.754946370E-1,-3.202244639E-1,3.510498285E0,8.888473511E0
1.774924490E-1,-1.669955701E-1,2.691681147E0,1.047343540E1
1.794901570E-1,-5.207388848E-2,2.715623379E0,1.057878017E1
1.814878660E-1,-8.978256024E-3,3.046023130E0,9.352949142E0
1.834855740E-1,-3.292027488E-2,2.797026157E0,9.065644264E0
1.854832820E-1,7.721300423E-2,2.595913172E0,1.005205631E1
1.874809910E-1,1.059434265E-1,2.978985548E0,9.376891136E0
1.894786990E-1,6.284779310E-2,2.988562346E0,8.778340340E0
1.914764070E-1,1.496376097E-2,2.787449360E0,8.874108315E0
1.934741160E-1,1.203086376E-1,2.346916199E0,1.037287903E1
1.954718240E-1,1.681926697E-1,2.902370930E0,9.185355186E0
1.974695320E-1,1.346738487E-1,2.868852139E0,9.510966301E0
1.994672410E-1,1.729810685E-1,2.385223389E0,1.078946972E1
2.014649490E-1,6.284779310E-2,3.093907118E0,9.295488358E0
2.034626570E-1,-4.189853091E-3,3.290231705E0,8.582015991E0
2.054603660E-1,-1.376665942E-2,2.662950754E0,1.100973606E1
2.074580740E-1,-1.286883354E-1,3.318962097E0,9.453505516E0
2.094557820E-1,-1.430535465E-1,3.505709887E0,9.008183479E0
2.114535430E-1,-2.100912035E-1,3.055599928E0,1.020049667E1
2.134513550E-1,-2.148796022E-1,2.950255156E0,1.040160942E1
2.154491680E-1,-3.202244639E-1,3.429095268E0,9.103952408E0
2.174469800E-1,-3.681085110E-1,3.692457676E0,8.792705536E0
2.194447930E-1,-3.728969097E-1,3.634996653E0,9.175778389E0
2.214426050E-1,-2.579752207E-1,3.137002707E0,1.072243214E1
2.234404180E-1,-2.579752207E-1,3.405153275E0,9.688137054E0
2.254382300E-1,-2.100912035E-1,3.625419855E0,9.123106003E0
2.274360430E-1,-1.622071713E-1,3.366846085E0,9.736021042E0
2.294338550E-1,-1.286883354E-1,3.328538895E0,9.544485092E0
2.314313030E-1,-1.286883354E-1,3.304596901E0,9.975440979E0
2.334287510E-1,-2.627636492E-1,3.309385300E0,9.142259598E0
2.354261990E-1,-1.669955701E-1,2.763507366E0,1.014303589E1
2.374235430E-1,-1.861491799E-1,2.777872562E0,1.010951710E1
2.394208870E-1,-3.106476665E-1,3.443460703E0,8.242039680E0
2.414182300E-1,-3.202244639E-1,3.745130062E0,7.356184959E0
2.434155740E-1,-1.574187577E-1,3.103483915E0,9.319430351E0
2.454129180E-1,-5.686229095E-2,2.892794132E0,9.419986725E0
2.474102620E-1,8.678980917E-2,2.734776974E0,9.956287384E0
2.494076050E-1,1.496376097E-2,3.347692490E0,8.371326447E0
2.514049490E-1,5.386953708E-3,3.371634483E0,8.438364029E0
2.534022930E-1,3.411737457E-2,3.558382273E0,8.175002098E0
2.553996370E-1,1.011550203E-1,3.443460703E0,8.601169586E0
2.573969800E-1,7.242459804E-2,3.141791105E0,8.850166321E0
2.593943240E-1,2.495955229E-1,3.572747469E0,8.759186745E0
2.613916680E-1,4.507084787E-1,3.572747469E0,8.917203903E0
2.633890120E-1,4.076128304E-1,3.318962097E0,8.936357498E0
