"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.714755400E-2,1.110687943E2,-2.015805969E2,-8.874279785E1
4.714755400E-2,1.109101944E2,-2.017758026E2,-8.862079620E1
5.714755400E-2,1.108247986E2,-2.018733978E2,-8.858419800E1
6.714755400E-2,1.109346008E2,-2.018002014E2,-8.868180084E1
7.714755400E-2,1.109589996E2,-2.018246002E2,-8.870619965E1
8.714755400E-2,1.109589996E2,-2.018367920E2,-8.869400024E1
9.714755400E-2,1.109468002E2,-2.017879944E2,-8.864519501E1
1.020122930E-1,1.109711990E2,-2.017269897E2,-8.864519501E1
1.071475540E-1,1.109589996E2,-2.017269897E2,-8.865740204E1
1.171475540E-1,1.109833984E2,-2.016781921E2,-8.870619965E1
1.271475540E-1,1.109833984E2,-2.015805969E2,-8.868180084E1
1.371475540E-1,1.109101944E2,-2.015317993E2,-8.859639740E1
1.471475540E-1,1.108979950E2,-2.015074005E2,-8.858419800E1
1.571475540E-1,1.108613968E2,-2.014219971E2,-8.851100159E1
1.671475540E-1,1.108369980E2,-2.014830017E2,-8.841339874E1
1.771475540E-1,1.108003998E2,-2.015195923E2,-8.836460114E1
1.871475540E-1,1.108247986E2,-2.014951935E2,-8.821820068E1
1.971475540E-1,1.108369980E2,-2.014463959E2,-8.807180023E1
2.071475540E-1,1.108613968E2,-2.013731995E2,-8.793759918E1
2.171475540E-1,1.108491974E2,-2.012755890E2,-8.766919708E1
2.271475540E-1,1.107882004E2,-2.010803986E2,-8.731539917E1
2.371475540E-1,1.107393951E2,-2.008851929E2,-8.699819946E1
2.471475540E-1,1.106174011E2,-2.004459991E2,-8.681520081E1
2.571475540E-1,1.103367996E2,-1.998725891E2,-8.657119751E1
2.671475540E-1,1.099585953E2,-1.992870026E2,-8.640039825E1
2.771475540E-1,1.095316010E2,-1.986647949E2,-8.627839661E1
2.871475540E-1,1.089459991E2,-1.980059967E2,-8.616860199E1
2.971475540E-1,1.083481979E2,-1.974326019E2,-8.632720184E1
3.071475540E-1,1.077991943E2,-1.968347931E2,-8.661999512E1
3.171475540E-1,1.072014008E2,-1.963589935E2,-8.694940186E1
3.271475540E-1,1.066889954E2,-1.960540009E2,-8.722999573E1
3.371475540E-1,1.063229980E2,-1.960661926E2,-8.742520142E1
3.471475540E-1,1.061278000E2,-1.961515961E2,-8.759600067E1
3.571475540E-1,1.060423965E2,-1.963833923E2,-8.759600067E1
