"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.842532800E-2,-2.483984232E-1,1.125873327E0,9.793481827E0
2.042298400E-2,-2.771288455E-1,1.111508131E0,9.827000618E0
2.242064100E-2,-2.867056429E-1,1.092354536E0,9.874884605E0
2.441829700E-2,-3.345896900E-1,1.092354536E0,9.989806175E0
2.641595300E-2,-3.393780887E-1,1.140238523E0,9.956287384E0
2.841360900E-2,-3.345896900E-1,1.255160213E0,9.884461403E0
3.041126600E-2,-3.585317135E-1,1.346139908E0,9.841365814E0
3.240892200E-2,-3.633201122E-1,1.398812294E0,9.755174637E0
3.440657800E-2,-3.824737072E-1,1.355716705E0,9.683348656E0
3.640428600E-2,-3.585317135E-1,1.303044319E0,9.774328232E0
3.840204700E-2,-3.106476665E-1,1.293467522E0,9.850942612E0
4.039985900E-2,-2.723404467E-1,1.341351509E0,9.755174637E0
4.239772400E-2,-2.627636492E-1,1.279102206E0,9.755174637E0
4.439564100E-2,-2.627636492E-1,1.283890605E0,9.827000618E0
4.639360900E-2,-2.579752207E-1,1.346139908E0,9.664195061E0
4.839163000E-2,-2.483984232E-1,1.307832718E0,9.616311073E0
5.038970300E-2,-2.436100245E-1,1.298255920E0,9.659406662E0
5.238777600E-2,-2.483984232E-1,1.264737010E0,9.769539833E0
5.438584900E-2,-2.388216257E-1,1.341351509E0,9.601945877E0
5.638392200E-2,-1.813607812E-1,1.245583415E0,9.616311073E0
5.838204700E-2,-1.669955701E-1,1.288679123E0,9.798270226E0
6.038017200E-2,-1.478419602E-1,1.346139908E0,9.645041466E0
6.237834900E-2,-1.334767491E-1,1.346139908E0,9.463082314E0
6.437657800E-2,-1.143231317E-1,1.341351509E0,9.601945877E0
6.637480700E-2,-9.516951442E-2,1.422754407E0,9.932345390E0
6.837303600E-2,-1.095347255E-1,1.518522382E0,9.750386238E0
7.037126600E-2,-9.995792061E-2,1.556829691E0,9.692925453E0
7.236949500E-2,-8.559270948E-2,1.518522382E0,1.004726696E1
7.436772400E-2,-9.516951442E-2,1.628655672E0,9.812635422E0
7.636595300E-2,-1.191115379E-1,1.729212165E0,9.640253067E0
7.836418200E-2,-1.382651478E-1,1.767519355E0,9.908403397E0
8.036241100E-2,-1.478419602E-1,1.848922253E0,1.006642151E1
8.236064100E-2,-1.526303589E-1,1.959055543E0,9.894038200E0
8.435887000E-2,-1.622071713E-1,1.963843942E0,9.937133789E0
8.635709900E-2,-1.526303589E-1,1.805826664E0,1.043991661E1
8.835532800E-2,-1.909375787E-1,1.920748353E0,9.913191795E0
9.035324500E-2,-2.005143911E-1,1.901594758E0,9.592369080E0
9.235116100E-2,-2.436100245E-1,1.896806240E0,9.836577415E0
9.434907800E-2,-2.292448133E-1,1.872864246E0,9.587580681E0
9.634699500E-2,-1.191115379E-1,1.805826664E0,1.000417137E1
9.834491100E-2,-8.080431074E-2,1.906383157E0,1.001853657E1
1.003428280E-1,-3.292027488E-2,1.887229443E0,9.846154213E0
1.023406410E-1,-6.643909961E-2,1.805826664E0,9.917980194E0
1.043384010E-1,-4.728548229E-2,1.868075848E0,9.592369080E0
1.063361610E-1,-2.334346622E-2,1.815403461E0,9.750386238E0
1.083339220E-1,5.386953708E-3,1.705270171E0,9.884461403E0
1.103316820E-1,-1.855506375E-2,1.805826664E0,9.357737541E0
1.123294430E-1,7.721300423E-2,1.609502077E0,9.769539833E0
1.143272030E-1,1.394622475E-1,1.518522382E0,1.021965027E1
1.163249640E-1,1.490390599E-1,1.633444071E0,9.894038200E0
1.183227240E-1,1.346738487E-1,1.805826664E0,9.467870712E0
1.203204840E-1,9.636662155E-2,1.743577361E0,9.874884605E0
1.223182450E-1,1.203086376E-1,1.738788962E0,1.014303589E1
1.243160050E-1,8.678980917E-2,1.844133854E0,9.712079048E0
1.263137660E-1,7.242459804E-2,1.815403461E0,9.740809441E0
1.283115260E-1,-8.978256024E-3,1.834557056E0,1.012867069E1
1.303092860E-1,-3.770867735E-2,1.935113549E0,9.630676270E0
1.323070990E-1,-1.855506375E-2,1.868075848E0,1.029626465E1
1.343049640E-1,-2.334346622E-2,1.944690347E0,1.011909389E1
1.363028800E-1,-3.770867735E-2,2.112284422E0,9.453505516E0
1.383008490E-1,2.932897024E-2,1.906383157E0,1.022922707E1
1.402988700E-1,-4.189853091E-3,1.915959954E0,1.007599831E1
1.422969430E-1,-4.189853091E-3,2.054823637E0,9.458293915E0
1.442950680E-1,5.327098817E-2,1.920748353E0,1.009515190E1
1.462932450E-1,1.107318252E-1,1.920748353E0,1.000417137E1
