"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.793130400E-2,9.418399811E0,-9.003600121E0,-6.329359818E1
4.793130400E-2,9.418399811E0,-9.003600121E0,-6.329359818E1
5.793130400E-2,9.284199715E0,-9.064599991E0,-6.339119720E1
6.793130400E-2,9.247599602E0,-9.101200104E0,-6.336679840E1
7.793130400E-2,9.259799957E0,-9.076799393E0,-6.339119720E1
8.793130400E-2,9.284199715E0,-9.113399506E0,-6.331799698E1
9.793130400E-2,9.271999359E0,-9.125599861E0,-6.335459900E1
1.028275020E-1,9.271999359E0,-9.137800217E0,-6.339119720E1
1.079313040E-1,9.259799957E0,-9.149999619E0,-6.343999863E1
1.179313040E-1,9.210999489E0,-9.174399376E0,-6.346439743E1
1.279313040E-1,9.247599602E0,-9.149999619E0,-6.341559982E1
1.379313040E-1,9.308599472E0,-9.125599861E0,-6.343999863E1
1.479313040E-1,9.394000053E0,-9.125599861E0,-6.343999863E1
1.579313040E-1,9.479399681E0,-9.088999748E0,-6.348880005E1
1.679313040E-1,9.540399551E0,-9.076799393E0,-6.340340042E1
1.779313040E-1,9.650199890E0,-9.003600121E0,-6.340340042E1
1.879313040E-1,9.784399986E0,-9.003600121E0,-6.331799698E1
1.979313040E-1,9.979599953E0,-9.003600121E0,-6.324480057E1
2.079313040E-1,1.017479992E1,-9.003600121E0,-6.330579758E1
2.179313040E-1,1.039439964E1,-8.967000008E0,-6.325699997E1
2.279313040E-1,1.060179996E1,-8.942600250E0,-6.325699997E1
2.379313040E-1,1.079699993E1,-8.881599426E0,-6.328139877E1
2.479313040E-1,1.110200024E1,-8.820599556E0,-6.336679840E1
2.579313040E-1,1.138259983E1,-8.820599556E0,-6.333020020E1
2.679313040E-1,1.165100002E1,-8.759599686E0,-6.342779922E1
2.779313040E-1,1.195599937E1,-8.674200058E0,-6.343999863E1
2.879313040E-1,1.222439957E1,-8.649800301E0,-6.342779922E1
2.979313040E-1,1.254160023E1,-8.576600075E0,-6.348880005E1
3.079313040E-1,1.279780006E1,-8.479000092E0,-6.342779922E1
3.179313040E-1,1.315159988E1,-8.442399979E0,-6.342779922E1
3.279313040E-1,1.348099995E1,-8.356999397E0,-6.339119720E1
3.379313040E-1,1.384700012E1,-8.259399414E0,-6.337899780E1
3.479313040E-1,1.424959946E1,-8.198399544E0,-6.330579758E1
3.579313040E-1,1.461559963E1,-8.076399803E0,-6.333020020E1
3.679313040E-1,1.504259968E1,-7.905600071E0,-6.325699997E1
3.779313040E-1,1.545739937E1,-7.807999611E0,-6.317160034E1
3.879313040E-1,1.594539928E1,-7.649399757E0,-6.317160034E1
3.979313040E-1,1.633580017E1,-7.466399670E0,-6.311059952E1
4.079313040E-1,1.672620010E1,-7.307799816E0,-6.304959869E1
4.179313040E-1,1.716539955E1,-7.088200092E0,-6.301300049E1
4.279313040E-1,1.760459900E1,-6.783199787E0,-6.297639847E1
4.379313040E-1,1.801939964E1,-6.502599716E0,-6.291539764E1
4.479313040E-1,1.839760017E1,-6.258599758E0,-6.287879944E1
4.579313040E-1,1.878800011E1,-5.904799938E0,-6.284219742E1
4.679313040E-1,1.911739922E1,-5.599800110E0,-6.276899719E1
4.779313040E-1,1.950779915E1,-5.282599926E0,-6.274459839E1
4.879313040E-1,1.983720016E1,-4.928800106E0,-6.272019958E1
4.979313040E-1,2.014220047E1,-4.538399696E0,-6.265919876E1
5.079313040E-1,2.034959984E1,-4.147999763E0,-6.262260056E1
5.179313040E-1,2.055699921E1,-3.696599960E0,-6.264699936E1
5.279313040E-1,2.072780037E1,-3.220799923E0,-6.261039734E1
5.379313040E-1,2.083759880E1,-2.744999886E0,-6.262260056E1
5.479313040E-1,2.092300034E1,-2.183799982E0,-6.268359756E1
5.579313040E-1,2.088640022E1,-1.561599970E0,-6.264699936E1
5.679313040E-1,2.078879929E1,-8.783999681E-1,-6.265919876E1
5.779313040E-1,2.056920052E1,-3.172000051E-1,-6.269579697E1
5.879313040E-1,2.033740044E1,4.269999862E-1,-6.272019958E1
5.979313040E-1,1.999580002E1,1.122399926E0,-6.275679779E1
6.079313040E-1,1.962979889E1,1.866599917E0,-6.280559921E1
6.179313040E-1,1.912960052E1,2.635200024E0,-6.296419907E1
6.279313040E-1,1.851959991E1,3.391599894E0,-6.307399750E1
6.379313040E-1,1.786079979E1,4.123600006E0,-6.326919937E1
6.479313040E-1,1.714099884E1,4.831200123E0,-6.350099945E1
6.579313040E-1,1.643339920E1,5.611999989E0,-6.368399811E1
6.679313040E-1,1.550619984E1,6.295199871E0,-6.389139938E1
6.779313040E-1,1.456680012E1,6.966199875E0,-6.411100006E1
6.879313040E-1,1.354199982E1,7.612799644E0,-6.442819977E1
6.979313040E-1,1.249279976E1,8.234999657E0,-6.461119843E1
7.079313040E-1,1.138259983E1,8.796199799E0,-6.489179993E1
7.179313040E-1,1.021140003E1,9.357399940E0,-6.517240143E1
7.279313040E-1,9.015799522E0,9.906399727E0,-6.542859650E1
7.379313040E-1,7.734799862E0,1.043099976E1,-6.574579620E1
7.479313040E-1,6.392799854E0,1.089459991E1,-6.611180115E1
7.579313040E-1,5.038599968E0,1.137039948E1,-6.644120026E1
7.679313040E-1,3.623399973E0,1.183399963E1,-6.680719757E1
7.779313040E-1,2.183799982E0,1.218779945E1,-6.719760132E1
7.879313040E-1,6.832000017E-1,1.260260010E1,-6.758799744E1
7.979313040E-1,-8.173999786E-1,1.288319969E1,-6.799060059E1
8.079313040E-1,-2.281399965E0,1.315159988E1,-6.831999969E1
8.179313040E-1,-3.769799948E0,1.338339996E1,-6.874700165E1
8.279313040E-1,-5.258199692E0,1.350539970E1,-6.919840240E1
8.379313040E-1,-6.807600021E0,1.355420017E1,-6.964979553E1
8.479313040E-1,-8.344799995E0,1.351760006E1,-7.007679749E1
8.579313040E-1,-9.833199501E0,1.354199982E1,-7.050379944E1
8.679313040E-1,-1.138259983E1,1.344439983E1,-7.096739960E1
8.779313040E-1,-1.296859932E1,1.328579998E1,-7.140660095E1
8.879313040E-1,-1.457899952E1,1.310279942E1,-7.194339752E1
8.979313040E-1,-1.615279961E1,1.283440018E1,-7.244359589E1
9.079313040E-1,-1.767779922E1,1.252939987E1,-7.289499664E1
9.179313040E-1,-1.912960052E1,1.218779945E1,-7.337079620E1
9.279313040E-1,-2.059359932E1,1.177299976E1,-7.380999756E1
9.379313040E-1,-2.199659920E1,1.129720020E1,-7.428579712E1
9.479313040E-1,-2.337520027E1,1.068719959E1,-7.471279907E1
9.579313040E-1,-2.461960030E1,1.007719994E1,-7.515200043E1
9.679313040E-1,-2.581519890E1,9.394000053E0,-7.554239655E1
9.779313040E-1,-2.692539978E1,8.698599815E0,-7.592060089E1
9.879313040E-1,-2.792580032E1,7.856800079E0,-7.626219940E1
9.979313040E-1,-2.880419922E1,6.990599632E0,-7.659159851E1
1.007931304E0,-2.960939980E1,6.099999905E0,-7.684780121E1
1.017931304E0,-3.031699944E1,5.111799717E0,-7.718939972E1
1.027931304E0,-3.075619888E1,4.086999893E0,-7.742119598E1
1.037931304E0,-3.118319893E1,3.098799944E0,-7.762860107E1
1.047931304E0,-3.146379852E1,2.098399878E0,-7.786039734E1
1.057931304E0,-3.165899849E1,1.049199939E0,-7.803119659E1
1.067931304E0,-3.163459969E1,1.586000025E-1,-7.822640228E1
1.077931304E0,-3.154920006E1,-8.417999744E-1,-7.837279510E1
1.087931304E0,-3.137839890E1,-1.793399930E0,-7.856800079E1
1.097931304E0,-3.113439941E1,-2.732800007E0,-7.865339661E1
1.107931304E0,-3.081719971E1,-3.550199986E0,-7.875099945E1
1.117931304E0,-3.032919884E1,-4.477399826E0,-7.884859467E1
1.127931304E0,-2.975580025E1,-5.392399788E0,-7.897059631E1
1.137931304E0,-2.915799904E1,-6.234200001E0,-7.900720215E1
1.147931304E0,-2.857239914E1,-7.112599850E0,-7.904380035E1
1.157931304E0,-2.779159927E1,-7.990999699E0,-7.905599976E1
1.167931304E0,-2.691320038E1,-8.857199669E0,-7.908039856E1
1.177931304E0,-2.597379875E1,-9.698999405E0,-7.901940155E1
1.187931304E0,-2.499779892E1,-1.058959961E1,-7.898279572E1
1.197931304E0,-2.378999901E1,-1.148019981E1,-7.898279572E1
1.207931304E0,-2.260659981E1,-1.239519978E1,-7.884859467E1
1.217931304E0,-2.132559967E1,-1.329799938E1,-7.882419586E1
1.227931304E0,-2.002019882E1,-1.420079994E1,-7.871440125E1
1.237931304E0,-1.850740051E1,-1.505480003E1,-7.860459900E1
1.247931304E0,-1.695800018E1,-1.594539928E1,-7.845819855E1
1.257931304E0,-1.532319927E1,-1.677499962E1,-7.834839630E1
1.267931304E0,-1.357859993E1,-1.755579948E1,-7.818979645E1
1.277931304E0,-1.176079941E1,-1.833659935E1,-7.794580078E1
1.287931304E0,-9.845399857E0,-1.894659996E1,-7.775059509E1
1.297931304E0,-7.905600071E0,-1.965419960E1,-7.748220062E1
1.307931304E0,-5.782799721E0,-2.031299973E1,-7.720159912E1
1.317931304E0,-3.708799839E0,-2.088640022E1,-7.693319702E1
1.327931304E0,-1.549399972E0,-2.136219978E1,-7.662819672E1
1.337931304E0,6.222000122E-1,-2.170380020E1,-7.632319641E1
1.347931304E0,2.805999994E0,-2.203319931E1,-7.601819611E1
1.357931304E0,4.965399742E0,-2.214299965E1,-7.577420044E1
1.367931304E0,7.124799728E0,-2.231379890E1,-7.554239655E1
1.377931304E0,9.308599472E0,-2.222839928E1,-7.535939789E1
1.387931304E0,1.146799946E1,-2.205760002E1,-7.521299744E1
1.397931304E0,1.355420017E1,-2.160619926E1,-7.510319519E1
1.407931304E0,1.564039993E1,-2.105719948E1,-7.509099579E1
1.417931304E0,1.762899971E1,-2.038619995E1,-7.517639923E1
1.427931304E0,1.953219986E1,-1.947119904E1,-7.542039490E1
1.437931304E0,2.128899956E1,-1.803159904E1,-7.606700134E1
1.447931304E0,2.296039963E1,-1.638459969E1,-7.706739807E1
1.457931304E0,2.447319984E1,-1.457899952E1,-7.848259735E1
1.467931304E0,2.585179901E1,-1.261479950E1,-8.051999664E1
1.477931304E0,2.691320038E1,-1.080919933E1,-8.313079834E1
1.487931304E0,2.782819939E1,-9.540399551E0,-8.703479767E1
1.497931304E0,2.860899925E1,-9.027999878E0,-9.140239716E1
1.507931304E0,2.926779938E1,-9.430600166E0,-9.586759949E1
1.517931304E0,2.974359894E1,-1.115079975E1,-9.996679688E1
1.527931304E0,3.026819992E1,-1.450579929E1,-1.030899963E2
1.537931304E0,3.081719971E1,-1.862940025E1,-1.053957977E2
