"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.872247000E-2,-2.196680009E-1,1.164180517E0,9.716867447E0
2.071866800E-2,-2.340332121E-1,1.202487826E0,9.783905029E0
2.271486600E-2,-2.292448133E-1,1.283890605E0,9.822212219E0
2.471106300E-2,-2.005143911E-1,1.360505104E0,9.807847023E0
2.670726100E-2,-1.861491799E-1,1.394023895E0,9.812635422E0
2.870345900E-2,-1.574187577E-1,1.456273198E0,9.874884605E0
3.069965700E-2,-1.430535465E-1,1.494580388E0,9.903614998E0
3.269585500E-2,-1.286883354E-1,1.494580388E0,9.994594574E0
3.469205300E-2,-9.516951442E-2,1.571194887E0,1.001374817E1
3.668825100E-2,-5.207388848E-2,1.619078875E0,1.002332497E1
3.868444900E-2,2.454056777E-2,1.633444071E0,1.003290176E1
4.068064700E-2,3.411737457E-2,1.633444071E0,1.005684471E1
4.267684500E-2,8.200141042E-2,1.643020868E0,1.004247856E1
4.467304300E-2,8.678980917E-2,1.638232470E0,1.005205631E1
4.666924100E-2,5.805939063E-2,1.590348482E0,1.008557510E1
4.866543800E-2,2.454056777E-2,1.556829691E0,1.012388229E1
5.066163600E-2,5.327098817E-2,1.580771685E0,1.005205631E1
5.265783400E-2,2.454056777E-2,1.662174582E0,9.980229378E0
5.465403200E-2,1.975216344E-2,1.671751380E0,9.827000618E0
5.665023000E-2,-2.813187055E-2,1.676539779E0,9.822212219E0
5.864642800E-2,2.454056777E-2,1.724423766E0,9.582792282E0
6.064262600E-2,-2.813187055E-2,1.863287449E0,9.673771858E0
6.263882400E-2,-8.978256024E-3,1.829768658E0,9.884461403E0
6.463502200E-2,7.721300423E-2,1.796249866E0,9.894038200E0
6.663122000E-2,5.327098817E-2,1.820191860E0,9.903614998E0
6.862741800E-2,1.155202314E-1,1.853710651E0,9.927556992E0
7.062361600E-2,1.346738487E-1,1.906383157E0,9.937133789E0
7.261981300E-2,1.059434265E-1,1.896806240E0,9.884461403E0
7.461601100E-2,7.242459804E-2,1.877652645E0,9.783905029E0
7.661220900E-2,8.200141042E-2,1.982997537E0,9.683348656E0
7.860840700E-2,6.763619930E-2,1.997362733E0,9.582792282E0
8.060460500E-2,6.763619930E-2,2.016516447E0,9.573215485E0
8.260080300E-2,1.011550203E-1,2.102707624E0,9.429563522E0
8.459700100E-2,1.394622475E-1,2.112284422E0,9.400833130E0
8.659319900E-2,1.394622475E-1,2.117072821E0,9.400833130E0
8.858939700E-2,1.250970364E-1,2.102707624E0,9.161413193E0
9.058559500E-2,8.678980917E-2,2.184110403E0,9.075222015E0
9.258179300E-2,1.250970364E-1,2.208052635E0,9.534908295E0
9.457799100E-2,2.400187254E-1,2.184110403E0,9.668983459E0
9.657418800E-2,2.831143439E-1,2.222417831E0,9.678560257E0
9.857038600E-2,3.118447661E-1,2.308609009E0,9.582792282E0
1.005665840E-1,2.879027426E-1,2.231994629E0,9.640253067E0
1.025627820E-1,2.783259451E-1,2.184110403E0,9.827000618E0
1.045589800E-1,2.639607489E-1,2.270301819E0,9.932345390E0
1.065551780E-1,2.639607489E-1,2.480991602E0,9.558850288E0
1.085513760E-1,1.346738487E-1,2.500145197E0,9.357737541E0
1.105475740E-1,6.284779310E-2,2.404376984E0,9.755174637E0
1.125437720E-1,2.454056777E-2,2.370858192E0,9.884461403E0
1.145399700E-1,4.848258570E-2,2.543240786E0,9.702502251E0
1.165361680E-1,4.848258570E-2,2.600701571E0,9.257181168E0
1.185323660E-1,-5.207388848E-2,2.643797159E0,9.439140320E0
1.205285630E-1,-9.995792061E-2,2.538452387E0,1.026274586E1
1.225247610E-1,5.985504249E-4,2.672527552E0,9.941922188E0
1.245209590E-1,-4.189853091E-3,2.701258183E0,9.903614998E0
1.265171570E-1,2.932897024E-2,2.667739153E0,9.980229378E0
1.285133550E-1,8.200141042E-2,2.725200176E0,9.894038200E0
1.305095530E-1,9.157821536E-2,2.830544949E0,9.702502251E0
1.325057510E-1,8.200141042E-2,2.835333347E0,9.443928719E0
1.345019490E-1,4.848258570E-2,2.691681147E0,9.534908295E0
1.364981470E-1,3.890577704E-2,2.653373957E0,9.673771858E0
1.384943450E-1,8.678980917E-2,2.576759577E0,9.975440979E0
1.404905430E-1,1.107318252E-1,2.639008760E0,9.927556992E0
1.424867410E-1,4.369417951E-2,2.854486942E0,8.969876289E0
1.444829380E-1,-3.770867735E-2,2.423530579E0,9.755174637E0
1.464791360E-1,4.848258570E-2,2.557605982E0,9.554061890E0
1.484753860E-1,-9.516951442E-2,2.816179752E0,9.898826599E0
1.504716360E-1,-4.728548229E-2,2.567182779E0,9.999382973E0
1.524678860E-1,-8.080431074E-2,2.500145197E0,1.006163311E1
1.544641360E-1,-9.995792061E-2,2.749142170E0,9.846154213E0
1.564603860E-1,-1.765723825E-1,3.007715940E0,8.874108315E0
1.584566360E-1,-2.148796022E-1,2.873640537E0,8.596381187E0
1.604528860E-1,-2.196680009E-1,2.624643564E0,9.554061890E0
1.624491360E-1,-3.770867735E-2,2.600701571E0,1.013345909E1
1.644453860E-1,1.059434265E-1,2.811391354E0,9.774328232E0
1.664416360E-1,1.250970364E-1,2.878428936E0,9.041702271E0
1.684378860E-1,2.454056777E-2,2.662950754E0,9.099164009E0
1.704341360E-1,3.890577704E-2,2.528875589E0,9.587580681E0
1.724303860E-1,1.155202314E-1,2.552817583E0,9.630676270E0
1.744266360E-1,1.298854351E-1,2.624643564E0,9.491812706E0
1.764228860E-1,1.298854351E-1,2.509721994E0,8.993818283E0
1.784191360E-1,-1.855506375E-2,2.404376984E0,9.223662376E0
1.804153860E-1,5.985504249E-4,2.423530579E0,9.678560257E0
1.824116360E-1,9.636662155E-2,2.308609009E0,1.009994030E1
1.844078860E-1,1.442506462E-1,2.270301819E0,9.534908295E0
1.864041360E-1,7.721300423E-2,2.169745207E0,9.396044731E0
1.884003860E-1,1.496376097E-2,2.222417831E0,9.242815971E0
1.903966360E-1,1.496376097E-2,2.399588585E0,8.969876289E0
1.923928860E-1,5.805939063E-2,2.299032211E0,9.659406662E0
1.943891360E-1,1.011550203E-1,2.342127800E0,9.697713852E0
1.963853860E-1,1.586158574E-1,2.480991602E0,1.001853657E1
1.983816360E-1,1.059434265E-1,2.701258183E0,9.419986725E0
2.003778860E-1,-8.978256024E-3,2.552817583E0,9.151836395E0
2.023741360E-1,-1.143231317E-1,2.490568399E0,1.009036350E1
2.043703860E-1,-9.995792061E-2,2.897582531E0,9.549273491E0
2.063666360E-1,-8.080431074E-2,3.079541922E0,9.233239174E0
2.083628860E-1,-5.686229095E-2,2.816179752E0,9.961075783E0
2.103591360E-1,-1.765723825E-1,2.610278368E0,9.745597839E0
2.123553860E-1,-2.531868219E-1,2.868852139E0,9.223662376E0
2.143516360E-1,-2.340332121E-1,2.844910145E0,9.448717117E0
2.163478860E-1,-2.723404467E-1,2.605489969E0,9.491812706E0
2.183441360E-1,-2.340332121E-1,2.490568399E0,9.985017776E0
2.203403860E-1,-1.286883354E-1,2.284667015E0,1.069370174E1
2.223366360E-1,-1.574187577E-1,2.538452387E0,9.970652580E0
2.243328860E-1,-2.100912035E-1,2.763507366E0,9.314641953E0
2.263291360E-1,-2.962824702E-1,2.677315950E0,8.965087891E0
2.283253340E-1,-3.154360652E-1,2.471414804E0,9.372102737E0
2.303215320E-1,-2.627636492E-1,2.107496023E0,1.018613148E1
2.323177300E-1,-2.196680009E-1,2.035670042E0,1.040160942E1
2.343139280E-1,-2.436100245E-1,2.476203203E0,9.415198326E0
2.363101260E-1,-2.627636492E-1,2.452261209E0,9.525331497E0
2.383063240E-1,-2.819172442E-1,1.839345455E0,1.034893703E1
2.403025220E-1,-1.909375787E-1,2.605489969E0,8.950722694E0
2.422987200E-1,-1.622071713E-1,2.677315950E0,8.735244751E0
2.442949180E-1,-1.478419602E-1,2.476203203E0,8.955511093E0
2.462911160E-1,-7.122749835E-2,2.557605982E0,9.673771858E0
2.482873130E-1,4.848258570E-2,2.509721994E0,9.850942612E0
2.502835110E-1,1.059434265E-1,2.538452387E0,9.956287384E0
2.522797090E-1,1.155202314E-1,2.696469545E0,9.793481827E0
2.542759070E-1,1.011550203E-1,2.571971178E0,9.946710587E0
2.562721050E-1,-3.770867735E-2,2.509721994E0,9.539696693E0
2.582683030E-1,-1.286883354E-1,2.433107376E0,9.831789017E0
2.602645010E-1,-1.574187577E-1,2.409165382E0,1.032020664E1
2.622606990E-1,-1.478419602E-1,2.509721994E0,1.024838066E1
2.642568970E-1,-2.196680009E-1,2.543240786E0,9.865307808E0
