"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.479208800E-2,9.491600037E0,-1.413980007E1,-4.262680054E1
4.479208800E-2,9.540399551E0,-1.418859959E1,-4.256579971E1
5.479208800E-2,9.528200150E0,-1.433500004E1,-4.254140091E1
6.479208800E-2,9.515999794E0,-1.443260002E1,-4.257799911E1
7.479208800E-2,9.430600166E0,-1.453020000E1,-4.252919769E1
8.479208800E-2,9.345199585E0,-1.463999939E1,-4.248040009E1
9.479208800E-2,9.357399940E0,-1.467659950E1,-4.245599747E1
1.047920880E-1,9.430600166E0,-1.472539997E1,-4.245599747E1
1.147920880E-1,9.528200150E0,-1.487179947E1,-4.245599747E1
1.247920880E-1,9.613599777E0,-1.495720005E1,-4.245599747E1
1.347920880E-1,9.674599648E0,-1.501819992E1,-4.244379807E1
1.447920880E-1,9.747799873E0,-1.511579990E1,-4.240719986E1
1.547920880E-1,9.881999969E0,-1.512799931E1,-4.240719986E1
1.647920880E-1,1.010159969E1,-1.511579990E1,-4.243159866E1
1.747920880E-1,1.023579979E1,-1.514019966E1,-4.248040009E1
1.847920880E-1,1.036999989E1,-1.501819992E1,-4.256579971E1
1.947920880E-1,1.046759987E1,-1.487179947E1,-4.263899994E1
2.047920880E-1,1.058959961E1,-1.476200008E1,-4.278540039E1
2.147920880E-1,1.074819946E1,-1.461559963E1,-4.296839905E1
2.247920880E-1,1.093120003E1,-1.437160015E1,-4.317580032E1
2.347920880E-1,1.112639999E1,-1.416419983E1,-4.344419861E1
2.447920880E-1,1.122399998E1,-1.396899986E1,-4.372480011E1
2.547920880E-1,1.129720020E1,-1.379819965E1,-4.400539780E1
2.647920880E-1,1.135820007E1,-1.374940014E1,-4.421279907E1
2.747920880E-1,1.138259983E1,-1.376159954E1,-4.451779938E1
2.847920880E-1,1.134599972E1,-1.379819965E1,-4.470079803E1
2.947920880E-1,1.123619938E1,-1.382259941E1,-4.485939789E1
3.047920880E-1,1.107759953E1,-1.392019939E1,-4.503020096E1
3.147920880E-1,1.078479958E1,-1.405439949E1,-4.511560059E1
3.247920880E-1,1.049199963E1,-1.417640018E1,-4.507899857E1
3.347920880E-1,1.023579979E1,-1.429839993E1,-4.499359894E1
3.447920880E-1,9.881999969E0,-1.432279968E1,-4.493259811E1
3.547920880E-1,9.442799568E0,-1.423740005E1,-4.476179886E1
3.647920880E-1,8.991399765E0,-1.412759972E1,-4.459099960E1
3.747920880E-1,8.527799606E0,-1.401779938E1,-4.439579773E1
3.847920880E-1,8.039799690E0,-1.387139988E1,-4.421279907E1
3.947920880E-1,7.539599895E0,-1.370059967E1,-4.406639862E1
4.047920880E-1,7.063799858E0,-1.349319935E1,-4.399319839E1
4.147920880E-1,6.551399708E0,-1.333459949E1,-4.388339996E1
4.247920880E-1,6.112199783E0,-1.323699951E1,-4.383459854E1
4.347920880E-1,5.721799850E0,-1.315159988E1,-4.387120056E1
4.447920880E-1,5.368000031E0,-1.315159988E1,-4.394440079E1
4.547920880E-1,5.099599838E0,-1.317599964E1,-4.401760101E1
4.647920880E-1,4.818999767E0,-1.324919987E1,-4.404199982E1
4.747920880E-1,4.684800148E0,-1.328579998E1,-4.404199982E1
4.847920880E-1,4.538399696E0,-1.349319935E1,-4.410300064E1
4.947920880E-1,4.465199947E0,-1.367619991E1,-4.421279907E1
5.047920880E-1,4.416399956E0,-1.396899986E1,-4.427379990E1
5.147920880E-1,4.404200077E0,-1.427400017E1,-4.431039810E1
5.247920880E-1,4.453000069E0,-1.451799965E1,-4.440800095E1
5.347920880E-1,4.489599705E0,-1.485960007E1,-4.452999878E1
5.447920880E-1,4.599400043E0,-1.517679977E1,-4.466419983E1
5.547920880E-1,4.660399914E0,-1.555499935E1,-4.481060028E1
5.647920880E-1,4.745800018E0,-1.587220001E1,-4.494479752E1
5.747920880E-1,4.733600140E0,-1.622599983E1,-4.506679916E1
5.847920880E-1,4.623799801E0,-1.651879883E1,-4.515219879E1
5.947920880E-1,4.489599705E0,-1.688479996E1,-4.510339737E1
6.047920880E-1,4.269999981E0,-1.723859978E1,-4.504240036E1
6.147920880E-1,4.013800144E0,-1.761680031E1,-4.496920013E1
6.247920880E-1,3.696599960E0,-1.799499893E1,-4.487159729E1
6.347920880E-1,3.342799902E0,-1.832439995E1,-4.473740005E1
6.447920880E-1,2.940199852E0,-1.859280014E1,-4.452999878E1
6.547920880E-1,2.574199915E0,-1.877579880E1,-4.432259750E1
6.647920880E-1,2.281399965E0,-1.892219925E1,-4.413959885E1
6.747920880E-1,1.964200020E0,-1.899539948E1,-4.404199982E1
6.847920880E-1,1.683599949E0,-1.903199959E1,-4.387120056E1
6.947920880E-1,1.439599991E0,-1.897099876E1,-4.378580093E1
7.047920880E-1,1.232200027E0,-1.888559914E1,-4.366379929E1
7.147920880E-1,1.097999930E0,-1.881239891E1,-4.355400085E1
7.247920880E-1,1.012599945E0,-1.867819977E1,-4.350519943E1
7.347920880E-1,9.149999619E-1,-1.854399872E1,-4.343199921E1
7.447920880E-1,8.051999807E-1,-1.840979958E1,-4.334659958E1
7.547920880E-1,7.319999933E-1,-1.833659935E1,-4.324900055E1
7.647920880E-1,7.075999975E-1,-1.823900032E1,-4.323679733E1
7.747920880E-1,6.710000038E-1,-1.810479927E1,-4.306599808E1
7.847920880E-1,6.710000038E-1,-1.798279953E1,-4.302939987E1
7.947920880E-1,6.222000122E-1,-1.784860039E1,-4.298059845E1
8.047920880E-1,5.978000164E-1,-1.770219994E1,-4.296839905E1
8.147920880E-1,5.367999673E-1,-1.756799889E1,-4.296839905E1
8.247920880E-1,5.123999715E-1,-1.744599915E1,-4.294400024E1
8.347920880E-1,4.391999841E-1,-1.723859978E1,-4.296839905E1
8.447920880E-1,3.659999967E-1,-1.705559921E1,-4.291959763E1
8.547920880E-1,2.928000093E-1,-1.689699936E1,-4.294400024E1
8.647920880E-1,2.073999941E-1,-1.675059891E1,-4.285860062E1
8.747920880E-1,1.708000004E-1,-1.656760025E1,-4.278540039E1
8.847920880E-1,1.464000046E-1,-1.649440002E1,-4.267559814E1
8.947920880E-1,1.341999918E-1,-1.629920006E1,-4.263899994E1
9.047920880E-1,1.097999960E-1,-1.617720032E1,-4.267559814E1
9.147920880E-1,1.586000025E-1,-1.596980000E1,-4.265119934E1
9.247920880E-1,1.829999983E-1,-1.581120014E1,-4.260239792E1
9.347920880E-1,2.683999836E-1,-1.560379982E1,-4.261459732E1
9.447920880E-1,3.416000009E-1,-1.532319927E1,-4.267559814E1
9.547920880E-1,4.025999904E-1,-1.506699944E1,-4.274879837E1
9.647920880E-1,4.147999883E-1,-1.478639984E1,-4.285860062E1
9.747920880E-1,5.367999673E-1,-1.456680012E1,-4.287080002E1
