"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.869616300E-2,6.763619930E-2,1.442506462E-1,9.927556992E0
2.069616300E-2,5.985504249E-4,1.586158574E-1,9.999382973E0
2.218371500E-2,-2.813187055E-2,1.777694821E-1,9.965864182E0
2.414892300E-2,-9.038111567E-2,1.155202314E-1,9.884461403E0
2.575673600E-2,-1.143231317E-1,1.203086376E-1,9.807847023E0
2.758340200E-2,-7.601590455E-2,8.678980917E-2,9.726444244E0
2.954861100E-2,-1.376665942E-2,8.200141042E-2,9.692925453E0
3.151381900E-2,6.763619930E-2,8.678980917E-2,9.673771858E0
3.347902700E-2,1.155202314E-1,9.636662155E-2,9.678560257E0
3.544423600E-2,1.586158574E-1,1.203086376E-1,9.664195061E0
3.740944400E-2,2.017114908E-1,1.298854351E-1,9.659406662E0
3.937465200E-2,2.352303118E-1,1.298854351E-1,9.654618263E0
4.133986100E-2,2.304419130E-1,1.346738487E-1,9.726444244E0
4.330506900E-2,2.304419130E-1,1.346738487E-1,9.755174637E0
4.527027700E-2,2.448071241E-1,1.394622475E-1,9.807847023E0
4.723548600E-2,2.495955229E-1,1.442506462E-1,9.817423820E0
4.920069400E-2,2.495955229E-1,1.586158574E-1,9.812635422E0
5.116590200E-2,1.969230920E-1,1.681926697E-1,9.803058624E0
5.313111100E-2,1.873462796E-1,1.681926697E-1,9.774328232E0
5.509631900E-2,1.777694821E-1,1.538274586E-1,9.759963036E0
5.706152700E-2,1.634042710E-1,1.634042710E-1,9.731232643E0
5.902673600E-2,1.394622475E-1,1.586158574E-1,9.721655846E0
6.099194400E-2,1.298854351E-1,1.298854351E-1,9.692925453E0
6.295715200E-2,1.059434265E-1,1.586158574E-1,9.688137054E0
6.492236100E-2,1.107318252E-1,1.681926697E-1,9.673771858E0
6.688756900E-2,1.155202314E-1,1.777694821E-1,9.673771858E0
6.885277700E-2,1.250970364E-1,1.729810685E-1,9.721655846E0
7.081798600E-2,1.873462796E-1,2.831143439E-1,9.501389503E0
7.278319400E-2,1.538274586E-1,1.921346933E-1,9.563638687E0
7.474840200E-2,1.107318252E-1,1.442506462E-1,9.716867447E0
7.671361100E-2,1.250970364E-1,1.538274586E-1,9.769539833E0
7.867881900E-2,1.298854351E-1,1.969230920E-1,9.783905029E0
8.064439200E-2,1.059434265E-1,1.442506462E-1,9.803058624E0
8.261163200E-2,1.107318252E-1,1.729810685E-1,9.817423820E0
8.458173600E-2,1.059434265E-1,2.064998895E-1,9.769539833E0
8.655574600E-2,1.155202314E-1,1.681926697E-1,9.740809441E0
8.853444400E-2,1.346738487E-1,1.490390599E-1,9.750386238E0
9.051845500E-2,1.825578809E-1,1.538274586E-1,9.702502251E0
9.250814200E-2,1.681926697E-1,1.394622475E-1,9.716867447E0
9.450366300E-2,1.777694821E-1,1.059434265E-1,9.707290649E0
9.650491300E-2,1.873462796E-1,1.729810685E-1,9.659406662E0
9.851152700E-2,1.777694821E-1,1.538274586E-1,9.630676270E0
1.005229860E-1,1.921346933E-1,1.394622475E-1,9.582792282E0
1.025385590E-1,1.681926697E-1,1.107318252E-1,9.578003883E0
1.045574130E-1,1.681926697E-1,1.298854351E-1,9.597157478E0
1.065786110E-1,1.681926697E-1,1.298854351E-1,9.544485092E0
1.086011110E-1,2.064998895E-1,1.442506462E-1,9.563638687E0
1.106239230E-1,1.969230920E-1,1.155202314E-1,9.549273491E0
1.126304340E-1,2.160767019E-1,1.155202314E-1,9.587580681E0
1.146288190E-1,2.304419130E-1,1.298854351E-1,9.573215485E0
1.166272050E-1,2.591723204E-1,1.107318252E-1,9.568427086E0
1.186255900E-1,2.639607489E-1,1.298854351E-1,9.616311073E0
1.206239750E-1,2.448071241E-1,1.729810685E-1,9.659406662E0
1.226223610E-1,1.969230920E-1,1.873462796E-1,9.673771858E0
1.246207460E-1,1.681926697E-1,2.208651006E-1,9.678560257E0
1.266191320E-1,1.107318252E-1,2.400187254E-1,9.688137054E0
1.286175170E-1,5.805939063E-2,2.448071241E-1,9.712079048E0
1.306159020E-1,1.496376097E-2,3.357867897E-1,9.721655846E0
1.326142880E-1,-4.249707982E-2,4.028244317E-1,9.726444244E0
1.346126730E-1,-8.080431074E-2,4.650736749E-1,9.702502251E0
1.366110590E-1,-1.143231317E-1,5.416881442E-1,9.716867447E0
1.386094440E-1,-1.526303589E-1,5.752069354E-1,9.731232643E0
1.406078300E-1,-1.382651478E-1,5.943605900E-1,9.750386238E0
1.426062150E-1,-1.574187577E-1,6.326677799E-1,9.759963036E0
1.446046000E-1,-1.430535465E-1,6.135141850E-1,9.774328232E0
1.466030380E-1,-2.483984232E-1,4.985924959E-1,9.453505516E0
1.486015270E-1,-2.627636492E-1,4.363432527E-1,9.372102737E0
1.506000170E-1,-7.601590455E-2,3.405751884E-1,9.779116631E0
1.525985070E-1,-3.770867735E-2,4.794389009E-1,9.985017776E0
1.545969960E-1,-7.601590455E-2,5.464765429E-1,9.860519409E0
1.565954860E-1,-7.122749835E-2,6.230909824E-1,9.625887871E0
1.585939750E-1,-4.728548229E-2,7.475894690E-1,9.592369080E0
1.605924650E-1,5.985504249E-4,7.715315223E-1,9.659406662E0
1.625909550E-1,3.890577704E-2,7.811083198E-1,9.640253067E0
1.645894440E-1,2.932897024E-2,7.044938207E-1,9.558850288E0
1.665879340E-1,1.975216344E-2,5.847837925E-1,9.601945877E0
1.685864230E-1,5.805939063E-2,5.464765429E-1,9.750386238E0
1.705849130E-1,2.932897024E-2,5.943605900E-1,9.822212219E0
1.725834020E-1,-2.334346622E-2,6.613982320E-1,9.836577415E0
1.745818920E-1,-5.207388848E-2,6.997054219E-1,9.803058624E0
1.765803820E-1,-6.643909961E-2,7.523778677E-1,9.755174637E0
1.785788710E-1,-1.095347255E-1,7.906851172E-1,9.755174637E0
1.805773610E-1,-1.478419602E-1,7.858967185E-1,9.688137054E0
1.825758500E-1,-2.292448133E-1,6.997054219E-1,9.578003883E0
1.845743400E-1,-1.717839688E-1,6.135141850E-1,9.716867447E0
1.865728300E-1,-1.574187577E-1,7.140706778E-1,9.807847023E0
1.885713190E-1,-2.100912035E-1,8.098387122E-1,9.798270226E0
1.905698090E-1,-2.340332121E-1,9.247604012E-1,9.707290649E0
1.925682980E-1,-2.148796022E-1,9.487023950E-1,9.750386238E0
1.945667880E-1,-2.196680009E-1,1.015740037E0,9.774328232E0
1.965652770E-1,-2.244564146E-1,1.020528436E0,9.774328232E0
1.985637670E-1,-2.100912035E-1,9.774328470E-1,9.822212219E0
2.005622050E-1,-1.909375787E-1,9.965864420E-1,9.745597839E0
2.025606420E-1,-2.340332121E-1,7.906851172E-1,9.697713852E0
2.045590800E-1,-1.574187577E-1,6.470330358E-1,9.740809441E0
2.065575170E-1,-8.080431074E-2,5.943605900E-1,1.005205631E1
2.085559550E-1,-1.143231317E-1,6.039373875E-1,1.010951710E1
2.105543920E-1,-1.143231317E-1,6.661866307E-1,9.980229378E0
2.125528300E-1,-9.995792061E-2,7.811083198E-1,9.803058624E0
2.145512670E-1,-7.601590455E-2,8.816647530E-1,9.831789017E0
2.165497050E-1,-6.643909961E-2,8.577227592E-1,9.941922188E0
2.185481420E-1,-9.516951442E-2,8.385691643E-1,9.917980194E0
2.205465800E-1,-1.047463268E-1,9.151836038E-1,9.769539833E0
2.225449650E-1,-1.191115379E-1,9.678560495E-1,9.659406662E0
2.245431420E-1,-1.334767491E-1,9.487023950E-1,9.688137054E0
2.265413190E-1,-1.622071713E-1,8.960300088E-1,9.649829865E0
2.285394960E-1,-2.292448133E-1,8.146271110E-1,9.664195061E0
2.305376730E-1,-2.005143911E-1,6.901286244E-1,9.779116631E0
2.325358500E-1,-1.526303589E-1,7.858967185E-1,9.975440979E0
2.345340270E-1,-1.669955701E-1,8.433575630E-1,9.898826599E0
2.365322050E-1,-2.340332121E-1,9.199720025E-1,9.755174637E0
2.385303820E-1,-2.100912035E-1,1.030105233E0,9.736021042E0
2.405285590E-1,-1.717839688E-1,1.106719732E0,9.745597839E0
2.425267360E-1,-1.669955701E-1,1.135450125E0,9.850942612E0
2.445249650E-1,-9.995792061E-2,1.192911029E0,9.803058624E0
2.465232460E-1,-1.095347255E-1,1.116296530E0,9.822212219E0
2.485215800E-1,-8.559270948E-2,1.087566137E0,9.827000618E0
2.505199650E-1,-3.770867735E-2,1.049258947E0,9.807847023E0
2.525184020E-1,5.386953708E-3,9.534908533E-1,9.850942612E0
2.545168920E-1,1.975216344E-2,9.630676508E-1,9.831789017E0
2.565153820E-1,5.985504249E-4,8.768763542E-1,9.807847023E0
2.585138710E-1,-1.855506375E-2,8.433575630E-1,9.764751434E0
2.605123610E-1,-1.376665942E-2,7.475894690E-1,9.683348656E0
2.625108500E-1,-2.813187055E-2,6.709750295E-1,9.716867447E0
2.645093400E-1,-4.728548229E-2,7.092822790E-1,9.625887871E0
2.665078300E-1,5.386953708E-3,7.332242727E-1,9.611522675E0
2.685061630E-1,5.327098817E-2,6.901286244E-1,9.688137054E0
2.705041840E-1,1.496376097E-2,6.039373875E-1,9.860519409E0
2.725022050E-1,-2.813187055E-2,6.087257862E-1,9.827000618E0
2.745002250E-1,5.386953708E-3,6.805518270E-1,9.668983459E0
2.764982460E-1,-3.770867735E-2,6.709750295E-1,9.482235909E0
2.784963190E-1,-5.207388848E-2,6.230909824E-1,9.396044731E0
2.804944440E-1,-7.122749835E-2,7.044938207E-1,9.386467934E0
2.824926210E-1,-1.855506375E-2,6.183025837E-1,9.520543098E0
2.844908500E-1,3.890577704E-2,5.416881442E-1,9.822212219E0
2.864891320E-1,1.975216344E-2,5.033808947E-1,1.007599831E1
2.884874650E-1,7.721300423E-2,6.039373875E-1,9.994594574E0
2.904858500E-1,2.932897024E-2,6.566098332E-1,9.779116631E0
2.924842880E-1,5.985504249E-4,7.188590765E-1,9.563638687E0
2.944827770E-1,-7.601590455E-2,7.140706778E-1,9.611522675E0
2.964812670E-1,-1.047463268E-1,6.901286244E-1,9.774328232E0
2.984797570E-1,-1.047463268E-1,7.188590765E-1,9.788693428E0
3.004782460E-1,-1.143231317E-1,7.475894690E-1,9.831789017E0
3.024763710E-1,-7.601590455E-2,7.092822790E-1,9.961075783E0
3.044744440E-1,-3.770867735E-2,7.332242727E-1,9.894038200E0
3.064725170E-1,1.496376097E-2,8.577227592E-1,9.764751434E0
3.084705900E-1,1.017535757E-2,8.481459618E-1,9.697713852E0
3.104685590E-1,-4.249707982E-2,7.188590765E-1,9.850942612E0
3.124664750E-1,-3.292027488E-2,6.661866307E-1,1.005684471E1
3.144643920E-1,5.805939063E-2,7.140706778E-1,9.941922188E0
3.164623090E-1,4.848258570E-2,7.236474752E-1,9.764751434E0
3.184602250E-1,-3.770867735E-2,7.811083198E-1,9.625887871E0
3.204581420E-1,-6.165069342E-2,7.044938207E-1,9.573215485E0
3.224560590E-1,-3.292027488E-2,5.225345492E-1,9.736021042E0
3.244539750E-1,2.454056777E-2,5.177460909E-1,9.788693428E0
3.264518920E-1,5.805939063E-2,5.752069354E-1,9.525331497E0
3.284498090E-1,9.636662155E-2,5.656301379E-1,9.458293915E0
3.304477770E-1,8.678980917E-2,4.554968774E-1,9.563638687E0
3.324457980E-1,1.681926697E-1,3.645172119E-1,9.850942612E0
3.344438710E-1,1.873462796E-1,3.309983909E-1,1.001853657E1
3.364419960E-1,2.208651006E-1,3.645172119E-1,9.917980194E0
3.384401730E-1,2.448071241E-1,3.645172119E-1,9.817423820E0
3.404384020E-1,2.543839216E-1,2.543839216E-1,1.012867069E1
3.424366840E-1,2.304419130E-1,4.746504724E-1,1.008557510E1
3.444350170E-1,-3.770867735E-2,9.534908533E-1,9.697713852E0
3.464334020E-1,-9.516951442E-2,1.001374841E0,9.180566788E0
3.484318400E-1,-1.047463268E-1,9.726444483E-1,9.012971878E0
3.504303300E-1,-1.478419602E-1,9.295488000E-1,9.156624794E0
3.524288710E-1,-1.574187577E-1,7.475894690E-1,9.386467934E0
3.544274130E-1,-1.143231317E-1,5.512649417E-1,9.549273491E0
3.564259550E-1,-8.080431074E-2,3.166331649E-1,9.740809441E0
3.584244960E-1,1.017535757E-2,1.729810685E-1,9.764751434E0
3.604229340E-1,1.496376097E-2,8.200141042E-2,9.850942612E0
3.624212150E-1,4.848258570E-2,5.386953708E-3,9.898826599E0
3.644194960E-1,1.442506462E-1,1.496376097E-2,9.860519409E0
3.664176730E-1,1.681926697E-1,7.721300423E-2,9.745597839E0
3.684158500E-1,1.729810685E-1,1.586158574E-1,9.668983459E0
3.704140270E-1,1.346738487E-1,1.490390599E-1,9.807847023E0
3.724122050E-1,1.442506462E-1,1.250970364E-1,9.946710587E0
3.744103820E-1,1.346738487E-1,1.538274586E-1,9.855731010E0
3.764085590E-1,1.634042710E-1,3.118447661E-1,9.621099472E0
3.784067360E-1,1.203086376E-1,3.309983909E-1,9.534908295E0
3.804049130E-1,1.107318252E-1,3.693056107E-1,9.587580681E0
3.824030900E-1,8.200141042E-2,3.693056107E-1,9.779116631E0
3.844012670E-1,6.763619930E-2,3.836708367E-1,9.707290649E0
3.863994440E-1,5.805939063E-2,4.315548539E-1,9.611522675E0
3.883976210E-1,5.386953708E-3,4.794389009E-1,9.525331497E0
3.903957980E-1,-3.770867735E-2,4.459200799E-1,9.573215485E0
3.923939750E-1,-1.855506375E-2,4.507084787E-1,9.649829865E0
3.943921520E-1,-3.292027488E-2,4.459200799E-1,9.769539833E0
3.963903300E-1,-6.165069342E-2,3.980360329E-1,9.769539833E0
3.983885070E-1,-4.249707982E-2,3.884592354E-1,9.692925453E0
4.003866320E-1,-1.855506375E-2,4.028244317E-1,9.716867447E0
4.023847570E-1,-1.376665942E-2,4.219780564E-1,9.750386238E0
4.043828820E-1,-2.334346622E-2,3.166331649E-1,9.716867447E0
4.063810070E-1,2.454056777E-2,3.405751884E-1,9.745597839E0
4.083791320E-1,-4.189853091E-3,2.926911712E-1,9.745597839E0
4.103772570E-1,5.327098817E-2,2.639607489E-1,9.836577415E0
4.123753820E-1,6.763619930E-2,3.357867897E-1,9.894038200E0
4.143735070E-1,1.011550203E-1,4.219780564E-1,9.817423820E0
4.163716840E-1,1.059434265E-1,4.411316514E-1,9.668983459E0
4.183699130E-1,9.157821536E-2,4.459200799E-1,9.774328232E0
4.203681940E-1,1.586158574E-1,5.656301379E-1,9.874884605E0
4.223665270E-1,1.346738487E-1,6.230909824E-1,9.750386238E0
4.243649130E-1,1.203086376E-1,5.560533404E-1,9.578003883E0
4.263633500E-1,8.678980917E-2,5.560533404E-1,9.640253067E0
4.283618400E-1,8.200141042E-2,5.704185367E-1,9.621099472E0
4.303603300E-1,1.155202314E-1,4.794389009E-1,9.510966301E0
4.323588190E-1,1.250970364E-1,4.267664552E-1,9.592369080E0
4.343573090E-1,1.011550203E-1,2.256535143E-1,9.731232643E0
4.363557980E-1,1.538274586E-1,1.538274586E-1,9.788693428E0
4.383541320E-1,2.208651006E-1,2.208651006E-1,9.850942612E0
4.403522570E-1,2.017114908E-1,2.304419130E-1,9.874884605E0
4.423503820E-1,2.112883031E-1,2.591723204E-1,9.726444244E0
4.443485070E-1,1.203086376E-1,3.788824081E-1,9.558850288E0
4.463466320E-1,1.298854351E-1,4.507084787E-1,9.376891136E0
4.483447570E-1,7.242459804E-2,4.267664552E-1,9.415198326E0
4.503428820E-1,5.805939063E-2,4.507084787E-1,9.496601105E0
4.523410590E-1,6.763619930E-2,4.459200799E-1,9.625887871E0
4.543392880E-1,1.017535757E-2,4.315548539E-1,9.716867447E0
4.563375690E-1,-1.376665942E-2,5.225345492E-1,9.702502251E0
4.583359020E-1,-6.643909961E-2,6.039373875E-1,9.496601105E0
4.603342360E-1,-9.516951442E-2,5.895721912E-1,9.563638687E0
4.623325690E-1,-9.516951442E-2,6.805518270E-1,9.582792282E0
4.643309020E-1,-1.622071713E-1,8.768763542E-1,8.888473511E0
4.663292360E-1,-2.914940715E-1,9.678560495E-1,8.543708801E0
4.683275690E-1,-5.500678420E-1,7.428010702E-1,8.960299492E0
4.703259020E-1,-5.835866928E-1,5.895721912E-1,9.199720383E0
4.723242360E-1,-5.261258483E-1,5.752069354E-1,1.029626465E1
4.743225690E-1,-5.309142470E-1,2.831143439E-1,1.068412495E1
4.763209020E-1,-3.106476665E-1,2.304419130E-1,1.074637413E1
4.783192360E-1,-9.995792061E-2,3.549404144E-1,1.090439129E1
4.803175690E-1,2.932897024E-2,2.208651006E-1,1.081820011E1
4.823159020E-1,1.490390599E-1,2.112883031E-1,1.024359226E1
4.843142360E-1,2.448071241E-1,3.405751884E-1,9.712079048E0
4.863125690E-1,3.405751884E-1,4.890156984E-1,9.554061890E0
4.883109020E-1,3.405751884E-1,5.991489887E-1,9.257181168E0
4.903092360E-1,2.687491477E-1,4.794389009E-1,9.261969566E0
4.923075690E-1,2.639607489E-1,5.799953341E-1,9.266757965E0
4.943059020E-1,1.250970364E-1,6.039373875E-1,8.955511093E0
4.963042880E-1,4.369417951E-2,6.949170232E-1,8.692149162E0
4.983027250E-1,-2.867056429E-1,6.422445774E-1,8.021772385E0
5.003011630E-1,-3.920505345E-1,6.709750295E-1,7.111976147E0
5.022996000E-1,-4.590881765E-1,6.613982320E-1,8.146271706E0
5.042980380E-1,-5.404910445E-1,2.639607489E-1,8.845377922E0
5.062964750E-1,-4.351461530E-1,-2.675520480E-1,9.989806175E0
5.082949130E-1,-2.579752207E-1,-5.165489912E-1,1.102888966E1
5.102933500E-1,-9.038111567E-2,-3.920505345E-1,1.132577133E1
5.122917880E-1,-1.855506375E-2,6.284779310E-2,1.055483818E1
5.142902250E-1,-4.189853091E-3,2.735375464E-1,9.396044731E0
5.162886110E-1,3.262099922E-1,-1.445499301E0,1.211585808E1
5.182868400E-1,3.740940094E-1,-9.475052953E-1,1.195783997E1
5.202850170E-1,3.549404144E-1,5.799953341E-1,9.769539833E0
5.222831940E-1,4.459200799E-1,9.630676508E-1,8.845377922E0
5.242813710E-1,5.752069354E-1,4.650736749E-1,9.094375610E0
5.262795480E-1,5.656301379E-1,-8.080431074E-2,9.937133789E0
5.282777250E-1,5.847837925E-1,-8.559270948E-2,1.053089619E1
5.302759020E-1,6.470330358E-1,5.805939063E-2,1.028668785E1
5.322740800E-1,6.613982320E-1,-1.669955701E-1,1.009036350E1
5.342722570E-1,6.039373875E-1,-1.430535465E-1,9.874884605E0
5.362704340E-1,5.081692934E-1,-1.143231317E-1,9.917980194E0
5.382686110E-1,4.124012291E-1,-2.334346622E-2,9.965864182E0
5.402667880E-1,3.740940094E-1,1.729810685E-1,9.678560257E0
5.422649650E-1,3.501519859E-1,1.203086376E-1,9.434351921E0
5.442631420E-1,2.639607489E-1,-1.238999367E-1,9.759963036E0
5.462613190E-1,2.448071241E-1,-1.430535465E-1,1.006163311E1
5.482594960E-1,1.394622475E-1,5.985504249E-4,9.678560257E0
5.502577250E-1,1.346738487E-1,8.678980917E-2,9.482235909E0
5.522560070E-1,1.538274586E-1,1.017535757E-2,9.645041466E0
5.542543400E-1,5.805939063E-2,-8.978256024E-3,9.692925453E0
5.562526730E-1,-3.292027488E-2,-4.249707982E-2,9.386467934E0
5.582510070E-1,-6.165069342E-2,-2.053027898E-1,9.635464668E0
5.602493400E-1,-1.143231317E-1,-6.165069342E-2,9.673771858E0
5.622476730E-1,-6.165069342E-2,1.250970364E-1,9.439140320E0
5.642460070E-1,-9.995792061E-2,1.538274586E-1,9.281123161E0
5.662443400E-1,-1.382651478E-1,4.848258570E-2,9.530119896E0
5.682426730E-1,-9.516951442E-2,-2.100912035E-1,1.029626465E1
5.702410070E-1,-1.286883354E-1,-2.005143911E-1,1.082777691E1
5.722393400E-1,-8.080431074E-2,2.017114908E-1,1.044470501E1
5.742376730E-1,-6.643909961E-2,3.836708367E-1,9.965864182E0
5.762360070E-1,-4.728548229E-2,4.076128304E-1,9.692925453E0
5.782343400E-1,-8.080431074E-2,3.980360329E-1,9.879673004E0
5.802326730E-1,-4.728548229E-2,4.028244317E-1,1.022922707E1
5.822310070E-1,6.284779310E-2,4.890156984E-1,9.937133789E0
5.842293400E-1,2.064998895E-1,6.422445774E-1,9.554061890E0
5.862276730E-1,3.309983909E-1,5.799953341E-1,9.554061890E0
5.882260070E-1,3.070563674E-1,2.352303118E-1,1.001374817E1
5.902243400E-1,2.495955229E-1,1.921346933E-1,1.014303589E1
5.922226730E-1,3.309983909E-1,3.501519859E-1,9.941922188E0
5.942210070E-1,3.836708367E-1,2.256535143E-1,1.000417137E1
5.962193400E-1,3.166331649E-1,7.242459804E-2,9.908403397E0
5.982176730E-1,3.357867897E-1,2.352303118E-1,9.664195061E0
6.002160070E-1,3.118447661E-1,2.112883031E-1,9.601945877E0
6.022143400E-1,3.309983909E-1,-4.189853091E-3,9.759963036E0
6.042126730E-1,3.166331649E-1,-1.238999367E-1,9.850942612E0
6.062110590E-1,2.448071241E-1,-1.286883354E-1,9.980229378E0
6.082094960E-1,1.729810685E-1,2.208651006E-1,9.659406662E0
6.102079340E-1,1.017535757E-2,3.501519859E-1,9.228450775E0
6.122063710E-1,-9.516951442E-2,3.597288132E-1,8.696937561E0
6.142048090E-1,-1.095347255E-1,4.848258570E-2,9.142259598E0
6.162030380E-1,2.932897024E-2,-3.489548862E-1,1.016218948E1
6.182011110E-1,1.017535757E-2,-2.867056429E-1,1.094748688E1
6.201991840E-1,-6.165069342E-2,8.678980917E-2,1.012388229E1
6.221972570E-1,3.890577704E-2,2.304419130E-1,9.348160744E0
6.241953300E-1,2.112883031E-1,3.693056107E-1,9.405621529E0
6.261934020E-1,3.070563674E-1,5.129576921E-1,9.472659111E0
6.281914750E-1,3.166331649E-1,3.693056107E-1,9.707290649E0
6.301895480E-1,3.693056107E-1,3.788824081E-1,9.970652580E0
6.321876210E-1,3.549404144E-1,4.459200799E-1,1.015261269E1
6.341857460E-1,2.639607489E-1,5.033808947E-1,1.003769016E1
6.361839230E-1,1.729810685E-1,7.044938207E-1,9.731232643E0
6.381821520E-1,8.200141042E-2,7.811083198E-1,9.716867447E0
6.401804340E-1,-4.249707982E-2,6.230909824E-1,9.740809441E0
