"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.626656800E-2,4.172399998E0,-1.194379997E1,-4.772639847E1
4.626656800E-2,4.367599964E0,-1.205359936E1,-4.767760086E1
5.626656800E-2,4.562799931E0,-1.218779945E1,-4.757999802E1
6.626656800E-2,4.611599922E0,-1.224879932E1,-4.766539764E1
7.626656800E-2,4.660399914E0,-1.223659992E1,-4.761660004E1
8.626656800E-2,4.611599922E0,-1.226099968E1,-4.757999802E1
9.196370300E-2,4.611599922E0,-1.221220016E1,-4.751899719E1
9.626656800E-2,4.623799801E0,-1.218779945E1,-4.747019958E1
1.062665680E-1,4.635999680E0,-1.223659992E1,-4.742139816E1
1.162665680E-1,4.599400043E0,-1.226099968E1,-4.740919876E1
1.262665680E-1,4.574999809E0,-1.223659992E1,-4.740919876E1
1.362665680E-1,4.538399696E0,-1.223659992E1,-4.738479996E1
1.462665680E-1,4.477399826E0,-1.223659992E1,-4.739699936E1
1.562665680E-1,4.513999939E0,-1.219999981E1,-4.738479996E1
1.662665680E-1,4.501800060E0,-1.222439957E1,-4.742139816E1
1.762665680E-1,4.477399826E0,-1.226099968E1,-4.743359756E1
1.862665680E-1,4.562799931E0,-1.221220016E1,-4.747019958E1
1.962665680E-1,4.574999809E0,-1.215119934E1,-4.749459839E1
2.062665680E-1,4.550600052E0,-1.195599937E1,-4.754339981E1
2.162665680E-1,4.587199688E0,-1.176079941E1,-4.761660004E1
2.262665680E-1,4.660399914E0,-1.171199989E1,-4.765319824E1
2.362665680E-1,4.697000027E0,-1.159000015E1,-4.775079727E1
2.462665680E-1,4.757999897E0,-1.144359970E1,-4.788499832E1
2.562665680E-1,4.867799759E0,-1.128499985E1,-4.801919937E1
2.662665680E-1,4.892199993E0,-1.113859940E1,-4.814119720E1
2.762665680E-1,5.026400089E0,-1.101659966E1,-4.821439743E1
2.862665680E-1,5.160599709E0,-1.104099941E1,-4.833639908E1
2.962665680E-1,5.306999683E0,-1.113859940E1,-4.843399811E1
3.062665680E-1,5.441199780E0,-1.104099941E1,-4.866579819E1
3.162665680E-1,5.575399876E0,-1.107759953E1,-4.886100006E1
