"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.848506500E-2,-4.910625076E1,6.618750095E0,-1.567500019E1
2.848506500E-2,-4.910625076E1,6.543750286E0,-1.565625095E1
3.848506500E-2,-4.899375153E1,6.525000095E0,-1.569375038E1
4.848506500E-2,-4.888125229E1,6.450000286E0,-1.558125019E1
5.848506500E-2,-4.871250153E1,6.337500095E0,-1.548750019E1
6.848506500E-2,-4.880625153E1,6.318750381E0,-1.548750019E1
7.848506500E-2,-4.890000153E1,6.150000095E0,-1.546875095E1
8.848506500E-2,-4.888125229E1,6.225000381E0,-1.541250038E1
9.848506500E-2,-4.908750153E1,6.318750381E0,-1.520625019E1
1.084850650E-1,-4.908750153E1,6.506250381E0,-1.524375057E1
1.184850650E-1,-4.908750153E1,6.693750381E0,-1.531875038E1
1.284850650E-1,-4.921875381E1,6.731250286E0,-1.541250038E1
1.384850650E-1,-4.920000076E1,6.750000477E0,-1.565625095E1
1.484850650E-1,-4.897500229E1,6.862500191E0,-1.552500057E1
1.584850650E-1,-4.884375381E1,6.975000381E0,-1.563750076E1
1.684850650E-1,-4.871250153E1,6.881250381E0,-1.563750076E1
1.784850650E-1,-4.867500305E1,6.618750095E0,-1.531875038E1
1.884850650E-1,-4.852500153E1,6.712500095E0,-1.530000019E1
1.984850650E-1,-4.873125076E1,6.468750477E0,-1.515000057E1
2.084850650E-1,-4.860000229E1,6.675000191E0,-1.505625057E1
2.184850650E-1,-4.880625153E1,6.806250095E0,-1.507500076E1
2.284850650E-1,-4.888125229E1,6.843750477E0,-1.530000019E1
2.384850650E-1,-4.871250153E1,6.881250381E0,-1.520625019E1
2.484850650E-1,-4.891875076E1,6.900000095E0,-1.539375019E1
2.584850650E-1,-4.893750381E1,6.975000381E0,-1.548750019E1
2.684850650E-1,-4.886250305E1,6.750000477E0,-1.563750076E1
2.784850650E-1,-4.876875305E1,6.562500477E0,-1.571250057E1
2.884850650E-1,-4.897500229E1,6.206250191E0,-1.573125076E1
2.984850650E-1,-4.929375076E1,5.531250000E0,-1.539375019E1
3.084850650E-1,-4.987500381E1,4.856250286E0,-1.515000057E1
3.184850650E-1,-5.066250229E1,3.937500238E0,-1.494375038E1
3.284850650E-1,-5.124375153E1,2.793750048E0,-1.438125038E1
3.384850650E-1,-5.201250076E1,1.162500024E0,-1.395000076E1
3.484850650E-1,-5.274375153E1,-6.375000477E-1,-1.284375095E1
3.584850650E-1,-5.311875153E1,-2.756250143E0,-1.132500076E1
3.684850650E-1,-5.302500153E1,-5.343750000E0,-9.900000572E0
3.784850650E-1,-5.227500153E1,-7.650000095E0,-8.212500572E0
3.884850650E-1,-5.034375381E1,-1.003125000E1,-6.300000191E0
3.984850650E-1,-4.781250000E1,-1.239375019E1,-3.375000238E0
4.084850650E-1,-4.468125153E1,-1.447500038E1,-1.125000045E-1
4.184850650E-1,-4.044375229E1,-1.575000095E1,3.937500238E0
4.284850650E-1,-3.571875000E1,-1.665000153E1,8.812500000E0
4.384850650E-1,-3.118125153E1,-1.708125114E1,1.321875095E1
4.484850650E-1,-2.623125076E1,-1.659375000E1,1.925625038E1
4.584850650E-1,-2.096250153E1,-1.537500095E1,2.660625076E1
4.684850650E-1,-1.612500000E1,-1.316250038E1,3.648750305E1
4.784850650E-1,-1.183125019E1,-9.806250572E0,4.779375076E1
