"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.895173300E-2,-1.933125114E1,-2.278125000E1,-4.085625076E1,5.061537166E1
2.895173300E-2,-1.728750038E1,-2.281875038E1,-4.194375229E1,5.078219564E1
3.895173300E-2,-1.740000153E1,-2.285625076E1,-4.170000076E1,5.063653143E1
4.895173300E-2,-1.713750076E1,-2.261250114E1,-4.170000076E1,5.043718077E1
5.895173300E-2,-1.723125076E1,-2.246250153E1,-4.156875229E1,5.029354973E1
6.895173300E-2,-1.738125038E1,-2.238750076E1,-4.158750153E1,5.032721270E1
7.895173300E-2,-1.715625000E1,-2.248125076E1,-4.151250076E1,5.022978469E1
8.895173300E-2,-1.698750114E1,-2.255625153E1,-4.147500229E1,5.017504851E1
9.895173300E-2,-1.655625153E1,-2.242500114E1,-4.171875000E1,5.017413918E1
1.089517330E-1,-1.683750153E1,-2.242500114E1,-4.151250076E1,5.009660521E1
1.189517330E-1,-1.681875038E1,-2.240625000E1,-4.153125000E1,5.009745632E1
1.289517330E-1,-1.711875153E1,-2.265000153E1,-4.128750229E1,5.010720575E1
1.389517330E-1,-1.732500076E1,-2.276250076E1,-4.102500153E1,5.001337664E1
1.489517330E-1,-1.728750038E1,-2.296875000E1,-4.081875229E1,4.992586188E1
1.589517330E-1,-1.745625114E1,-2.289375114E1,-4.081875229E1,4.995012596E1
1.689517330E-1,-1.747500038E1,-2.283750153E1,-4.078125000E1,4.990027521E1
1.789517330E-1,-1.766250038E1,-2.293125153E1,-4.044375229E1,4.973432734E1
1.889517330E-1,-1.781250000E1,-2.295000076E1,-4.001250076E1,4.944681899E1
1.989517330E-1,-1.775625038E1,-2.283750153E1,-3.960000229E1,4.904075942E1
2.089517330E-1,-1.760625076E1,-2.276250076E1,-3.961875153E1,4.896689677E1
2.189517330E-1,-1.728750038E1,-2.281875038E1,-3.980625153E1,4.903152760E1
2.289517330E-1,-1.726875114E1,-2.298750114E1,-3.956250000E1,4.890630206E1
2.389517330E-1,-1.721250153E1,-2.300625038E1,-3.950625229E1,4.884978746E1
2.489517330E-1,-1.755000114E1,-2.295000076E1,-3.935625076E1,4.882232634E1
2.589517330E-1,-1.768125153E1,-2.315625000E1,-3.933750153E1,4.895178849E1
2.689517330E-1,-1.751250076E1,-2.325000000E1,-3.975000000E1,4.926776515E1
2.789517330E-1,-1.730625153E1,-2.330625153E1,-4.008750153E1,4.949439848E1
2.889517330E-1,-1.713750076E1,-2.302500153E1,-4.036875153E1,4.953262286E1
2.989517330E-1,-1.719375038E1,-2.291250038E1,-4.048125076E1,4.959172702E1
3.089517330E-1,-1.700625038E1,-2.268750000E1,-4.087500000E1,4.974636503E1
3.189517330E-1,-1.710000038E1,-2.266875076E1,-4.072500229E1,4.964683359E1
3.289517330E-1,-1.693125153E1,-2.265000153E1,-4.080000305E1,4.964201946E1
3.389517330E-1,-1.689375114E1,-2.250000000E1,-4.063125229E1,4.942213563E1
3.489517330E-1,-1.702500153E1,-2.251875114E1,-4.048125076E1,4.935257332E1
3.589517330E-1,-1.713750076E1,-2.257500076E1,-4.036875153E1,4.932505136E1
3.689517330E-1,-1.732500076E1,-2.281875038E1,-4.016250229E1,4.933434514E1
3.789517330E-1,-1.728750038E1,-2.283750153E1,-4.006875229E1,4.925356896E1
