"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.381737499E-2,2.035363770E1,-3.335872650E1,-2.327050781E1,4.548177366E1
2.379237500E-2,2.012037659E1,-3.331745148E1,-2.330490112E1,4.536519088E1
3.376637500E-2,1.992979431E1,-3.323730469E1,-2.363043213E1,4.539066475E1
4.374037500E-2,1.943518066E1,-3.300061798E1,-2.461166382E1,4.552472988E1
5.371537500E-2,1.921516418E1,-3.273705292E1,-2.499066162E1,4.544744588E1
6.368937500E-2,1.908729553E1,-3.257269287E1,-2.537506104E1,4.548844792E1
7.366337500E-2,1.890919495E1,-3.222319031E1,-2.592218018E1,4.547363051E1
8.363837500E-2,1.870513916E1,-3.204985809E1,-2.623532104E1,4.544631674E1
9.361237500E-2,1.877204895E1,-3.166346741E1,-2.656430054E1,4.539413016E1
1.035863750E-1,1.855119324E1,-3.155743408E1,-2.668917847E1,4.530265625E1
1.135603750E-1,1.839123535E1,-3.127647400E1,-2.733139038E1,4.542532624E1
1.235353750E-1,1.827555847E1,-3.085635376E1,-2.785479736E1,4.540925391E1
1.335093750E-1,1.790879822E1,-3.083707428E1,-2.840982056E1,4.559350949E1
1.434833750E-1,1.753709412E1,-3.062705231E1,-2.874716187E1,4.551884575E1
1.534583750E-1,1.710394287E1,-3.028780365E1,-2.934762573E1,4.551020817E1
1.634323750E-1,1.663102722E1,-2.972012329E1,-3.012271118E1,4.546707076E1
1.734063750E-1,1.602500916E1,-2.926246643E1,-3.099194336E1,4.553672598E1
1.833813750E-1,1.536434937E1,-2.865209198E1,-3.166928101E1,4.538666066E1
1.933553750E-1,1.477720642E1,-2.802290344E1,-3.251004028E1,4.539329979E1
2.033293750E-1,1.410615540E1,-2.734489441E1,-3.318411255E1,4.525386388E1
2.133043750E-1,1.369386292E1,-2.650176239E1,-3.405746460E1,4.527445401E1
2.232783750E-1,1.368638611E1,-2.649942780E1,-3.402770996E1,4.524844620E1
2.332523750E-1,1.321043396E1,-2.561937714E1,-3.484170532E1,4.521960283E1
2.432263750E-1,1.270964050E1,-2.484629822E1,-3.574212646E1,4.534725020E1
2.532013750E-1,1.220904541E1,-2.419716644E1,-3.634826660E1,4.534049116E1
2.631753750E-1,1.183108521E1,-2.345272827E1,-3.707159424E1,4.543465792E1
2.731493750E-1,1.132588196E1,-2.269164276E1,-3.774929810E1,4.547742033E1
2.831243750E-1,1.077774048E1,-2.199170685E1,-3.813177490E1,4.531916942E1
2.930983750E-1,1.018016052E1,-2.153033447E1,-3.883560181E1,4.555650270E1
3.030723750E-1,9.597915649E0,-2.127930450E1,-3.898181152E1,4.543688386E1
3.130473750E-1,9.021835327E0,-2.113488770E1,-3.886862183E1,4.515359070E1
3.230213750E-1,8.441604614E0,-2.112068939E1,-3.909301758E1,4.522840073E1
3.329953750E-1,7.862350464E0,-2.137100220E1,-3.916241455E1,4.530155630E1
3.429703750E-1,7.307113647E0,-2.157392120E1,-3.909545898E1,4.524691038E1
3.529443750E-1,7.009216309E0,-2.182867432E1,-3.878552246E1,4.505482092E1
3.629183750E-1,6.685867310E0,-2.206770325E1,-3.887988281E1,4.520320382E1
3.728933750E-1,6.252639771E0,-2.236122131E1,-3.877047729E1,4.519147743E1
3.828673750E-1,6.275512695E0,-2.245908356E1,-3.876367188E1,4.523731591E1
3.928413750E-1,6.210708618E0,-2.248488617E1,-3.866711426E1,4.515848461E1
4.028153750E-1,6.164550781E0,-2.251035309E1,-3.849597168E1,4.501841310E1
4.127903750E-1,6.183990479E0,-2.265773010E1,-3.842001343E1,4.503012218E1
4.227643750E-1,6.239013672E0,-2.273458099E1,-3.817163086E1,4.486490685E1
4.327383750E-1,6.235031128E0,-2.281102753E1,-3.818801880E1,4.491707214E1
