"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.721130200E-2,1.271239948E1,-2.274079895E1,-4.479840088E1,5.182321641E1
3.721130200E-2,1.290759945E1,-2.283839989E1,-4.489599991E1,5.199855229E1
4.721130200E-2,1.296859932E1,-2.283839989E1,-4.489599991E1,5.201372786E1
5.721130200E-2,1.307839966E1,-2.283839989E1,-4.484719849E1,5.199911787E1
6.271895800E-2,1.313939953E1,-2.285059929E1,-4.482279968E1,5.199881806E1
6.721130200E-2,1.326139927E1,-2.286279869E1,-4.482279968E1,5.203513857E1
7.721130200E-2,1.337119961E1,-2.282620049E1,-4.482279968E1,5.204716879E1
8.721130200E-2,1.343219948E1,-2.276519966E1,-4.479840088E1,5.201514222E1
9.721130200E-2,1.362739944E1,-2.271640015E1,-4.482279968E1,5.206557618E1
1.072113020E-1,1.382259941E1,-2.261879921E1,-4.483499908E1,5.208504080E1
1.172113020E-1,1.401779938E1,-2.253339958E1,-4.483499908E1,5.210019135E1
1.272113020E-1,1.421299934E1,-2.237479973E1,-4.487159729E1,5.211622834E1
1.372113020E-1,1.443260002E1,-2.225279999E1,-4.490819931E1,5.215585697E1
1.472113020E-1,1.465219975E1,-2.215519905E1,-4.492039871E1,5.218603283E1
1.572113020E-1,1.482299995E1,-2.197220039E1,-4.498139954E1,5.220943614E1
1.672113020E-1,1.496939945E1,-2.186240005E1,-4.506679916E1,5.227871310E1
1.772113020E-1,1.509140015E1,-2.174040031E1,-4.515219879E1,5.233656867E1
1.872113020E-1,1.517679977E1,-2.166720009E1,-4.521319962E1,5.238354924E1
1.972113020E-1,1.522559929E1,-2.152079964E1,-4.516439819E1,5.229518673E1
2.072113020E-1,1.528660011E1,-2.150860023E1,-4.516439819E1,5.230796203E1
2.172113020E-1,1.528660011E1,-2.138660049E1,-4.523759842E1,5.232119202E1
2.272113020E-1,1.525000000E1,-2.124020004E1,-4.538399887E1,5.237762835E1
2.372113020E-1,1.525000000E1,-2.117919922E1,-4.535960007E1,5.233177140E1
2.472113020E-1,1.538420010E1,-2.106939888E1,-4.535960007E1,5.232672835E1
2.572113020E-1,1.550619984E1,-2.099619865E1,-4.526199722E1,5.224874146E1
2.672113020E-1,1.567700005E1,-2.084980011E1,-4.524979782E1,5.223051501E1
2.772113020E-1,1.590880013E1,-2.078879929E1,-4.532299805E1,5.233964319E1
2.872113020E-1,1.606739998E1,-2.063019943E1,-4.534740067E1,5.234647283E1
2.972113020E-1,1.633580017E1,-2.054479980E1,-4.528639984E1,5.234314833E1
3.072113020E-1,1.657979965E1,-2.049600029E1,-4.520100021E1,5.232691664E1
3.172113020E-1,1.686039925E1,-2.039839935E1,-4.522539902E1,5.239947018E1
3.272113020E-1,1.705559921E1,-2.030080032E1,-4.522539902E1,5.242473342E1
3.372113020E-1,1.722640038E1,-2.025199890E1,-4.524979782E1,5.248272604E1
3.472113020E-1,1.733619881E1,-2.025199890E1,-4.513999939E1,5.242429583E1
3.572113020E-1,1.738500023E1,-2.021539879E1,-4.509119797E1,5.238431746E1
3.672113020E-1,1.743379974E1,-2.021539879E1,-4.505459976E1,5.236904316E1
3.772113020E-1,1.742160034E1,-2.019099998E1,-4.507899857E1,5.237656681E1
3.872113020E-1,1.740939903E1,-2.019099998E1,-4.509119797E1,5.238301050E1
3.972113020E-1,1.733619881E1,-2.028859901E1,-4.505459976E1,5.236495010E1
4.072113020E-1,1.729960060E1,-2.041059875E1,-4.503020096E1,5.237926804E1
4.172113020E-1,1.722640038E1,-2.047159958E1,-4.503020096E1,5.237894861E1
4.272113020E-1,1.712879944E1,-2.055699921E1,-4.506679916E1,5.241185337E1
4.372113020E-1,1.704339981E1,-2.066679955E1,-4.505459976E1,5.241670574E1
4.472113020E-1,1.701899910E1,-2.072780037E1,-4.506679916E1,5.244334491E1
4.572113020E-1,1.698239899E1,-2.084980011E1,-4.501799774E1,5.243792674E1
4.672113020E-1,1.690919876E1,-2.092300034E1,-4.496920013E1,5.240154489E1
4.772113020E-1,1.683600044E1,-2.100839996E1,-4.492039871E1,5.237027783E1
4.872113020E-1,1.679940033E1,-2.104500008E1,-4.492039871E1,5.237321930E1
4.972113020E-1,1.673839951E1,-2.106939888E1,-4.488380051E1,5.233210425E1
5.072113020E-1,1.668959999E1,-2.103279877E1,-4.489599991E1,5.231225650E1
5.172113020E-1,1.665299988E1,-2.098399925E1,-4.495700073E1,5.233337887E1
5.272113020E-1,1.659199905E1,-2.100839996E1,-4.494479752E1,5.231330734E1
5.372113020E-1,1.656760025E1,-2.100839996E1,-4.499359894E1,5.234751372E1
5.472113020E-1,1.650659943E1,-2.100839996E1,-4.498139954E1,5.231775031E1
5.572113020E-1,1.649440002E1,-2.097179985E1,-4.500579834E1,5.232020169E1
5.672113020E-1,1.637240028E1,-2.093519974E1,-4.496920013E1,5.223568742E1
5.772113020E-1,1.633580017E1,-2.092300034E1,-4.501799774E1,5.226136652E1
5.872113020E-1,1.629920006E1,-2.098399925E1,-4.500579834E1,5.226388841E1
5.972113020E-1,1.622599983E1,-2.108160019E1,-4.495700073E1,5.223838485E1
6.072113020E-1,1.612839890E1,-2.111820030E1,-4.495700073E1,5.222294084E1
6.172113020E-1,1.604299927E1,-2.117919922E1,-4.489599991E1,5.216883277E1
6.272113020E-1,1.599419975E1,-2.120359993E1,-4.489599991E1,5.216376025E1
6.372113020E-1,1.592099953E1,-2.124020004E1,-4.492039871E1,5.217726080E1
6.472113020E-1,1.589659977E1,-2.130119896E1,-4.490819931E1,5.218418656E1
6.572113020E-1,1.584779930E1,-2.131340027E1,-4.487159729E1,5.214282326E1
6.672113020E-1,1.576239967E1,-2.136219978E1,-4.488380051E1,5.214741001E1
6.772113020E-1,1.575019932E1,-2.137439919E1,-4.489599991E1,5.215922284E1
6.872113020E-1,1.575019932E1,-2.142319870E1,-4.484719849E1,5.213725571E1
6.972113020E-1,1.571360016E1,-2.144759941E1,-4.485939789E1,5.214673843E1
7.072113020E-1,1.570139980E1,-2.149639893E1,-4.483499908E1,5.214217358E1
7.172113020E-1,1.564039993E1,-2.156959915E1,-4.477399826E1,5.210163757E1
7.272113020E-1,1.555499935E1,-2.167939949E1,-4.476179886E1,5.211116007E1
7.372113020E-1,1.551839924E1,-2.181359863E1,-4.468859863E1,5.209342231E1
7.472113020E-1,1.550619984E1,-2.193560028E1,-4.466419983E1,5.212008768E1
7.572113020E-1,1.549399948E1,-2.204539871E1,-4.456660080E1,5.207922360E1
7.672113020E-1,1.544519997E1,-2.213080025E1,-4.456660080E1,5.210094460E1
7.772113020E-1,1.543299961E1,-2.219179916E1,-4.451779938E1,5.208155037E1
7.872113020E-1,1.542079926E1,-2.220400047E1,-4.452999878E1,5.209356465E1
7.972113020E-1,1.543299961E1,-2.222839928E1,-4.449340057E1,5.207630849E1
8.072113020E-1,1.549399948E1,-2.222839928E1,-4.448119736E1,5.208399632E1
8.172113020E-1,1.546959972E1,-2.221619987E1,-4.450559998E1,5.209238410E1
8.272113020E-1,1.546959972E1,-2.213080025E1,-4.446899796E1,5.202473080E1
8.372113020E-1,1.543299961E1,-2.209420013E1,-4.450559998E1,5.202960298E1
8.472113020E-1,1.539639950E1,-2.206979942E1,-4.445679855E1,5.196664413E1
