"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.876609600E-2,-1.238999367E-1,1.586158574E-1,9.755174637E0
2.076427300E-2,-1.334767491E-1,1.538274586E-1,9.736021042E0
2.276239800E-2,-1.430535465E-1,1.777694821E-1,9.702502251E0
2.476052300E-2,-1.574187577E-1,1.681926697E-1,9.788693428E0
2.675864800E-2,-1.717839688E-1,1.681926697E-1,9.755174637E0
2.875677300E-2,-1.861491799E-1,1.873462796E-1,9.779116631E0
3.075489800E-2,-3.345896900E-1,2.543839216E-1,9.616311073E0
3.275302300E-2,-3.872621357E-1,2.591723204E-1,9.597157478E0
3.475114800E-2,-3.298012912E-1,2.543839216E-1,9.597157478E0
3.674927300E-2,-2.723404467E-1,2.400187254E-1,9.750386238E0
3.874739800E-2,-2.053027898E-1,2.591723204E-1,9.764751434E0
4.074552300E-2,-2.005143911E-1,2.639607489E-1,9.870096207E0
4.274370000E-2,-3.106476665E-1,2.687491477E-1,9.803058624E0
4.474192900E-2,-5.021837950E-1,2.304419130E-1,9.827000618E0
4.674015800E-2,-5.835866928E-1,1.921346933E-1,9.917980194E0
4.873838700E-2,-1.286883354E-1,1.107318252E-1,9.745597839E0
5.073661600E-2,-2.334346622E-2,1.729810685E-1,9.673771858E0
5.273484600E-2,-1.622071713E-1,1.394622475E-1,9.654618263E0
5.473307500E-2,-9.995792061E-2,1.059434265E-1,9.769539833E0
5.673130400E-2,-1.143231317E-1,1.634042710E-1,9.827000618E0
5.872953300E-2,-1.478419602E-1,1.490390599E-1,9.769539833E0
6.072776200E-2,-1.622071713E-1,1.825578809E-1,9.745597839E0
6.272604300E-2,-2.292448133E-1,2.495955229E-1,9.803058624E0
6.472432500E-2,-2.819172442E-1,2.974795699E-1,9.894038200E0
6.672260600E-2,-2.579752207E-1,2.926911712E-1,9.846154213E0
6.872093900E-2,-2.053027898E-1,1.921346933E-1,9.788693428E0
7.071927300E-2,-1.095347255E-1,5.805939063E-2,9.688137054E0
7.271760600E-2,1.011550203E-1,-4.189853091E-3,9.678560257E0
7.471593900E-2,2.400187254E-1,-1.047463268E-1,9.731232643E0
7.671427300E-2,3.166331649E-1,-1.478419602E-1,9.702502251E0
7.871260600E-2,2.639607489E-1,-7.601590455E-2,9.630676270E0
8.071093900E-2,1.729810685E-1,6.284779310E-2,9.635464668E0
8.270927300E-2,4.848258570E-2,2.017114908E-1,9.716867447E0
8.470750200E-2,-8.559270948E-2,2.926911712E-1,9.759963036E0
8.670557500E-2,-1.669955701E-1,3.645172119E-1,9.836577415E0
8.870364800E-2,-2.196680009E-1,3.884592354E-1,9.769539833E0
9.070172100E-2,-3.441664875E-1,7.332242727E-1,9.831789017E0
9.269979300E-2,-3.106476665E-1,1.006163239E0,9.755174637E0
9.469786600E-2,-2.005143911E-1,1.173757434E0,9.673771858E0
9.669593900E-2,-3.106476665E-1,1.781884670E0,9.625887871E0
9.869401200E-2,-3.345896900E-1,2.073977232E0,9.716867447E0
1.006920850E-1,-2.531868219E-1,2.179322004E0,9.865307808E0
1.026901580E-1,-1.765723825E-1,2.212841034E0,9.822212219E0
1.046882310E-1,-9.038111567E-2,2.394800186E0,9.721655846E0
1.066863560E-1,-4.249707982E-2,2.476203203E0,9.597157478E0
1.086845330E-1,5.805939063E-2,2.480991602E0,9.712079048E0
1.106827620E-1,1.490390599E-1,2.552817583E0,9.836577415E0
1.126809910E-1,2.256535143E-1,2.610278368E0,9.759963036E0
1.146792210E-1,2.591723204E-1,2.605489969E0,9.683348656E0
1.166774500E-1,3.070563674E-1,2.605489969E0,9.721655846E0
1.186756790E-1,3.645172119E-1,2.610278368E0,9.750386238E0
1.206739080E-1,3.788824081E-1,2.457049608E0,9.707290649E0
1.226721370E-1,3.884592354E-1,2.409165382E0,9.664195061E0
1.246701060E-1,3.932476342E-1,2.337339401E0,9.726444244E0
1.266679180E-1,4.171896577E-1,2.169745207E0,9.803058624E0
1.286657310E-1,3.932476342E-1,2.141014814E0,9.740809441E0
1.306635430E-1,3.788824081E-1,2.011728048E0,9.520543098E0
1.326613560E-1,3.357867897E-1,1.824980259E0,9.769539833E0
1.346591680E-1,2.974795699E-1,1.619078875E0,9.793481827E0
1.366569810E-1,2.879027426E-1,1.465849996E0,1.000417137E1
1.386548460E-1,2.591723204E-1,1.389235497E0,9.578003883E0
1.406527620E-1,2.256535143E-1,1.188122630E0,9.721655846E0
1.426506790E-1,1.634042710E-1,9.534908533E-1,9.879673004E0
1.446485960E-1,1.634042710E-1,8.337807655E-1,1.000417137E1
1.466465120E-1,9.157821536E-2,7.954735160E-1,9.314641953E0
1.486444290E-1,6.284779310E-2,7.380126715E-1,9.683348656E0
1.506423460E-1,5.985504249E-4,6.326677799E-1,9.649829865E0
1.526403140E-1,-4.728548229E-2,4.267664552E-1,1.013824749E1
1.546382830E-1,-6.165069342E-2,4.698620737E-1,9.874884605E0
1.566362520E-1,-8.080431074E-2,5.129576921E-1,9.544485092E0
1.586342210E-1,-9.995792061E-2,5.129576921E-1,9.510966301E0
1.606321890E-1,-6.165069342E-2,5.704185367E-1,9.716867447E0
1.626301580E-1,-7.122749835E-2,5.895721912E-1,9.635464668E0
1.646281270E-1,-3.770867735E-2,6.422445774E-1,9.750386238E0
1.666260960E-1,-2.813187055E-2,5.847837925E-1,1.009994030E1
1.686240640E-1,-1.376665942E-2,6.518214345E-1,1.018613148E1
1.706220330E-1,-1.855506375E-2,8.433575630E-1,9.467870712E0
1.726200020E-1,-1.376665942E-2,8.720879555E-1,9.597157478E0
1.746179710E-1,-1.376665942E-2,9.103952050E-1,9.597157478E0
1.766159390E-1,1.017535757E-2,9.247604012E-1,9.941922188E0
1.786139080E-1,6.763619930E-2,9.678560495E-1,9.774328232E0
1.806119290E-1,8.200141042E-2,1.068412542E0,9.582792282E0
1.826100020E-1,1.107318252E-1,1.092354536E0,9.625887871E0
1.846080750E-1,1.394622475E-1,9.917980433E-1,9.870096207E0
1.866061480E-1,1.586158574E-1,1.087566137E0,9.951498985E0
1.886042210E-1,1.394622475E-1,1.145026922E0,9.807847023E0
1.906022930E-1,1.490390599E-1,1.245583415E0,9.611522675E0
1.926003660E-1,1.203086376E-1,1.168969035E0,9.645041466E0
1.945984390E-1,1.203086376E-1,1.231218219E0,9.539696693E0
1.965965120E-1,1.394622475E-1,1.264737010E0,9.554061890E0
1.985945850E-1,1.011550203E-1,1.130661726E0,9.889249802E0
2.005926580E-1,8.678980917E-2,1.068412542E0,1.002811337E1
2.025907310E-1,5.805939063E-2,1.154603720E0,9.745597839E0
2.045888040E-1,2.932897024E-2,1.092354536E0,9.965864182E0
2.065868770E-1,5.386953708E-3,1.054047346E0,9.348160744E0
2.085849500E-1,-4.249707982E-2,9.726444483E-1,9.889249802E0
2.105830230E-1,-9.038111567E-2,7.715315223E-1,9.659406662E0
2.125810960E-1,-9.516951442E-2,7.188590765E-1,9.831789017E0
2.145791680E-1,-1.047463268E-1,6.566098332E-1,1.000417137E1
2.165772410E-1,-1.143231317E-1,7.236474752E-1,9.496601105E0
2.185753140E-1,-1.765723825E-1,7.092822790E-1,9.827000618E0
2.205732310E-1,-2.148796022E-1,7.571662664E-1,9.606734276E0
2.225711480E-1,-2.148796022E-1,7.380126715E-1,9.295488358E0
2.245690640E-1,-2.531868219E-1,6.278793812E-1,1.014782429E1
2.265669810E-1,-2.388216257E-1,6.709750295E-1,9.568427086E0
2.285648980E-1,-2.867056429E-1,5.129576921E-1,1.037287903E1
2.305628140E-1,-2.723404467E-1,5.273229480E-1,9.558850288E0
2.325607310E-1,-2.340332121E-1,6.278793812E-1,9.482235909E0
2.345586480E-1,-2.340332121E-1,6.613982320E-1,9.544485092E0
2.365565640E-1,-2.196680009E-1,6.949170232E-1,9.884461403E0
2.385544810E-1,-2.627636492E-1,6.326677799E-1,1.008078671E1
2.405523980E-1,-1.574187577E-1,8.337807655E-1,9.386467934E0
2.425503140E-1,-1.430535465E-1,8.146271110E-1,9.664195061E0
2.445482310E-1,-1.143231317E-1,8.433575630E-1,9.692925453E0
2.465461480E-1,-1.047463268E-1,8.529343605E-1,9.726444244E0
2.485440640E-1,-7.601590455E-2,8.816647530E-1,1.035851383E1
2.505419810E-1,-1.855506375E-2,1.087566137E0,9.822212219E0
2.525398980E-1,-4.189853091E-3,1.202487826E0,9.702502251E0
