"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.277866200E-2,4.856819916E1,-9.686800003E0,-6.370839691E1
4.277866200E-2,4.876339722E1,-9.698999405E0,-6.372060013E1
5.277866200E-2,4.862919998E1,-9.674599648E0,-6.334239960E1
6.277866200E-2,4.854380035E1,-9.515999794E0,-6.315939713E1
7.277866200E-2,4.837299728E1,-9.369600296E0,-6.304959869E1
8.277866200E-2,4.815340042E1,-9.235400200E0,-6.287879944E1
8.703501600E-2,4.799480057E1,-9.149999619E0,-6.273239899E1
9.277866200E-2,4.777519989E1,-9.040200233E0,-6.262260056E1
1.027786620E-1,4.748239899E1,-8.869400024E0,-6.237859726E1
1.127786620E-1,4.706760025E1,-8.600999832E0,-6.211019897E1
1.227786620E-1,4.667720032E1,-8.210599899E0,-6.191499710E1
1.327786620E-1,4.623799896E1,-7.942199707E0,-6.173199844E1
1.427786620E-1,4.583539963E1,-7.734799862E0,-6.157339859E1
1.527786620E-1,4.546939850E1,-7.502999783E0,-6.147579956E1
1.627786620E-1,4.504240036E1,-7.258999825E0,-6.140259933E1
1.727786620E-1,4.468859863E1,-7.075999737E0,-6.140259933E1
1.827786620E-1,4.424939728E1,-6.929599762E0,-6.135379791E1
1.927786620E-1,4.379800034E1,-6.892999649E0,-6.139039993E1
2.027786620E-1,4.332220078E1,-7.014999866E0,-6.154899979E1
2.127786620E-1,4.285860062E1,-7.185800076E0,-6.165879822E1
2.227786620E-1,4.237059784E1,-7.381000042E0,-6.179299927E1
2.327786620E-1,4.172399902E1,-7.868999958E0,-6.196379852E1
2.427786620E-1,4.102859879E1,-8.466799736E0,-6.217119980E1
2.527786620E-1,4.027219772E1,-9.088999748E0,-6.229319763E1
2.627786620E-1,3.946699905E1,-9.711199760E0,-6.248839951E1
2.727786620E-1,3.844219971E1,-1.060179996E1,-6.253719711E1
2.827786620E-1,3.738079834E1,-1.157779980E1,-6.256159973E1
2.927786620E-1,3.622179794E1,-1.261479950E1,-6.257379913E1
3.027786620E-1,3.497739792E1,-1.377379990E1,-6.248839951E1
3.127786620E-1,3.361100006E1,-1.506699944E1,-6.223220062E1
3.227786620E-1,3.214699936E1,-1.640900040E1,-6.179299927E1
3.327786620E-1,3.058539963E1,-1.787299919E1,-6.125619888E1
3.427786620E-1,2.892619896E1,-1.939799881E1,-6.071939850E1
3.527786620E-1,2.716939926E1,-2.082539940E1,-6.007279968E1
3.627786620E-1,2.536380005E1,-2.228940010E1,-5.929199982E1
3.727786620E-1,2.349720001E1,-2.371679878E1,-5.846239853E1
3.827786620E-1,2.154520035E1,-2.510759926E1,-5.751079941E1
3.927786620E-1,1.947119904E1,-2.636419868E1,-5.649819946E1
4.027786620E-1,1.736059952E1,-2.754759979E1,-5.546120071E1
4.127786620E-1,1.522559929E1,-2.869439888E1,-5.442419815E1
4.227786620E-1,1.306619930E1,-2.988999939E1,-5.325299835E1
4.327786620E-1,1.080919933E1,-3.107339859E1,-5.193539810E1
4.427786620E-1,8.503399849E0,-3.225679779E1,-5.052019882E1
4.527786620E-1,6.197599888E0,-3.337919998E1,-4.905619812E1
4.627786620E-1,3.855199814E0,-3.447719955E1,-4.757999802E1
4.727786620E-1,1.390799999E0,-3.551419830E1,-4.593299866E1
4.827786620E-1,-1.134599924E0,-3.652679825E1,-4.423719788E1
4.927786620E-1,-3.672199965E0,-3.750279999E1,-4.250479889E1
5.027786620E-1,-6.234200001E0,-3.836899948E1,-4.068700027E1
5.127786620E-1,-8.893799782E0,-3.913759995E1,-3.880820084E1
5.227786620E-1,-1.161439991E1,-3.985739899E1,-3.690499878E1
5.327786620E-1,-1.433500004E1,-4.054059982E1,-3.494079971E1
5.427786620E-1,-1.710439873E1,-4.111399841E1,-3.301319885E1
5.527786620E-1,-1.983720016E1,-4.157759857E1,-3.104899979E1
5.627786620E-1,-2.263099861E1,-4.193140030E1,-2.906040001E1
5.727786620E-1,-2.543700027E1,-4.224860001E1,-2.708399963E1
5.827786620E-1,-2.824300003E1,-4.252919769E1,-2.505879974E1
5.927786620E-1,-3.075619888E1,-4.261459732E1,-2.328979874E1
6.027786620E-1,-3.356219864E1,-4.267559814E1,-2.137439919E1
6.127786620E-1,-3.639260101E1,-4.272439957E1,-1.942239952E1
6.227786620E-1,-3.922299957E1,-4.272439957E1,-1.748259926E1
6.327786620E-1,-4.177280045E1,-4.268779755E1,-1.579899979E1
6.427786620E-1,-4.456660080E1,-4.265119934E1,-1.390799999E1
6.527786620E-1,-4.729940033E1,-4.260239792E1,-1.199259949E1
6.627786620E-1,-5.006879807E1,-4.254140091E1,-1.016259956E1
6.727786620E-1,-5.277719879E1,-4.250479889E1,-8.332599640E0
6.827786620E-1,-5.555879974E1,-4.246820068E1,-6.502599716E0
6.927786620E-1,-5.836479950E1,-4.240719986E1,-4.684800148E0
7.027786620E-1,-6.124399948E1,-4.234619904E1,-2.842599869E0
7.127786620E-1,-6.417199707E1,-4.226079941E1,-1.000399947E0
7.227786620E-1,-6.720980072E1,-4.206559753E1,9.027999640E-1
7.327786620E-1,-7.045500183E1,-4.183379745E1,2.793799877E0
7.427786620E-1,-7.374900055E1,-4.151659775E1,4.831200123E0
7.527786620E-1,-7.720159912E1,-4.112619781E1,6.856400013E0
7.627786620E-1,-8.083719635E1,-4.050399780E1,9.015799522E0
7.727786620E-1,-8.458259583E1,-3.975979996E1,1.124839973E1
7.827786620E-1,-8.838899994E1,-3.882040024E1,1.356639957E1
7.927786620E-1,-9.221979523E1,-3.767359924E1,1.583559990E1
8.027786620E-1,-9.614820099E1,-3.618519974E1,1.815359879E1
8.127786620E-1,-9.997899628E1,-3.437960052E1,2.060579872E1
8.227786620E-1,-1.037975998E2,-3.241539764E1,2.289939880E1
8.327786620E-1,-1.074819946E2,-3.024379921E1,2.522959900E1
8.427786620E-1,-1.108735962E2,-2.753540039E1,2.736459923E1
8.527786620E-1,-1.139845963E2,-2.460739899E1,2.926779938E1
8.627786620E-1,-1.169125977E2,-2.144759941E1,3.101239967E1
8.727786620E-1,-1.195233994E2,-1.805599976E1,3.263499832E1
8.827786620E-1,-1.214021988E2,-1.433500004E1,3.370859909E1
8.927786620E-1,-1.229881973E2,-1.047980022E1,3.428199768E1
9.027786620E-1,-1.241227951E2,-6.429399967E0,3.463579941E1
9.127786620E-1,-1.248669968E2,-2.269199848E0,3.461140060E1
9.227786620E-1,-1.247693939E2,2.013000011E0,3.384280014E1
9.327786620E-1,-1.242569962E2,6.356199741E0,3.276919937E1
9.427786620E-1,-1.232931976E2,1.065059948E1,3.135400009E1
9.527786620E-1,-1.219878006E2,1.492059994E1,2.960939980E1
9.627786620E-1,-1.200479965E2,1.916619873E1,2.736459923E1
9.727786620E-1,-1.176933975E2,2.330200005E1,2.504660034E1
9.827786620E-1,-1.150581970E2,2.731579971E1,2.246019936E1
9.927786620E-1,-1.121301956E2,3.123199844E1,1.970299911E1
1.002778662E0,-1.086653976E2,3.495299911E1,1.670179939E1
1.012778662E0,-1.049687958E2,3.862519836E1,1.356639957E1
1.022778662E0,-1.009916000E2,4.221199799E1,1.023579979E1
1.032778662E0,-9.680699921E1,4.564019775E1,6.844199657E0
1.042778662E0,-9.256140137E1,4.859259796E1,3.525799990E0
1.052778662E0,-8.752279663E1,5.171579742E1,-4.269999862E-1
1.062778662E0,-8.220359802E1,5.477799988E1,-4.635999680E0
1.072778662E0,-7.655500031E1,5.770599747E1,-9.003600121E0
1.082778662E0,-7.108940125E1,6.021920013E1,-1.324919987E1
1.092778662E0,-6.463559723E1,6.267139816E1,-1.827560043E1
1.102778662E0,-5.792559814E1,6.495279694E1,-2.343619919E1
1.112778662E0,-5.089839935E1,6.700239563E1,-2.888959885E1
1.122778662E0,-4.367599869E1,6.886899567E1,-3.447719955E1
1.132778662E0,-3.603879929E1,7.008899689E1,-4.035759735E1
1.142778662E0,-2.827960014E1,7.099179840E1,-4.622579956E1
1.152778662E0,-2.041059875E1,7.160179901E1,-5.222819901E1
1.162778662E0,-1.239519978E1,7.174819946E1,-5.823059845E1
1.172778662E0,-4.318799973E0,7.118699646E1,-6.420859528E1
1.182778662E0,3.745399952E0,7.024759674E1,-7.019879913E1
1.192778662E0,1.167539978E1,6.896659851E1,-7.598159790E1
1.202778662E0,1.954439926E1,6.723419952E1,-8.172779846E1
1.212778662E0,2.707180023E1,6.481859589E1,-8.721779633E1
1.222778662E0,3.436740112E1,6.213459778E1,-9.259799957E1
1.232778662E0,4.133359909E1,5.908459854E1,-9.763659668E1
1.242778662E0,4.787279892E1,5.582719803E1,-1.025410004E2
1.252778662E0,5.353359985E1,5.215499878E1,-1.069207993E2
1.262778662E0,5.877959824E1,4.828759766E1,-1.110199966E2
1.272778662E0,6.347660065E1,4.427379990E1,-1.149483948E2
1.282778662E0,6.757579803E1,4.022340012E1,-1.186693954E2
1.292778662E0,7.040619659E1,3.623400116E1,-1.220000000E2
1.302778662E0,7.252899933E1,3.239099884E1,-1.251110001E2
1.312778662E0,7.395639801E1,2.881639862E1,-1.282830048E2
1.322778662E0,7.472499847E1,2.551019859E1,-1.315037994E2
1.332778662E0,7.429799652E1,2.280179977E1,-1.353955994E2
1.342778662E0,7.329759979E1,2.033740044E1,-1.398119965E2
1.352778662E0,7.184580231E1,1.792179871E1,-1.448262024E2
1.362778662E0,7.007679749E1,1.520119953E1,-1.503771973E2
1.372778662E0,6.797840118E1,1.108979988E1,-1.564649963E2
1.382778662E0,6.585559845E1,5.941400051E0,-1.623575897E2
1.392778662E0,6.378159714E1,-3.050000072E-1,-1.675791931E2
1.402778662E0,6.173199844E1,-7.551799774E0,-1.717149963E2
1.412778662E0,5.977999878E1,-1.621380043E1,-1.731057892E2
1.422778662E0,5.786459732E1,-2.519299889E1,-1.728007965E2
1.432778662E0,5.602239990E1,-3.415999985E1,-1.708488007E2
1.442778662E0,5.422900009E1,-4.263899994E1,-1.673473969E2
1.452778662E0,5.248439789E1,-4.919039917E1,-1.616743927E2
1.462778662E0,5.089839935E1,-5.447299957E1,-1.554523926E2
1.472778662E0,4.934899902E1,-5.854779816E1,-1.491571960E2
1.482778662E0,4.795819855E1,-6.132939911E1,-1.431304016E2
1.492778662E0,4.690900040E1,-6.232979965E1,-1.379819946E2
1.502778662E0,4.603059769E1,-6.279339981E1,-1.334801941E2
1.512778662E0,4.524979782E1,-6.278120041E1,-1.295395966E2
1.522778662E0,4.456660080E1,-6.252499771E1,-1.260747986E2
1.532778662E0,4.402980042E1,-6.201259995E1,-1.236103973E2
