"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.163745700E-2,3.884592354E-1,1.590348482E0,1.013824749E1
2.363745700E-2,3.357867897E-1,1.686116576E0,1.022443867E1
2.518615500E-2,3.118447661E-1,1.805826664E0,1.031541824E1
2.715136300E-2,3.118447661E-1,1.930325150E0,1.045428181E1
2.907917600E-2,2.926911712E-1,2.054823637E0,1.049737740E1
3.055438400E-2,2.974795699E-1,2.231994629E0,1.039203262E1
3.251959200E-2,2.687491477E-1,2.260725021E0,1.028189945E1
3.448480100E-2,2.160767019E-1,2.289455414E0,1.044470501E1
3.645000900E-2,2.495955229E-1,2.428318977E0,1.045907021E1
3.841521700E-2,3.118447661E-1,2.447472572E0,1.040160942E1
4.038042600E-2,3.309983909E-1,2.375646591E0,1.044949341E1
4.234563400E-2,3.740940094E-1,2.423530579E0,1.060272217E1
4.431084200E-2,4.507084787E-1,2.567182779E0,1.055962658E1
4.627605100E-2,4.842272997E-1,2.538452387E0,1.065539455E1
4.824125900E-2,4.794389009E-1,2.509721994E0,1.064581776E1
5.020646700E-2,4.842272997E-1,2.600701571E0,1.055483818E1
5.217167600E-2,4.459200799E-1,2.615066767E0,1.049737740E1
5.413688400E-2,4.746504724E-1,2.600701571E0,1.040639782E1
5.610209200E-2,4.650736749E-1,2.576759577E0,1.042076302E1
5.806730100E-2,3.980360329E-1,2.610278368E0,1.039682102E1
6.003250900E-2,4.411316514E-1,2.710834980E0,1.023880386E1
6.199771700E-2,4.459200799E-1,2.749142170E0,1.018134308E1
6.396292600E-2,4.124012291E-1,2.749142170E0,9.961075783E0
6.592813400E-2,3.549404144E-1,2.552817583E0,1.018613148E1
6.789334200E-2,4.507084787E-1,2.715623379E0,1.036809063E1
6.985855100E-2,4.507084787E-1,2.830544949E0,1.011909389E1
7.182375900E-2,3.214215636E-1,2.763507366E0,9.946710587E0
7.378896700E-2,3.214215636E-1,2.787449360E0,9.917980194E0
7.575417600E-2,3.070563674E-1,2.816179752E0,9.740809441E0
7.771938400E-2,3.645172119E-1,2.811391354E0,9.774328232E0
7.968459200E-2,3.262099922E-1,2.662950754E0,9.855731010E0
8.164980100E-2,2.591723204E-1,2.610278368E0,9.874884605E0
8.361500900E-2,3.453635871E-1,2.672527552E0,9.879673004E0
8.558042600E-2,4.028244317E-1,2.686892748E0,1.008557510E1
8.754735300E-2,4.650736749E-1,2.959831953E0,9.798270226E0
8.951698800E-2,3.884592354E-1,2.667739153E0,9.477447510E0
9.149037400E-2,3.357867897E-1,2.619855165E0,9.568427086E0
9.346834200E-2,4.794389009E-1,2.911947727E0,9.587580681E0
9.545151900E-2,5.225345492E-1,2.840121746E0,9.271546364E0
9.744026900E-2,5.321113467E-1,2.581547976E0,9.831789017E0
9.943474900E-2,5.368997455E-1,2.413953781E0,1.030105305E1
1.014348530E-1,4.842272997E-1,2.514510393E0,9.597157478E0
1.034403210E-1,4.985924959E-1,2.610278368E0,9.448717117E0
1.054506340E-1,5.368997455E-1,2.720411777E0,9.214085579E0
1.074651130E-1,4.602852762E-1,2.423530579E0,9.443928719E0
1.094829260E-1,5.129576921E-1,2.404376984E0,9.755174637E0
1.115031860E-1,5.847837925E-1,2.682104349E0,9.865307808E0
1.135249050E-1,5.943605900E-1,2.667739153E0,9.410409927E0
1.155470920E-1,5.129576921E-1,2.399588585E0,1.011430550E1
1.175567280E-1,4.459200799E-1,2.715623379E0,9.352949142E0
1.195548010E-1,3.405751884E-1,3.654150248E0,7.413645744E0
1.215528740E-1,2.256535143E-1,1.829768658E0,9.831789017E0
1.235509460E-1,1.011550203E-1,1.671751380E0,1.095706367E1
1.255490190E-1,5.368997455E-1,3.414730072E0,9.884461403E0
1.275470920E-1,5.895721912E-1,3.342904091E0,9.300276756E0
1.295451650E-1,3.693056107E-1,2.576759577E0,9.357737541E0
1.315432380E-1,1.203086376E-1,2.548029184E0,9.534908295E0
1.335413630E-1,7.242459804E-2,2.437895775E0,9.874884605E0
1.355395400E-1,9.636662155E-2,2.610278368E0,9.894038200E0
1.375377170E-1,9.157821536E-2,3.022081137E0,9.080010414E0
1.395358940E-1,1.496376097E-2,3.098695517E0,8.711302757E0
1.415341240E-1,-1.334767491E-1,2.030881643E0,1.018613148E1
1.435324050E-1,-1.669955701E-1,2.054823637E0,1.042555141E1
1.455306860E-1,5.327098817E-2,2.993350744E0,9.506177902E0
1.475289670E-1,1.298854351E-1,2.739565372E0,9.850942612E0
1.495272490E-1,8.678980917E-2,2.423530579E0,9.764751434E0
1.515255300E-1,5.386953708E-3,2.064400434E0,1.053089619E1
1.535238110E-1,7.242459804E-2,2.299032211E0,1.033457184E1
1.555220920E-1,1.681926697E-1,3.012504339E0,9.443928719E0
1.575203740E-1,1.017535757E-2,2.591124773E0,9.324218750E0
1.595186550E-1,-9.516951442E-2,2.418742180E0,9.285911560E0
1.615169360E-1,-2.813187055E-2,2.710834980E0,9.558850288E0
1.635151650E-1,1.107318252E-1,2.902370930E0,9.927556992E0
1.655133940E-1,2.974795699E-1,2.849698544E0,9.975440979E0
1.675116240E-1,1.059434265E-1,2.083554029E0,9.812635422E0
1.695098530E-1,1.298854351E-1,2.251148224E0,1.016697788E1
1.715080820E-1,4.076128304E-1,2.897582531E0,1.048780060E1
1.735063110E-1,4.363432527E-1,3.060388327E0,9.477447510E0
1.755045400E-1,2.831143439E-1,2.184110403E0,1.025795746E1
