"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.662521500E-2,5.709599972E0,-1.822679901E1,-4.183379745E1
4.662521500E-2,5.514400005E0,-1.850740051E1,-4.201679993E1
5.662521500E-2,5.453399658E0,-1.844639969E1,-4.195579910E1
6.662521500E-2,5.392399788E0,-1.838539886E1,-4.207780075E1
7.662521500E-2,5.380199909E0,-1.836100006E1,-4.209000015E1
8.662521500E-2,5.416800022E0,-1.831220055E1,-4.210219955E1
9.662521500E-2,5.441199780E0,-1.836100006E1,-4.205339813E1
1.025085480E-1,5.465600014E0,-1.836100006E1,-4.209000015E1
1.066252150E-1,5.453399658E0,-1.837319946E1,-4.215100098E1
1.166252150E-1,5.465600014E0,-1.834879875E1,-4.221199799E1
1.266252150E-1,5.538799763E0,-1.831220055E1,-4.229739761E1
1.366252150E-1,5.697400093E0,-1.826339912E1,-4.230960083E1
1.466252150E-1,5.831599712E0,-1.817799950E1,-4.239500046E1
1.566252150E-1,5.977999687E0,-1.806819916E1,-4.241939926E1
1.666252150E-1,6.136600018E0,-1.789739990E1,-4.256579971E1
1.766252150E-1,6.307399750E0,-1.776319885E1,-4.262680054E1
1.866252150E-1,6.490399837E0,-1.758020020E1,-4.277320099E1
1.966252150E-1,6.710000038E0,-1.738500023E1,-4.283419800E1
2.066252150E-1,6.917399883E0,-1.725079918E1,-4.296839905E1
2.166252150E-1,7.027199745E0,-1.707999992E1,-4.310260010E1
2.266252150E-1,7.210199833E0,-1.693359947E1,-4.324900055E1
2.366252150E-1,7.295599937E0,-1.678719902E1,-4.349300003E1
2.466252150E-1,7.393199921E0,-1.660420036E1,-4.370039749E1
2.566252150E-1,7.502999783E0,-1.642119980E1,-4.395660019E1
2.666252150E-1,7.576200008E0,-1.627479935E1,-4.415179825E1
2.766252150E-1,7.576200008E0,-1.614060020E1,-4.438359833E1
2.866252150E-1,7.478600025E0,-1.604299927E1,-4.454219818E1
2.966252150E-1,7.368799686E0,-1.605520058E1,-4.465200043E1
3.066252150E-1,7.088200092E0,-1.611619949E1,-4.462759781E1
3.166252150E-1,6.770999908E0,-1.625040054E1,-4.463980103E1
3.266252150E-1,6.343999863E0,-1.639679909E1,-4.460319901E1
3.366252150E-1,5.843800068E0,-1.654319954E1,-4.443239975E1
3.466252150E-1,5.294799805E0,-1.666519928E1,-4.429819870E1
3.566252150E-1,4.733600140E0,-1.673839951E1,-4.413959885E1
3.666252150E-1,4.135799885E0,-1.686039925E1,-4.398099899E1
3.766252150E-1,3.574599981E0,-1.690919876E1,-4.389559937E1
3.866252150E-1,3.037799835E0,-1.688479996E1,-4.387120056E1
3.966252150E-1,2.525399923E0,-1.688479996E1,-4.381019974E1
4.066252150E-1,2.061800003E0,-1.688479996E1,-4.377359772E1
4.166252150E-1,1.585999966E0,-1.686039925E1,-4.379800034E1
4.266252150E-1,1.134599924E0,-1.678719902E1,-4.384679794E1
4.366252150E-1,7.563999891E-1,-1.675059891E1,-4.398099899E1
4.466252150E-1,3.781999946E-1,-1.665299988E1,-4.407859802E1
4.566252150E-1,-2.439999953E-2,-1.659199905E1,-4.421279907E1
4.666252150E-1,-3.659999967E-1,-1.654319954E1,-4.439579773E1
4.766252150E-1,-6.222000122E-1,-1.644560051E1,-4.452999878E1
4.866252150E-1,-9.393999577E-1,-1.637240028E1,-4.468859863E1
4.966252150E-1,-1.134599924E0,-1.629920006E1,-4.485939789E1
5.066252150E-1,-1.329800010E0,-1.636019897E1,-4.501799774E1
5.166252150E-1,-1.524999976E0,-1.648220062E1,-4.506679916E1
5.266252150E-1,-1.646999955E0,-1.664080048E1,-4.522539902E1
5.366252150E-1,-1.720199943E0,-1.683600044E1,-4.531079865E1
5.466252150E-1,-1.793399930E0,-1.704339981E1,-4.535960007E1
5.566252150E-1,-1.976400018E0,-1.738500023E1,-4.543280029E1
5.666252150E-1,-2.037400007E0,-1.778759956E1,-4.550600052E1
5.766252150E-1,-2.244799852E0,-1.819019890E1,-4.554259872E1
5.866252150E-1,-2.403399944E0,-1.855620003E1,-4.548159790E1
5.966252150E-1,-2.635200024E0,-1.886120033E1,-4.549379730E1
6.066252150E-1,-2.927999973E0,-1.914179993E1,-4.545719910E1
6.166252150E-1,-3.269599915E0,-1.944680023E1,-4.533519745E1
6.266252150E-1,-3.623399973E0,-1.967860031E1,-4.526199722E1
6.366252150E-1,-3.940599918E0,-1.978839874E1,-4.512779999E1
6.466252150E-1,-4.343199730E0,-1.982499886E1,-4.496920013E1
6.566252150E-1,-4.684800148E0,-1.988599968E1,-4.485939789E1
6.666252150E-1,-5.026400089E0,-1.995919991E1,-4.474959946E1
6.766252150E-1,-5.319200039E0,-1.998359871E1,-4.459099960E1
6.866252150E-1,-5.551000118E0,-1.994700050E1,-4.439579773E1
6.966252150E-1,-5.807199955E0,-1.988599968E1,-4.424939728E1
7.066252150E-1,-5.990200043E0,-1.992259979E1,-4.409079742E1
7.166252150E-1,-6.173199654E0,-1.992259979E1,-4.404199982E1
7.266252150E-1,-6.356199741E0,-1.993479919E1,-4.393219757E1
7.366252150E-1,-6.478199959E0,-1.992259979E1,-4.384679794E1
7.466252150E-1,-6.575799942E0,-1.991040039E1,-4.377359772E1
7.566252150E-1,-6.673399925E0,-1.988599968E1,-4.373699951E1
7.666252150E-1,-6.770999908E0,-1.986159897E1,-4.372480011E1
7.766252150E-1,-6.807600021E0,-1.987380028E1,-4.376139832E1
7.866252150E-1,-6.868599892E0,-1.972739983E1,-4.377359772E1
7.966252150E-1,-6.892999649E0,-1.970299911E1,-4.366379929E1
8.066252150E-1,-6.844199657E0,-1.962979889E1,-4.365159988E1
8.166252150E-1,-6.880799770E0,-1.956879997E1,-4.359059906E1
8.266252150E-1,-6.929599762E0,-1.945899963E1,-4.356620026E1
8.366252150E-1,-6.929599762E0,-1.938579941E1,-4.357839966E1
8.466252150E-1,-6.905200005E0,-1.936139870E1,-4.357839966E1
8.566252150E-1,-6.856400013E0,-1.928820038E1,-4.352959824E1
8.666252150E-1,-6.831999779E0,-1.928820038E1,-4.348080063E1
8.766252150E-1,-6.795399666E0,-1.925160027E1,-4.346859741E1
8.866252150E-1,-6.807600021E0,-1.921500015E1,-4.341979980E1
8.966252150E-1,-6.770999908E0,-1.917840004E1,-4.340760040E1
9.066252150E-1,-6.673399925E0,-1.917840004E1,-4.333440018E1
9.166252150E-1,-6.673399925E0,-1.921500015E1,-4.329779816E1
9.266252150E-1,-6.648999691E0,-1.916619873E1,-4.329779816E1
9.366252150E-1,-6.648999691E0,-1.908079910E1,-4.327339935E1
9.466252150E-1,-6.685599804E0,-1.911739922E1,-4.327339935E1
9.566252150E-1,-6.734399796E0,-1.908079910E1,-4.329779816E1
9.666252150E-1,-6.673399925E0,-1.904419899E1,-4.333440018E1
9.766252150E-1,-6.697799683E0,-1.895879936E1,-4.339540100E1
9.866252150E-1,-6.734399796E0,-1.887339973E1,-4.340760040E1
9.966252150E-1,-6.722199917E0,-1.875139999E1,-4.341979980E1
1.006625215E0,-6.783199787E0,-1.869039917E1,-4.341979980E1
1.016625215E0,-6.868599892E0,-1.867819977E1,-4.343199921E1
1.026625215E0,-6.856400013E0,-1.858059883E1,-4.344419861E1
1.036625215E0,-6.819799900E0,-1.853179932E1,-4.345639801E1
1.046625215E0,-6.856400013E0,-1.848299980E1,-4.344419861E1
1.056625215E0,-6.795399666E0,-1.851959991E1,-4.340760040E1
1.066625215E0,-6.795399666E0,-1.847080040E1,-4.345639801E1
1.076625215E0,-6.770999908E0,-1.844639969E1,-4.343199921E1
1.086625215E0,-6.734399796E0,-1.842199898E1,-4.340760040E1
1.096625215E0,-6.661200047E0,-1.834879875E1,-4.339540100E1
1.106625215E0,-6.648999691E0,-1.828779984E1,-4.337099838E1
1.116625215E0,-6.697799683E0,-1.819019890E1,-4.328559875E1
1.126625215E0,-6.722199917E0,-1.803159904E1,-4.326119995E1
1.136625215E0,-6.795399666E0,-1.781200027E1,-4.322459793E1
1.146625215E0,-6.844199657E0,-1.761680031E1,-4.322459793E1
1.156625215E0,-6.868599892E0,-1.737279892E1,-4.328559875E1
1.166625215E0,-6.905200005E0,-1.706780052E1,-4.327339935E1
1.176625215E0,-6.868599892E0,-1.676280022E1,-4.339540100E1
1.186625215E0,-6.783199787E0,-1.642119980E1,-4.351739883E1
1.196625215E0,-6.661200047E0,-1.610400009E1,-4.370039749E1
1.206625215E0,-6.575799942E0,-1.590880013E1,-4.384679794E1
1.216625215E0,-6.380599976E0,-1.570139980E1,-4.407859802E1
1.226625215E0,-6.173199654E0,-1.549399948E1,-4.435919952E1
1.236625215E0,-6.002399921E0,-1.525000000E1,-4.457880020E1
