"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.241502100E-2,1.442506462E-1,9.487023950E-1,9.625887871E0
2.336627100E-2,1.203086376E-1,8.912416101E-1,9.659406662E0
2.533148000E-2,1.298854351E-1,8.625111580E-1,9.688137054E0
2.729668800E-2,1.490390599E-1,8.337807655E-1,9.707290649E0
2.926189600E-2,1.011550203E-1,8.337807655E-1,9.664195061E0
3.122710500E-2,9.157821536E-2,7.906851172E-1,9.582792282E0
3.319231300E-2,7.721300423E-2,8.433575630E-1,9.587580681E0
3.515752100E-2,5.805939063E-2,8.720879555E-1,9.611522675E0
3.712273000E-2,3.890577704E-2,9.295488000E-1,9.611522675E0
3.908793800E-2,4.369417951E-2,9.822212458E-1,9.554061890E0
4.105314600E-2,1.975216344E-2,1.097142935E0,9.463082314E0
4.301835500E-2,1.975216344E-2,1.192911029E0,9.573215485E0
4.498356300E-2,1.017535757E-2,1.259948611E0,9.601945877E0
4.694877100E-2,-3.770867735E-2,1.307832718E0,9.688137054E0
4.891398000E-2,-1.047463268E-1,1.303044319E0,9.664195061E0
5.087918800E-2,-1.191115379E-1,1.374870300E0,9.578003883E0
5.284439600E-2,-8.080431074E-2,1.485003591E0,9.611522675E0
5.480960500E-2,-7.122749835E-2,1.470638394E0,9.731232643E0
5.677481300E-2,-6.643909961E-2,1.504157186E0,9.822212219E0
5.874002100E-2,-5.207388848E-2,1.566406488E0,9.769539833E0
6.070523000E-2,-5.207388848E-2,1.599925280E0,9.759963036E0
6.267043800E-2,-7.122749835E-2,1.628655672E0,9.860519409E0
6.463564600E-2,-8.080431074E-2,1.609502077E0,9.879673004E0
6.660085500E-2,-8.559270948E-2,1.647809267E0,9.884461403E0
6.856606300E-2,-6.165069342E-2,1.853710651E0,9.798270226E0
7.053127100E-2,-8.978256024E-3,1.829768658E0,9.908403397E0
7.249648000E-2,4.369417951E-2,1.949478745E0,9.961075783E0
7.446168800E-2,5.805939063E-2,2.054823637E0,9.860519409E0
7.642689600E-2,6.284779310E-2,2.136226416E0,9.855731010E0
7.839210500E-2,5.805939063E-2,2.198475599E0,9.879673004E0
8.035804200E-2,-4.249707982E-2,2.188898802E0,1.001374817E1
8.232601100E-2,-1.143231317E-1,2.136226416E0,1.021007347E1
8.429715700E-2,-7.122749835E-2,2.227206230E0,1.010951710E1
8.627241700E-2,-7.122749835E-2,2.289455414E0,9.889249802E0
8.825257300E-2,-8.080431074E-2,2.299032211E0,9.827000618E0
9.023814600E-2,-5.686229095E-2,2.308609009E0,9.850942612E0
9.222944800E-2,-1.376665942E-2,2.198475599E0,9.855731010E0
9.422653200E-2,-4.189853091E-3,2.270301819E0,9.946710587E0
9.622924000E-2,5.985504249E-4,2.236783028E0,1.001374817E1
9.823715700E-2,2.932897024E-2,2.275090218E0,9.894038200E0
1.002497090E-1,-4.249707982E-2,2.322974205E0,9.726444244E0
1.022661670E-1,-1.143231317E-1,2.332551003E0,9.894038200E0
1.042856460E-1,-1.143231317E-1,2.433107376E0,9.463082314E0
1.063071570E-1,-1.238999367E-1,2.299032211E0,9.980229378E0
1.083297090E-1,-1.095347255E-1,2.284667015E0,9.985017776E0
1.103523130E-1,-1.382651478E-1,2.356492996E0,9.506177902E0
1.123525730E-1,-1.430535465E-1,2.236783028E0,9.582792282E0
1.143510630E-1,-1.478419602E-1,2.203263998E0,9.611522675E0
1.163493440E-1,-8.080431074E-2,2.198475599E0,9.649829865E0
1.183475730E-1,-9.516951442E-2,2.131438017E0,9.664195061E0
1.203458030E-1,-4.249707982E-2,2.126649618E0,9.649829865E0
1.223440320E-1,-8.978256024E-3,2.164956808E0,9.697713852E0
1.243422610E-1,-4.189853091E-3,2.255936623E0,9.558850288E0
1.263404900E-1,-3.292027488E-2,2.246359825E0,9.544485092E0
1.283387190E-1,5.985504249E-4,2.117072821E0,9.740809441E0
1.303369480E-1,-7.122749835E-2,2.222417831E0,9.692925453E0
1.323351780E-1,-6.165069342E-2,2.260725021E0,9.621099472E0
1.343334590E-1,-1.376665942E-2,2.145803213E0,9.946710587E0
1.363317920E-1,-9.038111567E-2,2.275090218E0,9.400833130E0
1.383301780E-1,-9.038111567E-2,2.380434990E0,9.257181168E0
1.403286150E-1,-1.855506375E-2,2.203263998E0,1.005684471E1
1.423271050E-1,5.327098817E-2,2.169745207E0,1.003769016E1
1.443256460E-1,2.454056777E-2,2.409165382E0,9.582792282E0
1.463242400E-1,-4.728548229E-2,2.466626406E0,9.477447510E0
1.483228860E-1,-6.643909961E-2,2.356492996E0,9.592369080E0
1.503215320E-1,-3.770867735E-2,2.390011787E0,9.664195061E0
1.523201780E-1,5.327098817E-2,2.562394381E0,9.630676270E0
1.543188230E-1,1.155202314E-1,2.557605982E0,9.606734276E0
1.563174690E-1,1.203086376E-1,2.500145197E0,9.683348656E0
1.583157500E-1,1.538274586E-1,2.480991602E0,9.793481827E0
1.603140320E-1,1.586158574E-1,2.567182779E0,9.616311073E0
1.623123130E-1,1.921346933E-1,2.629431963E0,9.736021042E0
1.643105940E-1,2.064998895E-1,2.413953781E0,9.702502251E0
1.663088750E-1,2.256535143E-1,2.452261209E0,9.827000618E0
1.683072090E-1,2.112883031E-1,2.672527552E0,9.482235909E0
1.703055940E-1,3.453635871E-1,2.624643564E0,9.692925453E0
1.723040320E-1,2.783259451E-1,2.366069794E0,9.961075783E0
