"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.683788600E-2,1.094461975E2,-2.149761963E2,-7.258999634E1
5.683788600E-2,1.094949951E2,-2.149273987E2,-7.238259888E1
6.683788600E-2,1.095803986E2,-2.148542023E2,-7.228499603E1
7.683788600E-2,1.094461975E2,-2.147687988E2,-7.224839783E1
8.683788600E-2,1.093730011E2,-2.146223907E2,-7.213859558E1
9.683788600E-2,1.092997971E2,-2.146101990E2,-7.194339752E1
1.002604380E-1,1.092509995E2,-2.145979919E2,-7.179699707E1
1.068378860E-1,1.091899948E2,-2.145125885E2,-7.169940186E1
1.168378860E-1,1.091045990E2,-2.143661957E2,-7.150419617E1
1.268378860E-1,1.089581985E2,-2.143173981E2,-7.123580170E1
1.368378860E-1,1.087508011E2,-2.142198029E2,-7.084539795E1
1.468378860E-1,1.086044006E2,-2.141587982E2,-7.040619659E1
1.568378860E-1,1.083725967E2,-2.141100006E2,-6.997920227E1
1.668378860E-1,1.080675964E2,-2.139270020E2,-6.941799927E1
1.768378860E-1,1.077503967E2,-2.136219940E2,-6.883239746E1
1.868378860E-1,1.073965988E2,-2.132315979E2,-6.812480164E1
1.968378860E-1,1.069817963E2,-2.127923889E2,-6.735620117E1
2.068378860E-1,1.065547943E2,-2.120603943E2,-6.642900085E1
2.168378860E-1,1.060911942E2,-2.112429962E2,-6.558719635E1
2.268378860E-1,1.056763992E2,-2.102425995E2,-6.469660187E1
2.368378860E-1,1.052615967E2,-2.090957947E2,-6.390359879E1
2.468378860E-1,1.049443970E2,-2.076806030E2,-6.317160034E1
2.568378860E-1,1.046149979E2,-2.061678009E2,-6.251279831E1
2.668378860E-1,1.043465958E2,-2.045818024E2,-6.193939972E1
2.768378860E-1,1.041757965E2,-2.028005981E2,-6.156119919E1
2.868378860E-1,1.041757965E2,-2.008242035E2,-6.164659882E1
2.968378860E-1,1.042733994E2,-1.987867889E2,-6.190279770E1
3.068378860E-1,1.044441986E2,-1.967738037E2,-6.247620010E1
3.168378860E-1,1.047126007E2,-1.947852020E2,-6.320819855E1
3.268378860E-1,1.051640015E2,-1.928941956E2,-6.455020142E1
3.368378860E-1,1.057251968E2,-1.911007996E2,-6.605079651E1
3.468378860E-1,1.063839951E2,-1.895635986E2,-6.778319550E1
3.568378860E-1,1.071159973E2,-1.882704010E2,-6.964979553E1
3.668378860E-1,1.079089966E2,-1.873797913E2,-7.168719482E1
3.768378860E-1,1.087386017E2,-1.867819977E2,-7.379779816E1
3.868378860E-1,1.095803986E2,-1.864281921E2,-7.582299805E1
3.968378860E-1,1.104588013E2,-1.862939911E2,-7.778720093E1
4.068378860E-1,1.112273941E2,-1.865623932E2,-7.959279633E1
4.168378860E-1,1.120204010E2,-1.870016022E2,-8.123979950E1
4.268378860E-1,1.127523956E2,-1.875627899E2,-8.278919983E1
4.368378860E-1,1.134477997E2,-1.882337952E2,-8.419219971E1
4.468378860E-1,1.140456009E2,-1.889169922E2,-8.533899689E1
4.568378860E-1,1.146556015E2,-1.897832031E2,-8.643699646E1
4.668378860E-1,1.152167969E2,-1.906371918E2,-8.742520142E1
4.768378860E-1,1.157047958E2,-1.915034027E2,-8.827919769E1
4.868378860E-1,1.161561966E2,-1.922841949E2,-8.891359711E1
4.968378860E-1,1.166319962E2,-1.931138000E2,-8.956019592E1
5.068378860E-1,1.170223999E2,-1.938580017E2,-9.013359833E1
5.168378860E-1,1.173761978E2,-1.946266022E2,-9.063379669E1
5.268378860E-1,1.177177963E2,-1.953952026E2,-9.107299805E1
5.368378860E-1,1.179739990E2,-1.960661926E2,-9.135359955E1
5.468378860E-1,1.181569977E2,-1.966151886E2,-9.158539581E1
5.568378860E-1,1.184253998E2,-1.971763916E2,-9.189039612E1
5.668378860E-1,1.186449966E2,-1.977375946E2,-9.206119537E1
5.768378860E-1,1.188035965E2,-1.982256012E2,-9.223199463E1
5.868378860E-1,1.189865952E2,-1.986891937E2,-9.235399628E1
5.968378860E-1,1.191451950E2,-1.991039886E2,-9.245159912E1
6.068378860E-1,1.193647995E2,-1.995065918E2,-9.252479553E1
6.168378860E-1,1.195233994E2,-1.997139893E2,-9.263459778E1
6.268378860E-1,1.197918015E2,-2.000800018E2,-9.273220062E1
6.368378860E-1,1.199626007E2,-2.003849945E2,-9.279319763E1
6.468378860E-1,1.201821976E2,-2.005923920E2,-9.284199524E1
6.568378860E-1,1.203651962E2,-2.007144012E2,-9.286640167E1
6.668378860E-1,1.205603943E2,-2.008486023E2,-9.293959808E1
6.768378860E-1,1.207921982E2,-2.009828033E2,-9.293959808E1
6.868378860E-1,1.209263992E2,-2.011414032E2,-9.292739868E1
6.968378860E-1,1.211581955E2,-2.012877960E2,-9.295179749E1
7.068378860E-1,1.213167953E2,-2.013121948E2,-9.293959808E1
7.168378860E-1,1.214875946E2,-2.013731995E2,-9.290299988E1
7.268378860E-1,1.216583939E2,-2.014707947E2,-9.290299988E1
7.368378860E-1,1.218170013E2,-2.015439911E2,-9.287860107E1
7.468378860E-1,1.219389954E2,-2.016172028E2,-9.286640167E1
7.568378860E-1,1.220487976E2,-2.017147980E2,-9.290299988E1
7.668378860E-1,1.221097946E2,-2.016781921E2,-9.285419464E1
7.768378860E-1,1.221342010E2,-2.017758026E2,-9.285419464E1
7.868378860E-1,1.221585999E2,-2.019344025E2,-9.282979584E1
7.968378860E-1,1.221951981E2,-2.019832001E2,-9.285419464E1
8.068378860E-1,1.222073975E2,-2.019588013E2,-9.285419464E1
8.168378860E-1,1.221707993E2,-2.020075989E2,-9.281759644E1
8.268378860E-1,1.221097946E2,-2.020563965E2,-9.280539703E1
8.368378860E-1,1.220365982E2,-2.020563965E2,-9.279319763E1
8.468378860E-1,1.220000000E2,-2.021417999E2,-9.282979584E1
8.568378860E-1,1.219511948E2,-2.021783905E2,-9.275659943E1
8.668378860E-1,1.219145966E2,-2.020197906E2,-9.276879883E1
8.768378860E-1,1.218292007E2,-2.019588013E2,-9.276879883E1
8.868378860E-1,1.217315979E2,-2.019709930E2,-9.274440002E1
8.968378860E-1,1.217559967E2,-2.019344025E2,-9.282979584E1
9.068378860E-1,1.218657990E2,-2.019344025E2,-9.281759644E1
9.168378860E-1,1.219145966E2,-2.018733978E2,-9.279319763E1
9.268378860E-1,1.220121994E2,-2.018246002E2,-9.279319763E1
9.368378860E-1,1.221097946E2,-2.017879944E2,-9.279319763E1
9.468378860E-1,1.222195969E2,-2.018123932E2,-9.281759644E1
9.568378860E-1,1.223171997E2,-2.017758026E2,-9.276879883E1
9.668378860E-1,1.224269943E2,-2.017269897E2,-9.275659943E1
9.768378860E-1,1.224757996E2,-2.017025909E2,-9.270780182E1
9.868378860E-1,1.224636002E2,-2.016660004E2,-9.272000122E1
9.968378860E-1,1.225001984E2,-2.016049957E2,-9.274440002E1
1.006837886E0,1.225123978E2,-2.015927887E2,-9.272000122E1
1.016837886E0,1.225245972E2,-2.015195923E2,-9.274440002E1
1.026837886E0,1.225001984E2,-2.015439911E2,-9.267119598E1
1.036837886E0,1.224636002E2,-2.015195923E2,-9.268339539E1
1.046837886E0,1.224757996E2,-2.015195923E2,-9.267119598E1
1.056837886E0,1.224757996E2,-2.015195923E2,-9.262239838E1
1.066837886E0,1.224514008E2,-2.013853912E2,-9.258580017E1
1.076837886E0,1.224392014E2,-2.012755890E2,-9.256140137E1
1.086837886E0,1.223781967E2,-2.010925903E2,-9.250039673E1
1.096837886E0,1.223050003E2,-2.008973999E2,-9.252479553E1
1.106837886E0,1.222439957E2,-2.006900024E2,-9.262239838E1
1.116837886E0,1.222195969E2,-2.004703979E2,-9.274440002E1
1.126837886E0,1.222073975E2,-2.002142029E2,-9.290299988E1
1.136837886E0,1.221707993E2,-1.999214020E2,-9.304940033E1
1.146837886E0,1.221707993E2,-1.996773987E2,-9.320800018E1
1.156837886E0,1.221707993E2,-1.993723907E2,-9.350080109E1
1.166837886E0,1.221585999E2,-1.989453888E2,-9.396440125E1
1.176837886E0,1.221464005E2,-1.985061951E2,-9.442800140E1
1.186837886E0,1.221585999E2,-1.980182037E2,-9.497699738E1
1.196837886E0,1.221951981E2,-1.975057983E2,-9.590419769E1
1.206837886E0,1.221951981E2,-1.970543976E2,-9.697779846E1
1.216837886E0,1.223171997E2,-1.968103943E2,-9.827099609E1
1.226837886E0,1.224757996E2,-1.967615967E2,-9.968619537E1
1.236837886E0,1.227075958E2,-1.973715973E2,-1.009916000E2
1.246837886E0,1.229515991E2,-1.983719940E2,-1.020041962E2
1.256837886E0,1.231589966E2,-1.996286011E2,-1.027971954E2
1.266837886E0,1.233419952E2,-2.010925903E2,-1.033339996E2
