"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.061817800E-2,-3.171999931E0,-8.247200012E0,-5.649819946E1
6.061817800E-2,-3.025599957E0,-8.234999657E0,-5.665679932E1
7.061817800E-2,-3.074399948E0,-8.064199448E0,-5.681539917E1
8.061817800E-2,-3.098799944E0,-8.052000046E0,-5.697399902E1
9.061817800E-2,-3.098799944E0,-7.881199837E0,-5.726679993E1
9.332119900E-2,-3.110999823E0,-7.759199619E0,-5.746199799E1
1.006181780E-1,-3.049999952E0,-7.710399628E0,-5.760839844E1
1.106181780E-1,-3.025599957E0,-7.637199879E0,-5.773040009E1
1.206181780E-1,-3.001199961E0,-7.502999783E0,-5.805979919E1
1.306181780E-1,-2.988999844E0,-7.393199921E0,-5.841359711E1
1.406181780E-1,-2.976799965E0,-7.356599808E0,-5.875519943E1
1.506181780E-1,-2.879199982E0,-7.344399929E0,-5.921879959E1
1.606181780E-1,-2.757200003E0,-7.539599895E0,-5.958480072E1
1.706181780E-1,-2.647399902E0,-7.783599854E0,-6.007279968E1
1.806181780E-1,-2.586400032E0,-7.978799820E0,-6.057299805E1
1.906181780E-1,-2.452199936E0,-8.393599510E0,-6.124399948E1
2.006181780E-1,-2.256999969E0,-8.906000137E0,-6.201259995E1
2.106181780E-1,-2.122799873E0,-9.479399681E0,-6.270800018E1
2.206181780E-1,-1.890999913E0,-1.017479992E1,-6.343999863E1
2.306181780E-1,-1.720199943E0,-1.096780014E1,-6.401339722E1
2.406181780E-1,-1.598199964E0,-1.198040009E1,-6.457460022E1
2.506181780E-1,-1.439599991E0,-1.318820000E1,-6.496499634E1
2.606181780E-1,-1.342000008E0,-1.453020000E1,-6.530660248E1
2.706181780E-1,-1.256600022E0,-1.589659977E1,-6.531880188E1
2.806181780E-1,-1.293200016E0,-1.744599915E1,-6.491619873E1
2.906181780E-1,-1.244400024E0,-1.904419899E1,-6.446479797E1
3.006181780E-1,-1.305400014E0,-2.063019943E1,-6.375719833E1
3.106181780E-1,-1.329800010E0,-2.216740036E1,-6.291539764E1
3.206181780E-1,-1.415199995E0,-2.347279930E1,-6.170759964E1
3.306181780E-1,-1.549399972E0,-2.455859947E1,-6.053639984E1
3.406181780E-1,-1.671399951E0,-2.555900002E1,-5.923099899E1
3.506181780E-1,-1.817799926E0,-2.631539917E1,-5.787680054E1
3.606181780E-1,-1.988600016E0,-2.675459862E1,-5.663240051E1
3.706181780E-1,-2.183799982E0,-2.702299881E1,-5.530259705E1
3.806181780E-1,-2.342400074E0,-2.712059975E1,-5.415579987E1
3.906181780E-1,-2.586400032E0,-2.707180023E1,-5.302119827E1
4.006181780E-1,-2.830399990E0,-2.681559944E1,-5.210619736E1
4.106181780E-1,-3.013399839E0,-2.651059914E1,-5.119120026E1
4.206181780E-1,-3.171999931E0,-2.612019920E1,-5.041040039E1
4.306181780E-1,-3.330600023E0,-2.572979927E1,-4.982479858E1
4.406181780E-1,-3.391599894E0,-2.532719994E1,-4.926359940E1
4.506181780E-1,-3.537999868E0,-2.491239929E1,-4.884880066E1
4.606181780E-1,-3.635599852E0,-2.448539925E1,-4.839739990E1
4.706181780E-1,-3.672199965E0,-2.410719872E1,-4.808020020E1
4.806181780E-1,-3.684399843E0,-2.374119949E1,-4.782399750E1
4.906181780E-1,-3.757599831E0,-2.336299896E1,-4.756779861E1
5.006181780E-1,-3.781999826E0,-2.307019997E1,-4.737260056E1
5.106181780E-1,-3.806399822E0,-2.276519966E1,-4.717739868E1
5.206181780E-1,-3.842999935E0,-2.253339958E1,-4.703099823E1
5.306181780E-1,-3.781999826E0,-2.236260033E1,-4.689680099E1
5.406181780E-1,-3.806399822E0,-2.216740036E1,-4.676259995E1
5.506181780E-1,-3.830799818E0,-2.202099991E1,-4.662839890E1
5.606181780E-1,-3.818599939E0,-2.193560028E1,-4.655519867E1
5.706181780E-1,-3.708799839E0,-2.177700043E1,-4.649419785E1
5.806181780E-1,-3.708799839E0,-2.159399986E1,-4.639659882E1
5.906181780E-1,-3.696599960E0,-2.141099930E1,-4.625019836E1
6.006181780E-1,-3.672199965E0,-2.122799873E1,-4.620140076E1
6.106181780E-1,-3.659999847E0,-2.098399925E1,-4.612820053E1
6.206181780E-1,-3.598999977E0,-2.082539940E1,-4.610379791E1
6.306181780E-1,-3.550199986E0,-2.061800003E1,-4.606719971E1
6.406181780E-1,-3.489199877E0,-2.044719887E1,-4.605500031E1
6.506181780E-1,-3.476999998E0,-2.032519913E1,-4.603059769E1
6.606181780E-1,-3.428200006E0,-2.030080032E1,-4.595739746E1
6.706181780E-1,-3.440399885E0,-2.030080032E1,-4.592079926E1
6.806181780E-1,-3.489199877E0,-2.025199890E1,-4.594519806E1
6.906181780E-1,-3.525799990E0,-2.021539879E1,-4.593299866E1
7.006181780E-1,-3.537999868E0,-2.012999916E1,-4.589640045E1
7.106181780E-1,-3.623399973E0,-2.009339905E1,-4.590859985E1
7.206181780E-1,-3.684399843E0,-1.999580002E1,-4.585979843E1
7.306181780E-1,-3.794199944E0,-1.999580002E1,-4.582320023E1
7.406181780E-1,-3.855199814E0,-1.988599968E1,-4.583539963E1
7.506181780E-1,-3.903999805E0,-1.971520042E1,-4.582320023E1
7.606181780E-1,-3.916199923E0,-1.958099937E1,-4.579879761E1
7.706181780E-1,-3.964999914E0,-1.936139870E1,-4.575000000E1
7.806181780E-1,-4.074800014E0,-1.920279884E1,-4.575000000E1
7.906181780E-1,-4.135799885E0,-1.898320007E1,-4.571339798E1
8.006181780E-1,-4.245599747E0,-1.878800011E1,-4.568899918E1
8.106181780E-1,-4.282199860E0,-1.861719894E1,-4.568899918E1
8.206181780E-1,-4.416399956E0,-1.836100006E1,-4.564019775E1
8.306181780E-1,-4.489599705E0,-1.815359879E1,-4.561579895E1
8.406181780E-1,-4.574999809E0,-1.795839882E1,-4.554259872E1
8.506181780E-1,-4.672599792E0,-1.784860039E1,-4.549379730E1
8.606181780E-1,-4.770199776E0,-1.769000053E1,-4.542060089E1
8.706181780E-1,-4.855599880E0,-1.762899971E1,-4.538399887E1
8.806181780E-1,-4.940999985E0,-1.748259926E1,-4.538399887E1
8.906181780E-1,-5.062999725E0,-1.727519989E1,-4.538399887E1
9.006181780E-1,-5.136199951E0,-1.715320015E1,-4.543280029E1
9.106181780E-1,-5.294799805E0,-1.698239899E1,-4.545719910E1
9.206181780E-1,-5.368000031E0,-1.682379913E1,-4.549379730E1
9.306181780E-1,-5.465600014E0,-1.668959999E1,-4.553039932E1
9.406181780E-1,-5.599800110E0,-1.659199905E1,-4.556699753E1
9.506181780E-1,-5.685199738E0,-1.639679909E1,-4.555479813E1
9.606181780E-1,-5.807199955E0,-1.626259995E1,-4.557920074E1
9.706181780E-1,-5.929199696E0,-1.609179878E1,-4.555479813E1
9.806181780E-1,-6.075599670E0,-1.592099953E1,-4.557920074E1
9.906181780E-1,-6.185400009E0,-1.575019932E1,-4.560359955E1
1.000618178E0,-6.368400097E0,-1.551839924E1,-4.568899918E1
1.010618178E0,-6.563600063E0,-1.528660011E1,-4.572559738E1
1.020618178E0,-6.819799900E0,-1.495720005E1,-4.585979843E1
1.030618178E0,-7.137000084E0,-1.465219975E1,-4.596960068E1
