"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.300052600E-2,-4.728548229E-2,1.442506462E-1,9.759963036E0
2.402703700E-2,-7.601590455E-2,1.155202314E-1,9.779116631E0
2.599224500E-2,-6.643909961E-2,1.107318252E-1,9.764751434E0
2.795745300E-2,-7.122749835E-2,1.346738487E-1,9.759963036E0
2.992266200E-2,-3.292027488E-2,1.298854351E-1,9.769539833E0
3.187781800E-2,3.890577704E-2,2.687491477E-1,9.750386238E0
3.384302600E-2,5.805939063E-2,1.825578809E-1,9.664195061E0
3.580823500E-2,2.454056777E-2,1.442506462E-1,9.659406662E0
3.777344300E-2,2.454056777E-2,1.059434265E-1,9.745597839E0
3.973865100E-2,2.454056777E-2,7.242459804E-2,9.850942612E0
4.170386000E-2,1.975216344E-2,5.327098817E-2,9.865307808E0
4.366906800E-2,3.890577704E-2,4.369417951E-2,9.870096207E0
4.563427600E-2,-4.189853091E-3,1.011550203E-1,9.870096207E0
4.759948500E-2,-3.770867735E-2,1.346738487E-1,9.831789017E0
4.956469300E-2,-8.080431074E-2,2.448071241E-1,9.783905029E0
5.152990100E-2,-6.165069342E-2,2.448071241E-1,9.635464668E0
5.349511000E-2,-9.038111567E-2,1.394622475E-1,9.587580681E0
5.546031800E-2,-5.207388848E-2,1.059434265E-1,9.731232643E0
5.742552600E-2,5.985504249E-4,8.200141042E-2,9.913191795E0
5.939073500E-2,5.327098817E-2,1.298854351E-1,1.000417137E1
6.135594300E-2,9.636662155E-2,1.634042710E-1,1.001853657E1
6.332115100E-2,1.011550203E-1,1.873462796E-1,1.000417137E1
6.528636000E-2,1.298854351E-1,2.017114908E-1,1.000895977E1
6.725156800E-2,1.586158574E-1,2.304419130E-1,9.956287384E0
6.921677600E-2,2.112883031E-1,1.490390599E-1,9.894038200E0
7.118198500E-2,1.586158574E-1,1.490390599E-1,9.836577415E0
7.314719300E-2,1.298854351E-1,1.346738487E-1,9.855731010E0
7.511240100E-2,7.242459804E-2,1.442506462E-1,9.865307808E0
7.707761000E-2,9.157821536E-2,1.394622475E-1,9.874884605E0
7.904281800E-2,9.636662155E-2,1.729810685E-1,9.865307808E0
8.100802600E-2,8.200141042E-2,1.681926697E-1,9.831789017E0
8.297323500E-2,5.327098817E-2,1.873462796E-1,9.764751434E0
8.493844300E-2,3.890577704E-2,2.017114908E-1,9.764751434E0
8.690443200E-2,3.411737457E-2,1.921346933E-1,9.755174637E0
8.887245300E-2,3.890577704E-2,2.017114908E-1,9.745597839E0
9.084359900E-2,3.411737457E-2,1.634042710E-1,9.740809441E0
9.281880700E-2,5.327098817E-2,1.490390599E-1,9.731232643E0
9.479886000E-2,5.327098817E-2,1.346738487E-1,9.721655846E0
9.678427600E-2,7.242459804E-2,1.298854351E-1,9.716867447E0
9.877531800E-2,1.107318252E-1,1.634042710E-1,9.688137054E0
1.007719850E-1,1.921346933E-1,2.926911712E-1,9.678560257E0
1.027741200E-1,2.591723204E-1,1.777694821E-1,9.683348656E0
1.047813070E-1,1.969230920E-1,6.763619930E-2,9.678560257E0
1.067929740E-1,1.203086376E-1,-1.855506375E-2,9.707290649E0
1.088083910E-1,1.155202314E-1,-5.686229095E-2,9.740809441E0
1.108266720E-1,1.250970364E-1,-4.728548229E-2,9.812635422E0
1.128468800E-1,1.586158574E-1,-3.292027488E-2,9.807847023E0
1.148680780E-1,1.490390599E-1,1.975216344E-2,9.798270226E0
1.168892760E-1,2.256535143E-1,2.735375464E-1,9.783905029E0
1.188874010E-1,2.543839216E-1,2.543839216E-1,9.721655846E0
1.208852140E-1,1.969230920E-1,2.495955229E-1,9.692925453E0
1.228829740E-1,1.059434265E-1,2.208651006E-1,9.769539833E0
1.248804740E-1,1.975216344E-2,1.634042710E-1,9.822212219E0
1.268779740E-1,-3.292027488E-2,2.017114908E-1,9.922768593E0
1.288754740E-1,-4.249707982E-2,3.214215636E-1,9.975440979E0
1.308729740E-1,-6.165069342E-2,4.985924959E-1,9.946710587E0
1.328704740E-1,-1.191115379E-1,6.709750295E-1,9.841365814E0
1.348679740E-1,-1.478419602E-1,7.619546652E-1,9.764751434E0
1.368654740E-1,-1.574187577E-1,8.577227592E-1,9.745597839E0
1.388629740E-1,-1.334767491E-1,8.912416101E-1,9.712079048E0
1.408604740E-1,-9.995792061E-2,9.151836038E-1,9.716867447E0
1.428579740E-1,-7.122749835E-2,9.295488000E-1,9.721655846E0
1.448554740E-1,-8.080431074E-2,9.582792521E-1,9.726444244E0
1.468530260E-1,-6.165069342E-2,9.199720025E-1,9.716867447E0
1.488506300E-1,-1.334767491E-1,8.098387122E-1,9.774328232E0
1.508482870E-1,-1.909375787E-1,7.763199210E-1,9.764751434E0
1.528459950E-1,-2.388216257E-1,7.044938207E-1,9.716867447E0
1.548437550E-1,-2.627636492E-1,6.901286244E-1,9.736021042E0
1.568415680E-1,-2.531868219E-1,7.236474752E-1,9.712079048E0
1.588394320E-1,-2.531868219E-1,7.667431235E-1,9.707290649E0
1.608372970E-1,-2.244564146E-1,7.380126715E-1,9.697713852E0
1.628351620E-1,-2.244564146E-1,6.949170232E-1,9.721655846E0
1.648330260E-1,-2.005143911E-1,7.332242727E-1,9.731232643E0
1.668304220E-1,-1.765723825E-1,7.715315223E-1,9.697713852E0
1.688277140E-1,-1.286883354E-1,7.954735160E-1,9.673771858E0
1.708250050E-1,-1.143231317E-1,7.763199210E-1,9.755174637E0
1.728222970E-1,-9.995792061E-2,7.906851172E-1,9.745597839E0
1.748195890E-1,-9.995792061E-2,7.571662664E-1,9.807847023E0
1.768169320E-1,-7.601590455E-2,7.763199210E-1,9.726444244E0
1.788143280E-1,-5.207388848E-2,7.906851172E-1,9.645041466E0
1.808117760E-1,-3.770867735E-2,7.811083198E-1,9.601945877E0
1.828092760E-1,-1.376665942E-2,7.763199210E-1,9.625887871E0
