"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.645261200E-2,7.063799858E0,-1.615279961E1,-4.060160065E1
5.645261200E-2,7.014999866E0,-1.615279961E1,-4.054059982E1
6.645261200E-2,7.100399971E0,-1.612839890E1,-4.049179840E1
7.645261200E-2,7.210199833E0,-1.616499901E1,-4.060160065E1
8.645261200E-2,7.222399712E0,-1.606739998E1,-4.058939743E1
9.645261200E-2,7.210199833E0,-1.594539928E1,-4.060160065E1
1.064526120E-1,7.234600067E0,-1.584779930E1,-4.065039825E1
1.164526120E-1,7.271199703E0,-1.583559990E1,-4.069919968E1
1.211175080E-1,7.344399929E0,-1.570139980E1,-4.073579788E1
1.264526120E-1,7.393199921E0,-1.556719971E1,-4.076020050E1
1.364526120E-1,7.405399799E0,-1.544519997E1,-4.079679871E1
1.464526120E-1,7.405399799E0,-1.529879951E1,-4.083340073E1
1.564526120E-1,7.417599678E0,-1.518900013E1,-4.088219833E1
1.664526120E-1,7.527400017E0,-1.512799931E1,-4.090660095E1
1.764526120E-1,7.551799774E0,-1.507919979E1,-4.085779953E1
1.864526120E-1,7.600599766E0,-1.501819992E1,-4.085779953E1
1.964526120E-1,7.612799644E0,-1.501819992E1,-4.088219833E1
2.064526120E-1,7.661599636E0,-1.501819992E1,-4.095539856E1
2.164526120E-1,7.746999741E0,-1.499380016E1,-4.102859879E1
2.264526120E-1,7.868999958E0,-1.490839958E1,-4.108959961E1
2.364526120E-1,8.015399933E0,-1.484739971E1,-4.116279984E1
2.464526120E-1,8.088600159E0,-1.477419949E1,-4.128479767E1
2.564526120E-1,8.234999657E0,-1.466440010E1,-4.140679932E1
2.664526120E-1,8.381400108E0,-1.450579929E1,-4.149219894E1
2.764526120E-1,8.588799477E0,-1.437160015E1,-4.160199738E1
2.864526120E-1,8.722999573E0,-1.421299934E1,-4.163859940E1
2.964526120E-1,8.881599426E0,-1.415199947E1,-4.167519760E1
3.064526120E-1,9.003600121E0,-1.413980007E1,-4.172399902E1
3.164526120E-1,9.125599861E0,-1.407880020E1,-4.180939865E1
3.264526120E-1,9.308599472E0,-1.404220009E1,-4.188259888E1
3.364526120E-1,9.442799568E0,-1.405439949E1,-4.204119873E1
3.464526120E-1,9.540399551E0,-1.401779938E1,-4.217539978E1
3.564526120E-1,9.576999664E0,-1.394460011E1,-4.230960083E1
3.664526120E-1,9.686800003E0,-1.394460011E1,-4.244379807E1
3.764526120E-1,9.772199631E0,-1.383479977E1,-4.267559814E1
3.864526120E-1,9.796599388E0,-1.374940014E1,-4.280979919E1
3.964526120E-1,9.845399857E0,-1.366399956E1,-4.304159927E1
4.064526120E-1,9.833199501E0,-1.361520004E1,-4.320019913E1
4.164526120E-1,9.808799744E0,-1.352979946E1,-4.332220078E1
4.264526120E-1,9.796599388E0,-1.350539970E1,-4.345639801E1
4.364526120E-1,9.821000099E0,-1.345660019E1,-4.352959824E1
4.464526120E-1,9.784399986E0,-1.343219948E1,-4.372480011E1
4.564526120E-1,9.698999405E0,-1.349319935E1,-4.378580093E1
4.664526120E-1,9.662400246E0,-1.350539970E1,-4.398099899E1
4.764526120E-1,9.564800262E0,-1.359079933E1,-4.401760101E1
4.864526120E-1,9.479399681E0,-1.367619991E1,-4.411520004E1
4.964526120E-1,9.406199455E0,-1.378599930E1,-4.417620087E1
5.064526120E-1,9.223199844E0,-1.388359928E1,-4.420059967E1
5.164526120E-1,9.064599991E0,-1.404220009E1,-4.424939728E1
5.264526120E-1,8.930399895E0,-1.415199947E1,-4.422499847E1
5.364526120E-1,8.771800041E0,-1.420079994E1,-4.421279907E1
5.464526120E-1,8.588799477E0,-1.423740005E1,-4.415179825E1
5.564526120E-1,8.442399979E0,-1.435939980E1,-4.407859802E1
5.664526120E-1,8.295999527E0,-1.438379955E1,-4.399319839E1
5.764526120E-1,8.137399673E0,-1.435939980E1,-4.395660019E1
5.864526120E-1,8.039799690E0,-1.434719944E1,-4.390779877E1
5.964526120E-1,7.868999958E0,-1.440819931E1,-4.381019974E1
6.064526120E-1,7.734799862E0,-1.444479942E1,-4.376139832E1
6.164526120E-1,7.612799644E0,-1.451799965E1,-4.365159988E1
6.264526120E-1,7.515199661E0,-1.462779999E1,-4.346859741E1
6.364526120E-1,7.356599808E0,-1.465219975E1,-4.334659958E1
6.464526120E-1,7.137000084E0,-1.476200008E1,-4.317580032E1
6.564526120E-1,6.941799641E0,-1.489620018E1,-4.302939987E1
6.664526120E-1,6.783199787E0,-1.500599957E1,-4.285860062E1
6.764526120E-1,6.612400055E0,-1.505480003E1,-4.274879837E1
6.864526120E-1,6.441599846E0,-1.510359955E1,-4.260239792E1
6.964526120E-1,6.246399879E0,-1.511579990E1,-4.252919769E1
7.064526120E-1,6.051199913E0,-1.512799931E1,-4.251699829E1
7.164526120E-1,5.880399704E0,-1.510359955E1,-4.243159866E1
7.264526120E-1,5.770599842E0,-1.512799931E1,-4.243159866E1
7.364526120E-1,5.611999989E0,-1.512799931E1,-4.237059784E1
7.464526120E-1,5.441199780E0,-1.515240002E1,-4.234619904E1
7.564526120E-1,5.306999683E0,-1.521339989E1,-4.232180023E1
7.664526120E-1,5.136199951E0,-1.525000000E1,-4.228519821E1
7.764526120E-1,5.026400089E0,-1.529879951E1,-4.229739761E1
7.864526120E-1,4.867799759E0,-1.527439976E1,-4.223640060E1
7.964526120E-1,4.757999897E0,-1.532319927E1,-4.221199799E1
8.064526120E-1,4.550600052E0,-1.528660011E1,-4.216320038E1
8.164526120E-1,4.416399956E0,-1.527439976E1,-4.215100098E1
8.264526120E-1,4.306600094E0,-1.522559929E1,-4.218759918E1
8.364526120E-1,4.147999763E0,-1.512799931E1,-4.226079941E1
8.464526120E-1,4.001599789E0,-1.509140015E1,-4.229739761E1
8.564526120E-1,3.879599810E0,-1.504259968E1,-4.224860001E1
8.664526120E-1,3.745399952E0,-1.494499969E1,-4.233399963E1
8.764526120E-1,3.611199856E0,-1.487179947E1,-4.235839844E1
8.864526120E-1,3.537999868E0,-1.479859924E1,-4.240719986E1
8.964526120E-1,3.440399885E0,-1.467659950E1,-4.248040009E1
9.064526120E-1,3.318399906E0,-1.461559963E1,-4.248040009E1
9.164526120E-1,3.257400036E0,-1.460339928E1,-4.248040009E1
9.264526120E-1,3.208600044E0,-1.444479942E1,-4.252919769E1
9.364526120E-1,3.074399948E0,-1.428619957E1,-4.263899994E1
9.464526120E-1,3.049999952E0,-1.424959946E1,-4.256579971E1
9.564526120E-1,2.964599848E0,-1.415199947E1,-4.265119934E1
9.664526120E-1,2.927999973E0,-1.406659985E1,-4.267559814E1
9.764526120E-1,2.879199982E0,-1.399339962E1,-4.267559814E1
9.864526120E-1,2.854799986E0,-1.390799999E1,-4.272439957E1
9.964526120E-1,2.805999994E0,-1.381040001E1,-4.276099777E1
1.006452612E0,2.744999886E0,-1.382259941E1,-4.280979919E1
1.016452612E0,2.757200003E0,-1.378599930E1,-4.282199860E1
1.026452612E0,2.684000015E0,-1.381040001E1,-4.293180084E1
1.036452612E0,2.671799898E0,-1.378599930E1,-4.293180084E1
1.046452612E0,2.610800028E0,-1.385919952E1,-4.302939987E1
1.056452612E0,2.549799919E0,-1.387139988E1,-4.309040070E1
1.066452612E0,2.513200045E0,-1.385919952E1,-4.313919830E1
1.076452612E0,2.488800049E0,-1.383479977E1,-4.320019913E1
1.086452612E0,2.476599932E0,-1.383479977E1,-4.322459793E1
1.096452612E0,2.464400053E0,-1.389579964E1,-4.328559875E1
1.106452612E0,2.513200045E0,-1.385919952E1,-4.330999756E1
1.116452612E0,2.525399923E0,-1.385919952E1,-4.341979980E1
1.126452612E0,2.537600040E0,-1.381040001E1,-4.343199921E1
1.136452612E0,2.562000036E0,-1.385919952E1,-4.346859741E1
1.146452612E0,2.537600040E0,-1.389579964E1,-4.349300003E1
1.156452612E0,2.513200045E0,-1.393239975E1,-4.351739883E1
1.166452612E0,2.513200045E0,-1.394460011E1,-4.354179764E1
1.176452612E0,2.488800049E0,-1.400559998E1,-4.360279846E1
1.186452612E0,2.452199936E0,-1.400559998E1,-4.366379929E1
1.196452612E0,2.440000057E0,-1.406659985E1,-4.374919891E1
1.206452612E0,2.464400053E0,-1.407880020E1,-4.381019974E1
