"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
9.955327000E-3,-9.337500572E0,9.637500763E0,-5.409375381E1,5.573333419E1
1.995532700E-2,-9.356250763E0,9.900000572E0,-5.458125305E1,5.625533419E1
2.995532700E-2,-9.168750763E0,9.993750572E0,-5.493750381E1,5.658683916E1
3.995532700E-2,-8.962500572E0,1.023750019E1,-5.535000229E1,5.699785592E1
4.995532700E-2,-9.037500381E0,1.033125019E1,-5.557500076E1,5.724501597E1
5.995532700E-2,-9.093750000E0,1.042500019E1,-5.585625076E1,5.754387602E1
6.995532700E-2,-9.318750381E0,1.070625019E1,-5.604375076E1,5.781318968E1
7.995532700E-2,-9.281250000E0,1.081875038E1,-5.621250153E1,5.799165707E1
8.995532700E-2,-9.468750000E0,1.080000019E1,-5.596875381E1,5.778233843E1
9.995532700E-2,-9.731250763E0,1.068750000E1,-5.550000381E1,5.735128875E1
1.099553270E-1,-1.018125057E1,1.061250019E1,-5.499375153E1,5.692623060E1
1.199553270E-1,-1.044375038E1,1.036875057E1,-5.484375381E1,5.678397875E1
1.299553270E-1,-1.040625000E1,1.038750076E1,-5.482500076E1,5.676240763E1
1.399553270E-1,-1.031250000E1,1.031250000E1,-5.473125076E1,5.664101979E1
1.499553270E-1,-1.003125000E1,1.010625076E1,-5.463750076E1,5.646254308E1
1.599553270E-1,-1.020000076E1,1.001250076E1,-5.448750305E1,5.633096995E1
1.699553270E-1,-1.005000019E1,9.993750572E0,-5.446875381E1,5.628252568E1
1.799553270E-1,-1.018125057E1,9.806250572E0,-5.446875381E1,5.627313352E1
1.899553270E-1,-9.900000572E0,9.862500191E0,-5.486250305E1,5.661424876E1
1.999553270E-1,-9.825000763E0,9.843750000E0,-5.471250153E1,5.645252764E1
2.099553270E-1,-9.506250381E0,1.003125000E1,-5.469375229E1,5.641277614E1
2.199553270E-1,-9.581250191E0,1.014375019E1,-5.460000229E1,5.635473603E1
2.299553270E-1,-9.712500572E0,1.025625038E1,-5.475000381E1,5.654278254E1
2.399553270E-1,-9.618750572E0,1.014375019E1,-5.484375381E1,5.659729113E1
2.499553270E-1,-9.581250191E0,9.975000381E0,-5.491875076E1,5.663364877E1
2.599553270E-1,-9.431250572E0,1.020000076E1,-5.491875076E1,5.664854533E1
2.699553270E-1,-9.206250191E0,1.025625038E1,-5.491875076E1,5.662168224E1
2.799553270E-1,-9.150000572E0,1.025625038E1,-5.525625229E1,5.694002634E1
2.899553270E-1,-9.337500572E0,1.001250076E1,-5.542500305E1,5.709089290E1
2.999553270E-1,-9.093750000E0,1.008750057E1,-5.576250076E1,5.739259925E1
3.099553270E-1,-8.981250763E0,1.005000019E1,-5.598750305E1,5.758702864E1
3.199553270E-1,-8.606250763E0,1.044375038E1,-5.610000229E1,5.770918238E1
3.299553270E-1,-8.625000000E0,1.053750038E1,-5.645625305E1,5.807527915E1
3.399553270E-1,-8.250000000E0,1.044375038E1,-5.677500153E1,5.831410824E1
3.499553270E-1,-8.193750381E0,1.061250019E1,-5.683125305E1,5.839138660E1
3.599553270E-1,-8.043750763E0,1.066875076E1,-5.671875381E1,5.827127254E1
3.699553270E-1,-8.062500000E0,1.070625019E1,-5.643750381E1,5.800706454E1
3.799553270E-1,-8.325000763E0,1.065000057E1,-5.619375229E1,5.779676415E1
3.899553270E-1,-8.212500572E0,1.063125038E1,-5.574375153E1,5.733964148E1
3.999553270E-1,-8.418750763E0,1.029375076E1,-5.570625305E1,5.727148766E1
4.099553270E-1,-8.512500763E0,1.038750076E1,-5.535000229E1,5.695599700E1
4.199553270E-1,-8.812500000E0,1.023750019E1,-5.499375153E1,5.662843167E1
4.299553270E-1,-9.093750000E0,9.918750763E0,-5.475000381E1,5.637943618E1
4.399553270E-1,-9.262500763E0,9.937500000E0,-5.452500153E1,5.619184654E1
4.499553270E-1,-9.318750381E0,9.806250572E0,-5.454375076E1,5.619628463E1
4.599553270E-1,-9.281250000E0,9.712500572E0,-5.463750076E1,5.626482701E1
4.699553270E-1,-9.412500381E0,9.843750000E0,-5.491875076E1,5.658236265E1
4.799553270E-1,-9.581250191E0,1.001250076E1,-5.512500381E1,5.684027245E1
4.899553270E-1,-9.581250191E0,1.012500000E1,-5.544375229E1,5.716927189E1
4.999553270E-1,-9.750000000E0,1.008750057E1,-5.553750229E1,5.728205939E1
5.099553270E-1,-9.787500381E0,1.014375019E1,-5.568750381E1,5.744378916E1
5.199553270E-1,-9.918750763E0,1.012500000E1,-5.570625305E1,5.748116101E1
5.299553270E-1,-1.005000019E1,1.014375019E1,-5.568750381E1,5.748909682E1
5.399553270E-1,-9.975000381E0,1.014375019E1,-5.585625076E1,5.763954415E1
5.499553270E-1,-9.993750572E0,1.006875038E1,-5.581875229E1,5.759329728E1
5.599553270E-1,-9.993750572E0,1.008750057E1,-5.540625381E1,5.719690271E1
5.699553270E-1,-9.881250381E0,9.900000572E0,-5.529375076E1,5.703549766E1
5.799553270E-1,-9.637500763E0,9.993750572E0,-5.533125305E1,5.704650766E1
5.899553270E-1,-9.562500000E0,1.001250076E1,-5.518125153E1,5.689166984E1
5.999553270E-1,-9.562500000E0,9.900000572E0,-5.491875076E1,5.661731716E1
6.099553270E-1,-9.600000381E0,1.006875038E1,-5.495625305E1,5.668976531E1
6.199553270E-1,-9.881250381E0,1.001250076E1,-5.484375381E1,5.661913646E1
6.299553270E-1,-1.001250076E1,9.787500381E0,-5.469375229E1,5.645752275E1
6.399553270E-1,-9.787500381E0,9.787500381E0,-5.490000153E1,5.661802270E1
6.499553270E-1,-9.900000572E0,9.843750000E0,-5.469375229E1,5.644746199E1
6.599553270E-1,-1.003125000E1,9.937500000E0,-5.469375229E1,5.648704650E1
6.699553270E-1,-1.010625076E1,9.825000763E0,-5.482500076E1,5.660784092E1
6.799553270E-1,-1.014375019E1,1.010625076E1,-5.512500381E1,5.695435030E1
6.899553270E-1,-1.006875038E1,9.993750572E0,-5.497500229E1,5.677592502E1
6.999553270E-1,-1.010625076E1,1.001250076E1,-5.490000153E1,5.671328454E1
7.099553270E-1,-1.016250038E1,1.021875000E1,-5.497500229E1,5.683265032E1
7.199553270E-1,-1.044375038E1,1.018125057E1,-5.506875229E1,5.696751060E1
7.299553270E-1,-1.076250076E1,1.006875038E1,-5.499375153E1,5.693438209E1
